+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-01-30]
| UUID: f1c052f7-9521-4f31-90d2-906ed4bf3cee
| Date: 2024-01-30
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-30,Payload installation,filename,SecuriteInfo.com.Win32.TrojanX-gen.31621.15967,Source: MalwareBazaar
2024-01-30,Payload installation,md5,d11336cb6dcf6b17f184e07d4349872c,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,8bebf5c9b56e6b9076eae90d20aaf34c03cb43cd,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,612d82ca739d3b1d4e76eed256652110ae019bf91776919edf9fff090c59fbe2,Source: MalwareBazaar
2024-01-30,Payload installation,filename,Comanda de achizitie-4500628950.pdf.exe,Source: MalwareBazaar
2024-01-30,Payload installation,md5,3fa20497847094c3d4f2ddf3b1bb741a,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,363ed5c381aeef6fc09de4bd34589c7afe20c6e6,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,750f94ef716d9dd9d4742173c74c1cf6702904c0d2a18fad8ca74014ce95f668,Source: MalwareBazaar
2024-01-30,Payload installation,filename,Comanda de achizitie-4500628950.pdf.uu,Source: MalwareBazaar
2024-01-30,Payload installation,md5,716155a7b708f1e34d964549646784c9,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,50d57e180e42aac5ae430e2a0c0b47a4667ac875,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,81cf6d5cf367011c536188a07032592962f568ead79d8b959a9e42b5a892dfec,Source: MalwareBazaar
2024-01-30,Payload installation,filename,Comanda de achiziție OP nr. 1068 16-01-2024.PDF.uu,Source: MalwareBazaar
2024-01-30,Payload installation,md5,62d4a6a90855f121d8970bd8603577aa,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,debfa90d46ebbfae5cb7a5e616c40deec507c6b8,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,6e7ae5b0051218bcf8da91747d6f0447c3cdd097c13376900df66dd71c989f07,Source: MalwareBazaar
2024-01-30,Payload installation,filename,SecuriteInfo.com.W32.MSIL_Agent.GCC.gen.Eldorado.24365.9229,Source: MalwareBazaar
2024-01-30,Payload installation,md5,ed9803cf4fa4d4251627ce1ed3128bfa,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,4904106d13d6c892abbcb06594c6a774ba9ea6fa,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,dd95a518a502780ec49b27354a120d36ed0e804cf4afb26b6887ffd49ba9317f,Source: MalwareBazaar
2024-01-30,Payload installation,filename,UM-INV23.zip,Source: MalwareBazaar
2024-01-30,Payload installation,md5,08a42df4c6ce01527c9aa7b9d59404ae,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,c311cba2abeffd64a3a2cef0be6db3d432c1fe5e,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,5fb84a738536a8c4f403aff585f461e82eb5597d3915fb70f1e1ea638fb2fa28,Source: MalwareBazaar
2024-01-30,Payload installation,filename,Quote_3309.exe,Source: MalwareBazaar
2024-01-30,Payload installation,md5,0f8b8d6d1fc4bad651dc01b3804680ac,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,d1bd9ca07ae999eeace9540fe1d42eb9184b11e0,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,f84f0208e1ccce6876611ab8d7e4c92f4e02427e9a72283f5346f98bf6539160,Source: MalwareBazaar
2024-01-30,Payload installation,filename,Quote_3309.rar,Source: MalwareBazaar
2024-01-30,Payload installation,md5,d182ca9ca33e4137af45b3af846fde1c,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,221a02d1a86d34ce84924803a069560a56dec765,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,25dad8e446abb1046448a0e78029abb08f32172cafae23a0a0c9ed771d140151,Source: MalwareBazaar
2024-01-30,Payload installation,filename,SecuriteInfo.com.Win32.PWSX-gen.9878.25300,Source: MalwareBazaar
2024-01-30,Payload installation,md5,bee12e5e8fa5ee590b697bb3ada0ea8c,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,84b2532e77b37e83641def708228e60a1749c852,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,a3268fd103ce714411b447c75854565ddf366535c6f47641893f0d78f0482bb8,Source: MalwareBazaar
2024-01-30,Payload installation,filename,MV TNYK TBN 1 - VSL'S SPEC.exe,Source: MalwareBazaar
2024-01-30,Payload installation,md5,40fb0c718118f2e57554ed6ac3baeb9d,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,edb470ece953a6b5799cf51bba7fd12b2833d99b,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,93bc53ac6666ec7e8baed9fe226b218b6508260a82ffd3fcd923f7f5b556593f,Source: MalwareBazaar
2024-01-30,Payload installation,filename,FedEx Receipt_AWB#6355646657577514374654-pdf.bat,Source: MalwareBazaar
2024-01-30,Payload installation,md5,c55e20e5d3bdb01415559f6ac757f604,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,4c8b3478da576ead318f46b85e3452699c9cb194,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,68bc379e0b8b0e5d4045fa775d0edf9b49f07acafb007ac45326d81394860fbf,Source: MalwareBazaar
2024-01-30,Payload installation,filename,ungziped_file,Source: MalwareBazaar
2024-01-30,Payload installation,md5,9a44f36caf11078eb7abd74748f16a54,Source: MalwareBazaar
2024-01-30,Payload installation,sha1,7801376c1332b904d12675a9007a4c12866db860,Source: MalwareBazaar
2024-01-30,Payload installation,sha256,ca78cc22c0e49a75cc75a733acf0b088c3bb74375056872590bc71356f03c6a4,Source: MalwareBazaar
2024-01-30,Payload installation,filename,swift copy.pdf.exe,Source: MalwareBazaar
2024-01-30,Payload installation,md5,15b59ac7f8c0592041ac568dccffa553,Source: MalwareBazaar
