+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2024-01-10]
| UUID: 54ae5ac7-e9ec-4504-a385-26bfe1280591
| Date: 2024-01-10
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-10,Payload installation,filename,sipariş formu_831519.exe,Source: MalwareBazaar
2024-01-10,Payload installation,md5,dd6870f07ae1a48debf44d7a9b81e5f9,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,5ea4adbd731bbfb714a0752f73d53b4cdc56f7bf,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,26ed54f0d441f0f3dd744f03f30d8f1fa01de0ed267df7b7fec4c9b2eab742d2,Source: MalwareBazaar
2024-01-10,Payload installation,filename,SecuriteInfo.com.TrojanLoader.MSIL.DaVinci.Heur.10101.19878,Source: MalwareBazaar
2024-01-10,Payload installation,md5,e7a754f4ff9e4810129115888bc35f6d,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,d527266fd29c9f0d545f79873bfed283aa129d91,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,621425400cfcefaa6e9f1bc2bbac63f8b4aa23c81c9b805098724c73e5031021,Source: MalwareBazaar
2024-01-10,Payload installation,filename,SecuriteInfo.com.Win32.PWSX-gen.15246.24223,Source: MalwareBazaar
2024-01-10,Payload installation,md5,11f2e057742913dcfa129d2d4113c23c,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,8317aacab18ad44c5b9ff3f7ad32b42e00cdead2,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,afd7592da43e21b2731f1fd0e3c11b95e5d87ce3ef2967240089331c7bb367d6,Source: MalwareBazaar
2024-01-10,Payload installation,filename,70369453cd6e8481ce8f2fc4fa4074fb998a27ff6f91bce6caeab0ecac36493b,Source: MalwareBazaar
2024-01-10,Payload installation,md5,14d72b32102870a9faeb63a1de0d542f,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,f7c889af3d34ee470d0678c86769919170e9ed92,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,70369453cd6e8481ce8f2fc4fa4074fb998a27ff6f91bce6caeab0ecac36493b,Source: MalwareBazaar
2024-01-10,Payload installation,filename,74e12bbc91af27f079f6c39e0a3600f7c9a203c3ee996dda09c863dbde0e86dc,Source: MalwareBazaar
2024-01-10,Payload installation,md5,60e7b5c5644a530d0ce1874dc783f286,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,5c30d1f94b73a6995b350426d97b9485f7ee1f79,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,74e12bbc91af27f079f6c39e0a3600f7c9a203c3ee996dda09c863dbde0e86dc,Source: MalwareBazaar
2024-01-10,Payload installation,filename,mv Afina I Vsl's Desc.exe,Source: MalwareBazaar
2024-01-10,Payload installation,md5,9e02b91e94d45385141412e3c90608b2,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,24af9bb2e1b7bac04a1ebb48f431bc8ec4d5bb4f,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,183c71d2749893b3018f8d521712a58c6b3efd449a5ecbbbb12df1da69e0f7f6,Source: MalwareBazaar
2024-01-10,Payload installation,filename,MV MELODIA VESSEL PARTICULARS.exe,Source: MalwareBazaar
2024-01-10,Payload installation,md5,b8d15513cd2c21a4ad2d5a40a1475c17,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,f3ff98ffd3f7d9377be6ca85afc1eea12a22507d,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,bc72427282ffa8c3a16209daec0648ded710e748a20600d217edfb8de6a582c0,Source: MalwareBazaar
2024-01-10,Payload installation,filename,3c816780d6733c7798f6348b2f3fa6be5bd0ac8413615280a5be3a89d8c64588,Source: MalwareBazaar
2024-01-10,Payload installation,md5,4e7083b78660dddb7e0482e8a37c579d,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,7414b565358d4bfb47a900ad61759cef23b7c0ac,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,3c816780d6733c7798f6348b2f3fa6be5bd0ac8413615280a5be3a89d8c64588,Source: MalwareBazaar
2024-01-10,Payload installation,filename,940fb14d8859c02f6df35e6345ac7f3b5c39df3e59a59b02575a8dbb879eb523,Source: MalwareBazaar
2024-01-10,Payload installation,md5,12fde22d22a6d23c2523bc91256bd70e,Source: MalwareBazaar
2024-01-10,Payload installation,sha1,595d79f7b39345cf03cf14edf469c16963584b11,Source: MalwareBazaar
2024-01-10,Payload installation,sha256,940fb14d8859c02f6df35e6345ac7f3b5c39df3e59a59b02575a8dbb879eb523,Source: MalwareBazaar
