+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Nueva Campaña Mint Sandstorm-036
| UUID: c6985bb7-926c-40e9-b6d3-ebc004e63aaa
| Date: 2024-01-26
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-26,External analysis,attachment,BOLETÍN 036.pdf,Mint Sandstorm
2024-01-26,Network activity,domain,east-healthy-dress.glitch.me,
2024-01-26,Network activity,domain,coral-polydactyl-dragonfruit.glitch.me,
2024-01-26,Network activity,domain,kwhfibejjyxregxmnpcs.supabase.co,
2024-01-26,Network activity,domain,epibvgvoszemkwjnplyc.supabase.co,
2024-01-26,Network activity,domain,ndrrftqrlblfecpupppp.supabase.co,
2024-01-26,Network activity,domain,cloud-document-edit.onrender.com,
2024-01-26,Payload delivery,md5,4d75ed2a0a1016734a561295a49acb83,
2024-01-26,Payload delivery,sha1,5b5a226b906bf83c4f6ef49189f4bde560398edb,
2024-01-26,Payload delivery,sha256,f2dec56acef275a0e987844e98afcc44bf8b83b4661e83f89c6a2a72c5811d5f,
