+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Smoke Loader host indicators [2024-01-12]
| UUID: 743da0a9-2515-4916-bf9c-b725a73f495d
| Date: 2024-01-13
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-12,Payload installation,filename,8c53237ed51cedf031bc67e52743b611.exe,Source: MalwareBazaar
2024-01-12,Payload installation,md5,8c53237ed51cedf031bc67e52743b611,Source: MalwareBazaar
2024-01-12,Payload installation,sha1,307c9e259d8b5aae2a11577a393f89f0857758f1,Source: MalwareBazaar
2024-01-12,Payload installation,sha256,cce4850cc383b394e43d8c7c4963d75a1611e1db82746b0515659c8db8cf0e1f,Source: MalwareBazaar
2024-01-12,Payload installation,filename,9bfe889b239c6e5125f059c5f8d7bb1a.exe,Source: MalwareBazaar
2024-01-12,Payload installation,md5,9bfe889b239c6e5125f059c5f8d7bb1a,Source: MalwareBazaar
2024-01-12,Payload installation,sha1,5508bb3f3c7e426d02d6d51161d6205d35ae012c,Source: MalwareBazaar
2024-01-12,Payload installation,sha256,b7a53067b4b97c4bcea3aa0e0f7c3366df68f5efc0e7d990dc32a8191fb1f951,Source: MalwareBazaar
2024-01-12,Payload installation,filename,ef0ad9f732f18fcbd7895cfac819291f.exe,Source: MalwareBazaar
2024-01-12,Payload installation,md5,ef0ad9f732f18fcbd7895cfac819291f,Source: MalwareBazaar
2024-01-12,Payload installation,sha1,ff1d4cc5d6de200e7daf2c156f02f58eda9bc955,Source: MalwareBazaar
2024-01-12,Payload installation,sha256,4c236256dbc5dba5926eda92e6400462301806828b2f56625cd32d1ad447358b,Source: MalwareBazaar
2024-01-12,Payload installation,filename,ec88c05e8d2e697b023514bade68e311.exe,Source: MalwareBazaar
2024-01-12,Payload installation,md5,ec88c05e8d2e697b023514bade68e311,Source: MalwareBazaar
2024-01-12,Payload installation,sha1,c647c59017b6ded3bfb639c5067118ffd3142d58,Source: MalwareBazaar
2024-01-12,Payload installation,sha256,c7cc77635eee4026d68f94cecbd1b92793de6ff0d8506c74b9c3a4bfe0c19541,Source: MalwareBazaar
2024-01-12,Payload installation,filename,1705065785d5a65a86155b3f63cc8cdc5ba849785e8a8184ac2c9e7d08a771f09a39631ea2998.dat-decoded,Source: MalwareBazaar
2024-01-12,Payload installation,md5,c997f2f7258e41b614a73c6ad961f7fc,Source: MalwareBazaar
2024-01-12,Payload installation,sha1,35bae15932993a27788979302bd8b328c31eac6a,Source: MalwareBazaar
2024-01-12,Payload installation,sha256,dd7f5bd431c5ef84cc58b490eed097e76b800d6c822de3de6d68d88881626a3b,Source: MalwareBazaar
2024-01-12,Payload installation,filename,Image#413164.vbs,Source: MalwareBazaar
2024-01-12,Payload installation,md5,f0d213c32543202c9345fbdc6a360f6a,Source: MalwareBazaar
2024-01-12,Payload installation,sha1,57dd42eb5e1c1ba475ec5b5a442b54319cfbd9d3,Source: MalwareBazaar
2024-01-12,Payload installation,sha256,e4917f153a2282b89c71a540fca33187642d249d743270a703e7c2d1d7b64b52,Source: MalwareBazaar
2024-01-12,Payload installation,filename,6100b8558ad4a992f3b7036ed65a04ce.exe,Source: MalwareBazaar
2024-01-12,Payload installation,md5,6100b8558ad4a992f3b7036ed65a04ce,Source: MalwareBazaar
