+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
"| Title: ""Subject: New Order Request was sent to you via WeTransfer - From: noreply@cloud12.line.pm"" Campaign"
| UUID: 1e8f8162-9966-4287-b3b4-b9d294529baf
| Date: 2024-01-10
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-10,Payload delivery,email-src,noreply@cloud12.line.pm,Source email: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer
2024-01-10,Payload delivery,email-src-display-name,WeTransfer,Source email: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer
2024-01-10,Payload delivery,email-body,"<html><head>
<meta name=""GENERATOR"" content=""MSHTML 11.00.10570.1001"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
</head>
<body>
<table style=""margin: 0px; padding: 0px; width: 600px; color: rgb(0, 0, 0); text-transform: none; letter-spacing: normal; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; font-size: 14px; font-style: normal; font-weight: 400; word-spacing: 0px; white-space: normal; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px; background-color: rgb(244, 244, 244); font-variant-ligatures: normal; font-variant-caps: normal; text-decoration-thickness: 
initial; text-decoration-style: initial; text-decoration-color: initial;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 55px 0px 0px; width: 600px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;"">
<table style=""margin: 0px; padding: 0px; width: 600px; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""background: 50% 0%; margin: 0px; padding: 0px; width: 600px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; font-size: 10px; box-sizing: border-box;"" bgcolor=""#409fff"">
<center style=""box-sizing: border-box;"">
<table align=""center"" style=""margin: 0px auto; padding: 0px; width: auto; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td height=""16"" align=""left"" valign=""top"" style=""margin: 0px; padding: 0px; width: 56px; height: 16px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;"">&nbsp;</td></tr>
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 0px; width: 56px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;"">
<img width=""56"" align=""middle"" style=""margin: 0px; padding: 0px; width: 71px; height: 35px; line-height: 10px; font-family: inherit; vertical-align: baseline; display: block; box-sizing: border-box; font-stretch: inherit; text-decoration-line: none;"" alt=""Click 'Download images' to view images"" src=""cid:blue2x-10b63a7e9107c08c8d89a3f8016c133ae4fcf5afb3e59a65fb17e21eeb83148d.png"" border=""0"" height=""30""></td></tr>
<tr style=""box-sizing: border-box;"">
<td height=""11"" align=""left"" valign=""top"" style=""margin: 0px; padding: 0px; width: 56px; height: 11px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;"">&nbsp;</td></tr></tbody></table></center></td></tr></tbody></table></td></tr></tbody></table>
<table style=""margin: 0px; padding: 0px; width: 600px; color: rgb(0, 0, 0); text-transform: none; letter-spacing: normal; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; font-size: 14px; font-style: normal; font-weight: 400; word-spacing: 0px; white-space: normal; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px; font-variant-ligatures: normal; font-variant-caps: normal; text-decoration-thickness: initial; text-decoration-style: 
initial; text-decoration-color: initial;"" bgcolor=""#ffffff"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 0px; width: 600px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;"">
<table style=""margin: 0px; padding: 0px; width: 600px; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 0px; width: 600px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;"">
<table style=""margin: 0px; padding: 0px; width: 600px; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td align=""center"" valign=""top"" style=""margin: 0px; padding: 60px 80px 0px; width: 440px; color: rgb(23, 24, 26); line-height: 30px; font-family: &quot;FreightSans Pro&quot;, &quot;Segoe UI&quot;, &quot;SanFrancisco Display&quot;, Arial, sans-serif; font-size: 26px; box-sizing: border-box;""><p>
<span style=""border-width: 0px; margin: 0px; padding: 0px; color: rgb(64, 159, 255); font-family: inherit; vertical-align: baseline; box-sizing: border-box; font-stretch: [REDACTED]style=""box-sizing: border-box;""></span><font color=""#409fff"">Attached you will find our specification and drawing designs for our order.</font></p><p><font color=""#409fff"">Kindly check and get back to us with your best quote.</font></p></td></tr>
<tr style=""box-sizing: border-box;"">
<td align=""center"" valign=""top"" style=""margin: 0px; padding: 20px 80px 0px; width: 440px; color: rgb(106, 109, 112); line-height: 23px; font-family: &quot;Fakt Pro&quot;, &quot;Segoe UI&quot;, &quot;SanFrancisco Display&quot;, Arial, sans-serif; box-sizing: border-box;"">
<p style=""padding: 20px; color: rgb(23, 24, 26); margin-top: 0px; box-sizing: border-box; background-color: rgb(250, 250, 250);"">Please&nbsp;check the attachment to see the file your client sent</p></td></tr>
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 50px 80px 0px; width: 440px; color: rgb(121, 124, 127); line-height: 24px; font-family: &quot;Fakt Pro&quot;, &quot;Segoe UI&quot;, &quot;SanFrancisco Display&quot;, Arial, sans-serif; box-sizing: border-box;""></td></tr>
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 40px 160px 0px; width: 280px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;""></td></tr>
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 40px 80px 0px; width: 440px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;""></td></tr>
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 50px 80px 0px; width: 440px; color: rgb(121, 124, 127); line-height: 24px; font-family: &quot;Fakt Pro&quot;, &quot;Segoe UI&quot;, &quot;SanFrancisco Display&quot;, Arial, sans-serif; box-sizing: border-box;""></td></tr>
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 50px 80px 0px; width: 440px; color: rgb(121, 124, 127); line-height: 24px; font-family: &quot;Fakt Pro&quot;, &quot;Segoe UI&quot;, &quot;SanFrancisco Display&quot;, Arial, sans-serif; box-sizing: border-box;"">&nbsp;</td></tr>
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 0px 80px 50px; width: 440px; color: rgb(121, 124, 127); line-height: 24px; font-family: &quot;Fakt Pro&quot;, &quot;Segoe UI&quot;, &quot;SanFrancisco Display&quot;, Arial, sans-serif; box-sizing: border-box;"">&nbsp;</td></tr></tbody></table></td></tr></tbody></table></td></tr></tbody></table>
<table style=""margin: 0px; padding: 0px; width: 600px; color: rgb(0, 0, 0); text-transform: none; letter-spacing: normal; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; font-size: 14px; font-style: normal; font-weight: 400; word-spacing: 0px; white-space: normal; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px; background-color: rgb(244, 244, 244); font-variant-ligatures: normal; font-variant-caps: normal; text-decoration-thickness: 
initial; text-decoration-style: initial; text-decoration-color: initial;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 2px 0px 0px; width: 600px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;"">
<table style=""margin: 0px; padding: 0px; width: 600px; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px;"" bgcolor=""#ffffff"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td align=""left"" valign=""top"" style=""margin: 0px; padding: 0px 20px; width: 560px; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; box-sizing: border-box;"">
<table style=""margin: 0px; padding: 0px; width: 560px; border-collapse: collapse; table-layout: fixed; box-sizing: border-box; border-spacing: 0px;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody style=""box-sizing: border-box;"">
<tr style=""box-sizing: border-box;"">
<td align=""center"" valign=""top"" style=""margin: 0px; padding: 13px 0px; width: 560px; color: rgb(121, 124, 127); line-height: 24px; font-family: &quot;Fakt Pro&quot;, &quot;Segoe UI&quot;, &quot;SanFrancisco Display&quot;, Arial, sans-serif; font-size: 12px; box-sizing: border-box;""></td></tr></tbody></table></td></tr></tbody></table></td></tr></tbody></table>
<p><br style=""color: rgb(0, 0, 0); text-transform: none; text-indent: 0px; letter-spacing: normal; font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; font-size: 14px; font-style: normal; font-weight: 400; word-spacing: 0px; white-space: normal; box-sizing: border-box; background-color: rgb(244, 244, 244); font-variant-ligatures: normal; font-variant-caps: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""><br><br></p>
</body></html>",Source email: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer
2024-01-10,Payload delivery,email-subject,New Order Request was sent to you via WeTransfer,Source: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer
2024-01-10,Payload delivery,filename|sha256,Quotation.htm|d6faa7f55a31765e001375510125d328402276073e6eef1200357aeac73cd292,Malspam attachment - source: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer mime: text/html
2024-01-10,Payload delivery,filename|ssdeep,Quotation.htm|96:tQFpTBbbv3XHfLE6lef88GfoQnrn1VhKzPoQxHY5k2yG8YNADB:+FpTBvLE8ef8JfB1LKzo0HYS2L3NC,Malspam attachment - source: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer mime: text/html
2024-01-10,Payload delivery,filename|sha1,Quotation.htm|c37b16823072df585c646432527a9e70d516fe4a,Malspam attachment - source: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer mime: text/html
2024-01-10,Payload delivery,filename|sha512,Quotation.htm|624e504c4c220d513c81e1426d5ac1c409d973d0ca1fe3030eebf9f5850df2ed9e5bfb61a1425d44457fc55d036306ecdf757ff24c93c1590f31ac6f7dd4453a,Malspam attachment - source: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer mime: text/html
2024-01-10,Payload delivery,filename|md5,Quotation.htm|fbc8f41b866778d397602dbe0cf0caa3,Malspam attachment - source: from noreply@cloud12.line.pm - subject: New Order Request was sent to you via WeTransfer mime: text/html
2024-01-10,Payload delivery,url,https://dynmedia.uk/.well-known/acme-challenge/WeTransfer.php,"Source: Network activity, POST method from Quotation.htm; Extortion of credentials"
