+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-01-11
| UUID: 7934d5ac-3ff4-4bee-9ac2-3728274682e0
| Date: 2024-01-11
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-11,Payload delivery,url,https://lazittarl.com,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-01-11,Payload delivery,url,https://188.127.225.84,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-01-11,Network activity,ip-dst|port,141.98.10.85|38241,Mirai botnet C2 server (confidence level: 75%)
2024-01-11,Network activity,domain,cnc7.cremeonu.online,Mirai botnet C2 domain (confidence level: 75%)
2024-01-11,Network activity,ip-dst|port,82.147.85.205|24010,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-01-11,Network activity,ip-dst|port,77.91.124.92|33992,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-01-11,Network activity,ip-dst|port,119.81.84.107|10001,Xtreme RAT botnet C2 server (confidence level: 80%)
2024-01-11,Network activity,domain,moonvenom4449.duckdns.org,AsyncRAT botnet C2 domain (confidence level: 100%)
2024-01-11,Network activity,ip-dst|port,91.92.251.144|4449,AsyncRAT botnet C2 server (confidence level: 75%)
2024-01-11,Network activity,domain,opendomain.lyamore-metal.com,XWorm botnet C2 domain (confidence level: 100%)
2024-01-11,Network activity,domain,open.lyamore-metal.com,XWorm botnet C2 domain (confidence level: 100%)
2024-01-11,Network activity,domain,opendomain.taiwantradeglobal.com,XWorm botnet C2 domain (confidence level: 100%)
2024-01-11,Network activity,domain,open.taiwantradeglobal.com,XWorm botnet C2 domain (confidence level: 100%)
2024-01-11,Network activity,domain,wealthyblessed.duckdns.org,XWorm botnet C2 domain (confidence level: 100%)
