+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-01-14
| UUID: 869531b4-841d-451b-9306-84d21ed6b558
| Date: 2024-01-14
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-14,Network activity,url,https://31.41.244.41/yti2nzrkodrkzmm5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://cinconistanplaskamisto.net/yti2nzrkodrkzmm5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://cinconistanplaskamist1.com/yti2nzrkodrkzmm5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://cinconistanplaskamist2.xyz/yti2nzrkodrkzmm5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://cinconistanplaskamist3.net/yti2nzrkodrkzmm5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://cinconistanplaskamist4.com/yti2nzrkodrkzmm5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://cinconistanplaskamist5.xyz/yti2nzrkodrkzmm5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://r85d4kbe5729.vip/mtu2owe0nzjjngy5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://4ht227ce29z6.xyz/mtu2owe0nzjjngy5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://6kd020yb568x.top/mtu2owe0nzjjngy5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://f2kic1nam25n81k.cc/mtu2owe0nzjjngy5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,url,https://99ol9f44xvgo.cn/mtu2owe0nzjjngy5/,Coper botnet C2 (confidence level: 80%)
2024-01-14,Network activity,domain,www.bofeng.com.cn,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,209.141.56.114|12500,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,45.61.185.156|62212,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,45.61.185.156|62213,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,205.234.181.204|443,Unknown malware botnet C2 server (confidence level: 100%)
2024-01-14,Payload delivery,domain,debasesingle.life,FAKEUPDATES payload delivery domain (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,193.134.211.62|23333,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,193.134.211.62|24444,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,89.208.106.112|80,Meduza Stealer botnet C2 server (confidence level: 50%)
2024-01-14,Network activity,ip-dst|port,154.204.60.179|83,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-01-14,Network activity,ip-dst|port,18.136.148.247|18777,NjRAT botnet C2 server (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,52.220.121.212|18777,NjRAT botnet C2 server (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,13.229.3.203|18777,NjRAT botnet C2 server (confidence level: 100%)
2024-01-14,Network activity,ip-dst|port,45.157.11.10|4258,Bashlite botnet C2 server (confidence level: 75%)
2024-01-14,Network activity,ip-dst|port,45.136.199.30|3790,Meterpreter botnet C2 server (confidence level: 80%)
2024-01-14,Network activity,ip-dst|port,54.252.142.240|14280,Nanocore RAT botnet C2 server (confidence level: 100%)
