+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-01-17
| UUID: 6446ce0c-d2ee-4dd5-8ee3-ac51c7593b92
| Date: 2024-01-17
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-17,Network activity,url,http://217.197.107.138/telegram/personal/sendmessage.php,Rhadamanthys botnet C2 (confidence level: 100%)
2024-01-17,Network activity,url,http://217.197.107.138/telegram/pdf/sendmessage.php,Rhadamanthys botnet C2 (confidence level: 100%)
2024-01-17,Network activity,ip-dst|port,217.197.107.138|80,Rhadamanthys botnet C2 server (confidence level: 100%)
2024-01-17,Network activity,ip-dst|port,120.27.131.3|7443,Unknown malware botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,ip-dst|port,185.73.124.230|443,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,ip-dst|port,185.197.251.134|3790,Meterpreter botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,ip-dst|port,194.87.31.166|3790,Meterpreter botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,ip-dst|port,3.22.217.8|3790,Meterpreter botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,ip-dst|port,45.58.35.5|3790,Meterpreter botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,url,http://saldanha.top/ugopounds/five/fre.php,Loki Password Stealer (PWS) botnet C2 (confidence level: 75%)
2024-01-17,Network activity,ip-dst|port,44.31.248.7|80,Unknown malware botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,url,http://87.121.87.199/f7vkbh7x/index.php,Amadey botnet C2 (confidence level: 100%)
2024-01-17,Network activity,ip-dst|port,156.245.11.27|31337,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,156.245.11.27|443,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,156.245.11.27|8888,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,156.245.11.9|31337,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,156.245.11.9|443,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,156.245.11.9|8888,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,156.245.11.1|31337,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,156.245.11.1|443,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,156.245.11.1|8888,Sliver botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,162.0.222.178|7443,Unknown malware botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,92.116.91.237|443,Deimos botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,119.160.88.100|443,Deimos botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,ip-dst|port,13.248.204.3|10006,Deimos botnet C2 server (confidence level: 50%)
2024-01-17,Network activity,url,https://152.32.210.127/en_us/all.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-01-17,Network activity,ip-dst|port,121.41.99.85|443,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,ip-dst|port,130.0.238.42|54984,Nanocore RAT botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,ip-dst|port,147.124.212.75|2010,AsyncRAT botnet C2 server (confidence level: 100%)
2024-01-17,Network activity,url,https://129.211.31.181/jquery-3.3.1.min.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-01-17,Network activity,ip-dst|port,129.211.31.181|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-01-17,Network activity,ip-dst|port,42.193.1.241|80,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-01-17,Network activity,url,http://79.124.40.106:81/ga.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-01-17,Network activity,ip-dst|port,45.86.86.197|443,Unknown malware botnet C2 server (confidence level: 100%)
2024-01-17,Network activity,ip-dst|port,94.103.188.147|443,Unknown malware botnet C2 server (confidence level: 100%)
2024-01-17,Network activity,url,https://45.86.86.197/abd3wufkw/post.php,Unknown malware botnet C2 (confidence level: 100%)
2024-01-17,Network activity,url,https://94.103.188.147/abd3wufkw/log.php,Unknown malware botnet C2 (confidence level: 100%)
2024-01-17,Network activity,url,https://43.130.60.49/activity,Cobalt Strike botnet C2 (confidence level: 100%)
2024-01-17,Network activity,url,http://43.130.60.49/match,Cobalt Strike botnet C2 (confidence level: 100%)
