+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-01-23
| UUID: 0d3ccc2e-e905-445a-9b27-2db5b825c01f
| Date: 2024-01-23
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-23,Payload delivery,domain,epsilon-spaceworld.com,Unknown malware payload delivery domain (confidence level: 100%)
2024-01-23,Network activity,domain,duorhytm.fun,Unknown malware botnet C2 domain (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,77.91.124.92|3989,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,20.113.35.45|38357,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,url,http://128.140.85.191/,Alien botnet C2 (confidence level: 80%)
2024-01-23,Payload delivery,url,https://suezey.com/cdn-vs/cache.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-01-23,Payload delivery,url,https://suezey.com/cache/ewmrgqnaww.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-01-23,Payload delivery,url,https://appboltonik.com/data.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,5.181.156.45|443,NetSupportManager RAT botnet C2 server (confidence level: 100%)
2024-01-23,Payload delivery,url,https://suezey.com,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-01-23,Payload delivery,url,https://suezey.com/cdn-cs/cache.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-01-23,Payload delivery,url,https://appboltonik.com,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,176.124.32.39|51033,SpyBanker botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,176.124.32.39|51144,SpyBanker botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,176.124.32.39|52997,SpyBanker botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,domain,de.zephyr.herominers.com,Coinminer botnet C2 domain (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,212.116.121.37|24092,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,125.141.136.172|443,Get2 botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,45.129.14.102|7777,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,94.131.102.241|443,BianLian botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,187.135.91.206|1723,DarkComet botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,187.135.91.206|1925,DarkComet botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,64.23.170.241|7443,Unknown malware botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,62.234.13.73|8443,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,187.135.91.206|2233,DarkComet botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,187.135.91.206|2067,DarkComet botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,187.135.91.206|1935,DarkComet botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,url,http://124.222.149.52/push,Cobalt Strike botnet C2 (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,124.222.149.52|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,187.135.91.206|1741,DarkComet botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,34.29.85.190|80,Socks5 Systemz botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,94.156.65.121|65517,Nanocore RAT botnet C2 server (confidence level: 100%)
2024-01-23,Network activity,ip-dst|port,187.135.91.206|2121,DarkComet botnet C2 server (confidence level: 80%)
2024-01-23,Network activity,ip-dst|port,38.87.196.74|3790,Meterpreter botnet C2 server (confidence level: 80%)
