+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-01-05
| UUID: 7bbbc948-218a-436f-b290-d0e366b34525
| Date: 2024-01-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.sh4,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.arm5,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.mpsl,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.ppc,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.arm7,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.m68k,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.mips,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.x86,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.arm6,Malware distribution site
2024-01-05,Payload delivery,url,http://5.181.80.70/bins/sora.arm,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/macheri.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/test2.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://93.123.85.81/trx-arm7,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/golden.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/flesh.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/bakhtiar.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/alex.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://116.101.252.242:20866/.i,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/test1.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/pixelguy.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://182.119.221.58:49636/Mozi.m,Malware distribution site
2024-01-05,Payload delivery,url,http://222.188.235.212:51134/.i,Malware distribution site
2024-01-05,Payload delivery,url,http://91.92.251.81/arm7,Malware distribution site
2024-01-05,Payload delivery,url,http://123.4.44.141:58509/bin.sh,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/test3.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://185.224.128.187/arm7,Malware distribution site
2024-01-05,Payload delivery,url,http://123.4.44.141:58509/i,Malware distribution site
2024-01-05,Payload delivery,url,http://117.95.160.57:48746/.i,Malware distribution site
2024-01-05,Payload delivery,url,http://93.123.85.81/trx-arm6,Malware distribution site
2024-01-05,Payload delivery,url,http://185.194.176.20/arm,Malware distribution site
2024-01-05,Payload delivery,url,http://185.194.176.20/arm7,Malware distribution site
2024-01-05,Payload delivery,url,http://182.126.125.18:53244/i,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/mine/nocry.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://77.91.68.21/lend/YT.exe,Malware distribution site
2024-01-05,Payload delivery,url,http://185.215.113.68/theme/Plugins/clip64.dll,Malware distribution site
2024-01-05,Payload delivery,url,http://159.69.156.219/fuckjewishpeople.arm5,Malware distribution site
2024-01-05,Payload delivery,url,http://159.69.156.219/fuckjewishpeople.arm7,Malware distribution site
2024-01-05,Payload delivery,url,http://159.69.156.219/fuckjewishpeople.mpsl,Malware distribution site
