+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-01-20
| UUID: 808c8d77-39d9-4bcd-b2e8-df9b766442ed
| Date: 2024-01-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-20,Payload delivery,url,https://humbly-clean-unicorn.ngrok-free.app/Setup.exe,Malware distribution site
2024-01-20,Payload delivery,url,http://182.127.124.34:51662/Mozi.m,Malware distribution site
2024-01-20,Payload delivery,url,http://42.227.165.2:57886/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://115.49.5.101:55985/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://125.41.172.114:57891/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://219.156.175.47:58800/i,Malware distribution site
2024-01-20,Payload delivery,url,http://42.235.167.61:59454/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://123.13.27.185:53013/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://182.124.254.233:54697/i,Malware distribution site
2024-01-20,Payload delivery,url,http://42.235.46.194:57782/i,Malware distribution site
2024-01-20,Payload delivery,url,http://5.42.67.26/download.php?pub=univ/,Malware distribution site
2024-01-20,Payload delivery,url,http://125.41.172.114:57891/i,Malware distribution site
2024-01-20,Payload delivery,url,http://115.49.5.101:55985/i,Malware distribution site
2024-01-20,Payload delivery,url,http://119.165.55.219:56745/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://42.235.167.61:59454/i,Malware distribution site
2024-01-20,Payload delivery,url,http://123.12.236.199:49650/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://123.13.27.185:53013/i,Malware distribution site
2024-01-20,Payload delivery,url,http://125.47.82.65:33151/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://110.182.161.175:16364/.i,Malware distribution site
2024-01-20,Payload delivery,url,http://119.165.55.219:56745/i,Malware distribution site
2024-01-20,Payload delivery,url,http://115.58.128.139:56652/Mozi.m,Malware distribution site
2024-01-20,Payload delivery,url,http://182.121.14.232:42406/bin.sh,Malware distribution site
2024-01-20,Payload delivery,url,http://45.95.169.14/bins/jew.spc,Malware distribution site
2024-01-20,Payload delivery,url,http://5.42.67.26/oorigg/univ.exe,Malware distribution site
2024-01-20,Payload delivery,url,http://45.95.169.14/bins/jew.mips,Malware distribution site
2024-01-20,Payload delivery,url,http://45.95.169.14/bins/jew.ppc,Malware distribution site
2024-01-20,Payload delivery,url,http://45.95.169.14/bins/jew.arm,Malware distribution site
2024-01-20,Payload delivery,url,http://5.42.67.26/oorigg/inte.exe,Malware distribution site
2024-01-20,Payload delivery,url,http://5.42.67.26/batushka/univ.exe,Malware distribution site
2024-01-20,Payload delivery,url,http://45.95.169.14/bins/jew.arm7,Malware distribution site
2024-01-20,Payload delivery,url,http://45.95.169.14/bins/jew.m68k,Malware distribution site
2024-01-20,Payload delivery,url,http://113.25.236.72:48399/.i,Malware distribution site
