+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-01-31
| UUID: 60bfa51a-d79d-4c51-94da-447d2d2e43b3
| Date: 2024-01-31
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-01-31,Payload delivery,url,https://raw.github.com/MatthewVndt/lowlow/main/Apple.exe,Malware distribution site
2024-01-31,Payload delivery,url,https://wtools.io/paste-code/bTq4,Malware distribution site
2024-01-31,Payload delivery,url,http://112.239.101.92:47735/i,Malware distribution site
2024-01-31,Payload delivery,url,http://182.121.206.90:37546/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://115.52.176.238:52299/i,Malware distribution site
2024-01-31,Payload delivery,url,https://iwg.honors.howamerica.com/editContent,Malware distribution site
2024-01-31,Payload delivery,url,https://lof.honors.howamerica.com/editContent,Malware distribution site
2024-01-31,Payload delivery,url,http://117.199.77.125:37874/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://42.228.38.124:48726/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://182.121.206.90:37546/i,Malware distribution site
2024-01-31,Payload delivery,url,http://218.144.17.195:50464/.i,Malware distribution site
2024-01-31,Payload delivery,url,http://120.211.66.39:54126/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://182.127.121.172:34616/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://117.196.10.226:34408/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,https://str.honors.howamerica.com/editContent,Malware distribution site
2024-01-31,Payload delivery,url,http://222.138.149.63:45192/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://91.143.171.160:41115/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://123.13.138.58:59952/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://182.127.121.172:34616/i,Malware distribution site
2024-01-31,Payload delivery,url,http://115.56.147.48:46552/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://123.13.138.58:59952/i,Malware distribution site
2024-01-31,Payload delivery,url,http://103.114.220.44:53411/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://120.86.247.71:45246/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://109.107.182.3/lego/config.exe,Malware distribution site
2024-01-31,Payload delivery,url,http://91.143.171.160:41115/i,Malware distribution site
2024-01-31,Payload delivery,url,http://182.127.191.118:57197/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://117.196.10.226:34408/i,Malware distribution site
2024-01-31,Payload delivery,url,http://42.235.40.10:36122/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://115.56.147.48:46552/i,Malware distribution site
2024-01-31,Payload delivery,url,http://117.199.74.194:41108/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://182.113.226.76:36870/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.x86,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.m68k,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.ppc,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.mpsl,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.sh4,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.arm6,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.arm5,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.arm,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.x86_64,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.mips,Malware distribution site
2024-01-31,Payload delivery,url,http://45.118.146.123/bulu.arm7,Malware distribution site
2024-01-31,Payload delivery,url,http://120.211.66.39:54126/i,Malware distribution site
2024-01-31,Payload delivery,url,http://39.91.1.55:41377/i,Malware distribution site
2024-01-31,Payload delivery,url,http://182.127.191.118:57197/i,Malware distribution site
2024-01-31,Payload delivery,url,http://222.246.111.117:36943/.i,Malware distribution site
2024-01-31,Payload delivery,url,http://42.239.254.54:53125/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://182.122.232.41:47132/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://42.235.40.10:36122/i,Malware distribution site
2024-01-31,Payload delivery,url,http://42.226.68.62:35156/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://42.231.204.211:36214/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://123.8.25.94:34786/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://219.157.49.202:36422/i,Malware distribution site
2024-01-31,Payload delivery,url,http://109.107.182.3/lego/seidr_build.exe,Malware distribution site
2024-01-31,Payload delivery,url,http://59.93.190.210:49496/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://42.239.225.103:52552/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://182.122.232.41:47132/i,Malware distribution site
2024-01-31,Payload delivery,url,http://42.239.225.103:52552/i,Malware distribution site
2024-01-31,Payload delivery,url,http://115.54.144.113:47378/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://27.207.195.157:48247/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://42.226.68.62:35156/i,Malware distribution site
2024-01-31,Payload delivery,url,http://125.128.31.198:49091/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://42.239.254.54:53125/i,Malware distribution site
2024-01-31,Payload delivery,url,http://42.238.168.240:54304/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://182.121.9.73:42867/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,https://sistema-xyz.online/sol.msi,Malware distribution site
2024-01-31,Payload delivery,url,http://119.179.240.50:53270/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://59.93.189.235:44235/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://222.137.84.14:49164/Mozi.m,Malware distribution site
2024-01-31,Payload delivery,url,http://112.248.101.4:43039/i,Malware distribution site
2024-01-31,Payload delivery,url,http://112.239.123.108:60273/bin.sh,Malware distribution site
2024-01-31,Payload delivery,url,http://42.230.219.134:36542/i,Malware distribution site
2024-01-31,Payload delivery,url,http://42.238.168.240:54304/i,Malware distribution site
