+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: 8FPH24-00924-01 [Fraude] [Phishing]
| UUID: 96e29086-2d6c-4d84-a0bd-169ef718edfb
| Date: 2024-02-01
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-02-01,Payload delivery,email-subject,CUENTA SUSPENDIDA,Asunto
2024-02-01,Payload delivery,email-src,apache@vmi1611148.contaboserver.net,Correos
2024-02-01,Network activity,ip-src,84.247.167.213,Host
2024-02-01,Network activity,ip-src,192.185.138.178,Host
2024-02-01,Payload delivery,url,https://fogape.theaerie.ca/1706111130/imagenes/_personas/home/default.asp,URLs
2024-02-01,Payload delivery,url,https://maximocontaval.com/activacion/cuenta-kaoi/,URLs
2024-02-01,External analysis,attachment,8FPH24-00924-01.docx,Informe CSIRT
2024-02-01,External analysis,text,"El Equipo de Respuesta ante Incidentes de Seguridad Informática (CSIRT de Gobierno) ha identificado una nueva campaña de phishing vía correo electrónico, que suplanta a BancoEstado. En esta campaña, los delincuentes indican falsamente a la víctima lo siguiente: 

“BancoEstado su clave de internet a vencido Su cuenta se encuentra SUSPENDIDA hasta la correcta validacion de sus datos.
realizada la validacion su cuenta sera activada obteniendo los beneficios de banca por internet.”

El correo electrónico incluye un enlace a un formulario para capturar credenciales de usuarios.",Resumen
2024-02-01,External analysis,attachment,8FPH24-00924-01.pdf,Informe CSIRT PDF
2024-02-01,External analysis,attachment,image_mensaje.png,Captura de Pantalla
2024-02-01,External analysis,attachment,imagen_sitio.png,Captura de Pantalla
