+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing urlabuse.com | 2024-02-03
| UUID: 0c97045f-e06f-4e6d-b57e-a96c50b2c8cf
| Date: 2024-02-03
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-02-03,Network activity,hostname,are.xvx.mybluehost.me,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,https://are.xvx.mybluehost.me/passch/,Source URL
2024-02-03,Other,text,SwissPass,Target of the attack
2024-02-03,Network activity,hostname,eservice-cembra.s-host.net,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,https://eservice-cembra.s-host.net/internetbanking/,Source URL
2024-02-03,Other,text,Cembra,Target of the attack
2024-02-03,Network activity,hostname,santantonimurle.it,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,http://www.santantonimurle.it/wp-admin/includes/ch/CHFINAL/e8491/,Source URL
2024-02-03,Other,text,SwissPass,Target of the attack
2024-02-03,Network activity,hostname,xqg.cra.mybluehost.me,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,http://xqg.cra.mybluehost.me/final.html,Source URL
2024-02-03,Other,text,SwissPass,Target of the attack
2024-02-03,Network activity,hostname,cognitoforms.com,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,"http://www.cognitoforms.com/Empowerment7/SignIn?entry={""Email"":""newtonmotcentre@btconnect.com""}",Source URL
2024-02-03,Other,text,Microsoft,Target of the attack
2024-02-03,Network activity,hostname,ifoundstudio.com,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,https://ifoundstudio.com/icon/,Source URL
2024-02-03,Other,text,DHL,Target of the attack
2024-02-03,Network activity,hostname,vtdesarrollo.com,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,https://www.vtdesarrollo.com/assets/vendor/glightbox/css/online/index.php,Source URL
2024-02-03,Other,text,UPC-CH,Target of the attack
2024-02-03,Network activity,hostname,web.castafina.com.co,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,http://web.castafina.com.co/.well-known/acme-challenge/h/multi,Source URL
2024-02-03,Other,text,DHL,Target of the attack
2024-02-03,Network activity,hostname,wbb.weeba.cyou,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,http://wbb.weeba.cyou,Source URL
2024-02-03,Other,text,Whatsapp,Target of the attack
2024-02-03,Network activity,hostname,us-coin-base.weebly.com,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,http://us-coin-base.weebly.com,Source URL
2024-02-03,Other,text,Facebook,Target of the attack
2024-02-03,Network activity,hostname,upholdied-logs.weebly.com,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,http://upholdied-logs.weebly.com,Source URL
2024-02-03,Other,text,Other,Target of the attack
2024-02-03,Network activity,hostname,trezordwwallet.godaddysites.com,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,http://trezordwwallet.godaddysites.com,Source URL
2024-02-03,Other,text,Crypto,Target of the attack
2024-02-03,Network activity,hostname,y248.net,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,https://y248.net,Source URL
2024-02-03,Other,text,Bet365,Target of the attack
2024-02-03,Network activity,hostname,usps.mytrackingen.top,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,https://usps.mytrackingen.top,Source URL
2024-02-03,Other,text,USPS,Target of the attack
2024-02-03,Network activity,hostname,ukl.pages.dev,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,https://ukl.pages.dev/%5C%5C%5C%22https:%5C/%5C/t.myvisualiq.net%5C/impression_pixel?r=739915162&et=i&ago=212&ao=546&aca=26620495&si=4449639&ci=-7&pi=316681543&ad=-7&advt=4470647&chnl=-7&vndr=115&sz=6696&u=[Custom_Data]&pt=i%5C%5C%5C%22,Source URL
2024-02-03,Other,text,Yahoo!,Target of the attack
2024-02-03,Network activity,hostname,texcote.com-xjaaewgpcx4kp14dczhr.xjaaewgpcx4kp14dczhr.manxttrider.com,Host name or IP address of the phishing attack
2024-02-03,Network activity,url,https://texcote.com-xjaaewgpcx4kp14dczhr.xjaaewgpcx4kp14dczhr.manxttrider.com,Source URL
2024-02-03,Other,text,USPS,Target of the attack
