+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Telnet bruteforce Attackers [2024-02-16]
| UUID: 50e98863-982a-4f32-97f6-41ec47691cd7
| Date: 2024-02-17
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-02-17,Network activity,ip-src,1.206.206.168,Source: alienvault
2024-02-17,Network activity,ip-src,39.173.95.32,Source: alienvault
2024-02-17,Network activity,ip-src,123.139.214.42,Source: alienvault
2024-02-17,Network activity,ip-src,111.170.158.197,Source: alienvault
2024-02-17,Network activity,ip-src,1.158.28.37,Source: alienvault
2024-02-17,Network activity,ip-src,112.248.248.130,Source: alienvault
2024-02-17,Network activity,ip-src,39.40.199.142,Source: alienvault
2024-02-17,Network activity,ip-src,58.54.205.31,Source: alienvault
2024-02-17,Network activity,ip-src,220.135.126.35,Source: alienvault
2024-02-17,Network activity,ip-src,206.204.134.41,Source: alienvault
