+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-02-20
| UUID: 904186b8-17bc-4ad6-8bbc-d3aa9c8d6c14
| Date: 2024-02-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-02-20,Network activity,ip-dst|port,156.96.155.234|56999,MooBot botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,93.123.85.174|43957,MooBot botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,url,https://176.113.115.235/ywiymjlizgqwy2fk/,Coper botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,http://miwekahb.beget.tech/l1nc0in.php,DCRat botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,http://94.156.65.61/129edec4272dc2c8.php,Stealc botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,http://cdn-analytic.com/bdjkb2xsd/index.php,Amadey botnet C2 (confidence level: 100%)
2024-02-20,Network activity,domain,cdn-analytic.com,Amadey botnet C2 domain (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,185.147.34.93|55615,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,37.27.36.6|80,Vidar botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,37.27.36.6|443,Vidar botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,193.233.132.216|8081,RisePro botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,74.248.32.95|8081,RisePro botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,187.135.83.6|1723,DarkComet botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,187.135.83.6|1895,DarkComet botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,185.196.8.37|10003,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,80.66.75.53|50050,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,3.136.160.122|20755,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,47.99.93.124|50050,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,110.42.209.75|50050,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,123.57.193.197|50050,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,159.89.209.22|2525,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-02-20,Network activity,ip-dst|port,171.233.98.70|18274,AsyncRAT botnet C2 server (confidence level: 75%)
2024-02-20,Network activity,ip-dst|port,141.98.168.167|9222,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,41.216.183.27|5034,Mirai botnet C2 server (confidence level: 75%)
2024-02-20,Network activity,ip-dst|port,103.172.79.74|2807,Mirai botnet C2 server (confidence level: 75%)
2024-02-20,Network activity,domain,bonet.networkbn.com,Mirai botnet C2 domain (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,146.71.78.14|151,Bashlite botnet C2 server (confidence level: 75%)
2024-02-20,Network activity,ip-dst|port,52.162.200.36|7443,Unknown malware botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,88.214.25.240|7443,Unknown malware botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,94.130.169.13|443,Havoc botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,23.88.118.173|443,Havoc botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,45.150.67.45|8081,Havoc botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,2.50.137.96|995,QakBot botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,89.137.186.176|443,QakBot botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,175.10.223.19|4432,QakBot botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,201.137.233.254|443,QakBot botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,216.137.233.159|443,QakBot botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,95.20.241.10|443,QakBot botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,43.229.115.107|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,43.229.115.109|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,43.229.115.106|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-02-20,Network activity,ip-dst|port,194.169.175.233|3609,Vjw0rm botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,url,https://37.27.36.6/,Vidar botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,https://65.109.242.97/,Vidar botnet C2 (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,65.109.242.97|443,Vidar botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,103.186.117.238|1941,Remcos botnet C2 server (confidence level: 100%)
2024-02-20,Payload delivery,url,https://vfxfilmschool.com/cdn-vs/cache.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-02-20,Payload delivery,url,https://vfxfilmschool.com/cache/ezrgqnaww.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-02-20,Payload delivery,url,https://vfxfilmschool.com/data.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,103.186.117.77|1761,Remcos botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,91.92.242.176|51480,Remcos botnet C2 server (confidence level: 75%)
2024-02-20,Network activity,url,http://185.172.128.145/3cd2b41cbde8fc9c.php,Stealc botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,https://81.19.138.57/cx,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,81.19.138.57|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,url,https://service-3rca94g4-1319979259.hk.tencentapigw.cn/api/getit,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,domain,service-3rca94g4-1319979259.hk.tencentapigw.cn,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,45.152.66.91|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,url,http://81.19.138.57/ie9compatviewlist.xml,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,81.19.138.57|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,83.137.157.54|9231,Remcos botnet C2 server (confidence level: 100%)
2024-02-20,Network activity,url,http://101.201.46.105:8989/en_us/all.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,http://cs52010.tw1.ru/_defaultwindows.php,DCRat botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,https://107.189.14.144/fwlink,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,https://104.234.240.6/dot.gif,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,https://1.94.110.130/__utm.gif,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,http://service-mlanbdgq-1301500665.gz.tencentapigw.com.cn/api/x,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,domain,service-mlanbdgq-1301500665.gz.tencentapigw.com.cn,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-02-20,Network activity,url,http://8.222.165.110/__utm.gif,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,http://107.189.14.144:8080/match,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,url,https://106.54.202.74/g.pixel,Cobalt Strike botnet C2 (confidence level: 100%)
2024-02-20,Network activity,ip-dst|port,109.248.151.96|52048,Remcos botnet C2 server (confidence level: 75%)
2024-02-20,Network activity,url,https://42.193.178.194:55443/api/x,Cobalt Strike botnet C2 (confidence level: 100%)
