+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-02-21
| UUID: 470c93aa-4a14-4f48-bb79-86c6be38b52f
| Date: 2024-02-21
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-02-21,Network activity,ip-dst|port,20.218.68.91|13817,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-02-21,Network activity,domain,elianisgalidon3020.duckdns.org,Nanocore RAT botnet C2 domain (confidence level: 100%)
2024-02-21,Network activity,ip-dst|port,5.181.202.117|443,Unknown malware botnet C2 server (confidence level: 90%)
2024-02-21,Network activity,ip-dst|port,213.139.205.174|443,Unknown malware botnet C2 server (confidence level: 90%)
2024-02-21,Network activity,ip-dst|port,77.72.85.124|443,Unknown malware botnet C2 server (confidence level: 90%)
2024-02-21,Network activity,ip-dst|port,193.168.141.40|443,Unknown malware botnet C2 server (confidence level: 90%)
2024-02-21,Network activity,ip-dst|port,45.95.146.3|8872,Mirai botnet C2 server (confidence level: 75%)
2024-02-21,Network activity,domain,db2017417b23.zapto.org,Mirai botnet C2 domain (confidence level: 75%)
2024-02-21,Network activity,url,https://83.97.73.254/yzi4mgfhzji2mmm5/,Coper botnet C2 (confidence level: 100%)
2024-02-21,Network activity,ip-dst|port,88.165.236.23|64278,Nanocore RAT botnet C2 server (confidence level: 100%)
2024-02-21,Network activity,domain,nanocore73.zapto.org,Nanocore RAT botnet C2 domain (confidence level: 100%)
2024-02-21,Network activity,ip-dst|port,3.22.30.40|18237,Nanocore RAT botnet C2 server (confidence level: 100%)
2024-02-21,Network activity,ip-dst|port,3.134.125.175|18237,Nanocore RAT botnet C2 server (confidence level: 100%)
