+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-02-26
| UUID: 4cf0b36c-a2cc-4174-8ecc-2bddef7a600e
| Date: 2024-02-26
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-02-26,Network activity,ip-dst|port,3.126.37.18|16653,NjRAT botnet C2 server (confidence level: 75%)
2024-02-26,Network activity,domain,4stvghabsy3dg893uhszgtyerecs44axutq5unuvsa7u8833eb.nl,Unknown malware botnet C2 domain (confidence level: 100%)
2024-02-26,Network activity,domain,refinedruffles.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-02-26,Network activity,domain,q65fpfr2wpjugu7y3ldvjjdgz8uzqak2.nl,Unknown malware botnet C2 domain (confidence level: 100%)
2024-02-26,Network activity,domain,pve.pezow.ovh,Nanocore RAT botnet C2 domain (confidence level: 100%)
2024-02-26,Network activity,ip-dst|port,185.196.9.97|38241,Mirai botnet C2 server (confidence level: 75%)
2024-02-26,Network activity,domain,mnmn.espontaneo.cc,Mirai botnet C2 domain (confidence level: 75%)
2024-02-26,Network activity,domain,route.qyhgroup.com,Mirai botnet C2 domain (confidence level: 75%)
2024-02-26,Network activity,domain,multi-bidding.gl.at.ply.gg,NjRAT botnet C2 domain (confidence level: 75%)
2024-02-26,Network activity,domain,wwv.bmjz.vip,Mirai botnet C2 domain (confidence level: 75%)
2024-02-26,Payload delivery,url,https://bigcuda.com/cdn-vs/cache.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-02-26,Payload delivery,url,https://bigcuda.com/help/zewmrgqnw.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-02-26,Payload delivery,url,https://bigcuda.com/data.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-02-26,Network activity,url,http://a0914958.xsph.ru/8a45dff2.php,DCRat botnet C2 (confidence level: 100%)
2024-02-26,Network activity,ip-dst|port,185.196.9.214|80,Sliver botnet C2 server (confidence level: 50%)
2024-02-26,Network activity,ip-dst|port,94.156.67.244|443,Havoc botnet C2 server (confidence level: 50%)
2024-02-26,Network activity,ip-dst|port,82.67.60.21|80,Havoc botnet C2 server (confidence level: 50%)
2024-02-26,Network activity,ip-dst|port,154.247.237.145|993,QakBot botnet C2 server (confidence level: 50%)
