+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-02-17
| UUID: 8e4ab3c2-3d62-44a4-b6ab-0ef033c5892c
| Date: 2024-02-17
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-02-17,Payload delivery,url,http://178.141.151.193:60021/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://59.184.238.156:55353/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://182.127.39.253:38353/i,Malware distribution site
2024-02-17,Payload delivery,url,http://219.157.61.222:47089/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://123.4.252.140:49920/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://123.9.111.150:58527/i,Malware distribution site
2024-02-17,Payload delivery,url,http://120.211.86.3:55489/i,Malware distribution site
2024-02-17,Payload delivery,url,http://39.187.73.202:33916/i,Malware distribution site
2024-02-17,Payload delivery,url,http://115.50.24.87:49776/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://42.85.114.73:42233/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://117.252.160.139:42306/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://45.23.22.186:54858/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://117.207.67.218:34266/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://117.211.211.238:56426/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://42.85.114.73:42233/i,Malware distribution site
2024-02-17,Payload delivery,url,http://219.157.61.222:47089/i,Malware distribution site
2024-02-17,Payload delivery,url,http://138.207.174.248:39252/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://123.4.252.140:49920/i,Malware distribution site
2024-02-17,Payload delivery,url,http://182.113.207.208:39166/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://117.211.211.238:56426/i,Malware distribution site
2024-02-17,Payload delivery,url,http://116.138.34.177:54330/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://117.248.57.135:59145/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://115.50.24.87:49776/i,Malware distribution site
2024-02-17,Payload delivery,url,http://117.248.30.90:41138/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://117.207.252.89:43330/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://42.227.206.209:48392/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://111.61.93.17:33332/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://115.63.205.154:41404/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://182.113.207.208:39166/i,Malware distribution site
2024-02-17,Payload delivery,url,http://59.99.128.165:37028/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://120.211.137.176:43548/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://124.133.185.147:55741/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://115.50.209.216:36766/i,Malware distribution site
2024-02-17,Payload delivery,url,http://182.120.164.147:49808/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://182.127.180.129:38912/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://219.157.253.56:44003/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://117.217.81.66:56409/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://116.138.34.177:54330/i,Malware distribution site
2024-02-17,Payload delivery,url,http://117.214.15.51:55100/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://111.61.93.17:33332/i,Malware distribution site
2024-02-17,Payload delivery,url,http://59.92.44.122:44399/i,Malware distribution site
2024-02-17,Payload delivery,url,http://115.63.205.154:41404/i,Malware distribution site
2024-02-17,Payload delivery,url,http://222.142.238.218:47504/i,Malware distribution site
2024-02-17,Payload delivery,url,http://42.230.40.212:51010/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://42.233.107.15:58779/i,Malware distribution site
2024-02-17,Payload delivery,url,http://112.238.159.181:46483/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://124.133.185.147:55741/i,Malware distribution site
2024-02-17,Payload delivery,url,http://182.120.164.147:49808/i,Malware distribution site
2024-02-17,Payload delivery,url,http://115.55.236.119:33192/i,Malware distribution site
2024-02-17,Payload delivery,url,http://117.217.81.66:56409/i,Malware distribution site
2024-02-17,Payload delivery,url,http://117.199.77.72:55671/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://219.157.253.56:44003/i,Malware distribution site
2024-02-17,Payload delivery,url,http://123.5.186.193:38644/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://117.194.171.219:55702/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://178.69.215.195:45673/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://112.238.159.181:46483/i,Malware distribution site
2024-02-17,Payload delivery,url,http://39.79.1.231:48205/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://58.47.10.139:45673/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://42.230.40.212:51010/i,Malware distribution site
2024-02-17,Payload delivery,url,http://42.243.138.109:47514/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://182.117.78.219:52707/i,Malware distribution site
2024-02-17,Payload delivery,url,http://182.117.70.71:49735/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://117.211.213.127:53399/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://178.69.215.195:45673/i,Malware distribution site
2024-02-17,Payload delivery,url,http://123.4.44.23:36714/i,Malware distribution site
2024-02-17,Payload delivery,url,http://94.156.71.134/bins/x86_32,Malware distribution site
2024-02-17,Payload delivery,url,http://119.180.227.24:42808/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://200.69.52.13:45805/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://113.190.168.33:35201/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://112.229.189.2:59265/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://182.121.241.37:56608/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://42.243.138.109:47514/i,Malware distribution site
2024-02-17,Payload delivery,url,http://117.211.208.14:42947/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://123.10.213.24:51015/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://61.2.104.191:57170/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://175.167.86.250:39901/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://59.99.128.165:37028/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://182.121.241.37:56608/i,Malware distribution site
2024-02-17,Payload delivery,url,http://112.248.105.63:36210/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://119.178.248.206:38306/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://124.135.182.185:34077/bin.sh,Malware distribution site
2024-02-17,Payload delivery,url,http://115.60.149.174:41931/Mozi.m,Malware distribution site
2024-02-17,Payload delivery,url,http://125.41.173.28:48363/i,Malware distribution site
2024-02-17,Payload delivery,url,http://123.10.213.24:51015/i,Malware distribution site
2024-02-17,Payload delivery,url,http://59.99.128.165:37028/i,Malware distribution site
2024-02-17,Payload delivery,url,http://119.178.248.206:38306/i,Malware distribution site
2024-02-17,Payload delivery,url,http://116.75.124.125:34295/Mozi.m,Malware distribution site
