+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-02-20
| UUID: 0ece24d0-e760-4bbd-a413-bd7459204aca
| Date: 2024-02-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-02-20,Payload delivery,url,http://112.252.202.220:45339/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://123.11.77.158:55683/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.201.13.232:51722/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.199.79.30:39553/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,https://vk.com/doc329118071_675079636?hash=ZRP6E8nMOFgnBErVUCg5RGhhPha2guGGmhVZFHVT0x4&dl=7XmSQ75j4KD4L1SvGku0Jdnpe0QYdafTkZvXDgfbxBw&api=1&no_preview=1,Malware distribution site
2024-02-20,Payload delivery,url,http://119.185.171.179:41716/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.206.177.106:39211/i,Malware distribution site
2024-02-20,Payload delivery,url,http://182.124.158.190:37477/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.214.11.43:55534/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://59.92.41.90:36464/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://59.89.41.44:59872/i,Malware distribution site
2024-02-20,Payload delivery,url,http://110.182.117.123:46924/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.194.161.218:33325/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://45.144.232.181/conhost.exe,Malware distribution site
2024-02-20,Payload delivery,url,http://59.93.28.102:54141/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.214.11.43:55534/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.202.73.157:40941/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://219.157.56.179:36535/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://111.250.169.3:20176/.i,Malware distribution site
2024-02-20,Payload delivery,url,http://42.233.151.109:58343/i,Malware distribution site
2024-02-20,Payload delivery,url,http://114.239.115.176:29201/.i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.54.146.22:48273/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://110.182.117.123:46924/i,Malware distribution site
2024-02-20,Payload delivery,url,http://182.124.158.190:37477/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://42.224.214.15:44532/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.217.87.97:57836/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.205.58.171:46175/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.206.189.138:33605/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.235.147.213:56404/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://182.113.249.110:51592/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.55.239.201:35015/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.211.209.158:50823/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.202.73.157:40941/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.211.209.158:50823/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.63.9.190:37548/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://114.239.202.223:50498/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.235.60.61:46691/Mozi.a,Malware distribution site
2024-02-20,Payload delivery,url,http://114.226.125.194:41230/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://115.54.146.22:48273/i,Malware distribution site
2024-02-20,Payload delivery,url,http://175.150.249.124:42137/i,Malware distribution site
2024-02-20,Payload delivery,url,http://45.144.232.181/svchost.exe,Malware distribution site
2024-02-20,Payload delivery,url,http://42.224.214.15:44532/i,Malware distribution site
2024-02-20,Payload delivery,url,http://42.234.216.189:59573/i,Malware distribution site
2024-02-20,Payload delivery,url,http://182.124.158.190:37477/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.248.62.157:36975/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.217.87.97:57836/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.252.33.0:36744/i,Malware distribution site
2024-02-20,Payload delivery,url,http://59.95.125.181:44530/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://60.18.75.178:35492/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://123.5.152.158:49677/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://123.12.199.168:36782/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://115.62.115.224:42996/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://222.141.122.235:50323/Mozi.a,Malware distribution site
2024-02-20,Payload delivery,url,http://123.7.220.21:48056/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.199.15.245:58006/mozi.a,Malware distribution site
2024-02-20,Payload delivery,url,http://182.114.199.67:50384/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://123.232.160.64:53420/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.248.16.91:46197/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://59.99.136.72:44116/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.248.62.157:36975/i,Malware distribution site
2024-02-20,Payload delivery,url,http://49.213.129.136:28481/.i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.211.208.110:52927/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://115.63.36.192:59960/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://59.95.125.181:44530/i,Malware distribution site
2024-02-20,Payload delivery,url,http://118.250.5.255:43378/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.205.60.15:37355/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://59.99.137.248:46628/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://60.18.75.178:35492/i,Malware distribution site
2024-02-20,Payload delivery,url,http://219.155.209.153:42611/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://123.7.220.21:48056/i,Malware distribution site
2024-02-20,Payload delivery,url,http://222.138.101.172:52707/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://123.5.152.158:49677/i,Malware distribution site
2024-02-20,Payload delivery,url,http://123.232.160.64:53420/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.248.63.96:42998/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://125.45.55.155:55833/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://119.179.251.33:35644/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://222.138.101.172:52707/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.53.246.133:44925/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://39.170.28.191:56063/Mozi.a,Malware distribution site
2024-02-20,Payload delivery,url,http://213.120.230.115:60499/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://121.123.47.111:9635/.i,Malware distribution site
2024-02-20,Payload delivery,url,http://182.114.199.67:50384/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.63.36.192:59960/i,Malware distribution site
2024-02-20,Payload delivery,url,http://182.117.5.133:59733/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://222.141.43.74:39712/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://219.155.209.153:42611/i,Malware distribution site
2024-02-20,Payload delivery,url,http://116.2.36.232:34362/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://110.182.98.26:29456/.i,Malware distribution site
2024-02-20,Payload delivery,url,http://59.92.44.216:43000/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://42.224.25.19:56175/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://119.179.251.33:35644/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.215.211.118:55509/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://115.48.156.46:49449/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://42.230.25.17:37911/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://116.2.36.232:34362/i,Malware distribution site
2024-02-20,Payload delivery,url,http://91.239.77.159:57512/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://59.96.163.178:52081/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://42.230.25.17:37911/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.48.156.46:49449/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.200.190.90:33384/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://61.54.68.227:39182/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://125.43.242.245:48847/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://223.13.80.124:60539/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.192.126.74:39522/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://115.48.153.194:51818/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://223.8.234.135:52046/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://42.224.25.19:56175/i,Malware distribution site
2024-02-20,Payload delivery,url,http://42.224.29.33:44236/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://115.55.190.142:57174/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://115.48.153.194:51818/i,Malware distribution site
2024-02-20,Payload delivery,url,http://196.189.103.170:42865/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://106.41.56.202:45643/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.213.86.76:48316/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://1.70.81.18:44618/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://59.95.130.216:50083/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://115.58.14.191:40303/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://59.89.192.219:43832/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.214.10.158:60763/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://61.52.41.173:42167/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://61.147.66.103:47805/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://42.224.29.33:44236/i,Malware distribution site
2024-02-20,Payload delivery,url,http://59.96.163.178:52081/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.217.80.83:60654/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.200.190.90:33384/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.58.14.191:40303/i,Malware distribution site
2024-02-20,Payload delivery,url,http://59.89.5.166:54468/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.55.225.91:39438/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://119.180.95.19:33453/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://59.95.130.216:50083/i,Malware distribution site
2024-02-20,Payload delivery,url,http://123.4.197.19:54942/i,Malware distribution site
2024-02-20,Payload delivery,url,http://196.189.103.170:42865/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.213.41.77:58979/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://114.239.127.146:55141/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://112.254.1.221:35318/i,Malware distribution site
2024-02-20,Payload delivery,url,http://120.56.9.168:34148/i,Malware distribution site
2024-02-20,Payload delivery,url,http://123.8.2.125:39168/i,Malware distribution site
2024-02-20,Payload delivery,url,http://185.172.128.109/InstallSetupNew.exe,Malware distribution site
2024-02-20,Payload delivery,url,http://205.234.200.26/02mail.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://185.172.128.109/InstallSetup_six.exe,Malware distribution site
2024-02-20,Payload delivery,url,http://185.172.128.109/InstallSetup5.exe,Malware distribution site
2024-02-20,Payload delivery,url,http://182.116.95.1:41856/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://110.182.168.191:39639/.i,Malware distribution site
2024-02-20,Payload delivery,url,http://61.147.66.103:47805/i,Malware distribution site
2024-02-20,Payload delivery,url,http://123.12.17.187:47504/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.248.53.146:50174/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://61.53.74.200:48233/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://125.42.27.138:36214/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.202.72.92:58915/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://115.51.92.192:48715/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.209.14.34:43538/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://61.53.239.29:41698/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://221.1.226.222:34056/i,Malware distribution site
2024-02-20,Payload delivery,url,http://111.61.181.52:45429/i,Malware distribution site
2024-02-20,Payload delivery,url,http://200.69.52.4:51075/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://90.159.4.113:55124/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.252.48.209:56092/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://222.138.179.233:34800/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.202.75.1:37090/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://111.61.93.4:49422/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.217.80.83:60654/i,Malware distribution site
2024-02-20,Payload delivery,url,http://123.12.17.187:47504/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.248.53.146:50174/i,Malware distribution site
2024-02-20,Payload delivery,url,http://61.53.74.200:48233/i,Malware distribution site
2024-02-20,Payload delivery,url,http://120.211.137.182:53266/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://117.252.48.209:56092/i,Malware distribution site
2024-02-20,Payload delivery,url,http://125.42.27.138:36214/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.207.241.194:59971/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://90.159.4.113:55124/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.63.177.233:51885/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://123.8.53.169:48109/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.207.241.194:59971/i,Malware distribution site
2024-02-20,Payload delivery,url,http://111.61.93.4:49422/i,Malware distribution site
2024-02-20,Payload delivery,url,http://115.63.177.233:51885/i,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/bins.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://42.227.34.223:49075/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://59.93.184.152:58317/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://42.230.35.53:37507/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://120.211.137.182:53266/i,Malware distribution site
2024-02-20,Payload delivery,url,http://117.255.91.142:55558/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://103.172.79.74/wget.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://115.50.59.142:48161/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://110.180.173.243:40370/Mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,https://mail.isellemails.com/MediaLight/uploads/3e4ee6ff369d27141.exe,Malware distribution site
2024-02-20,Payload delivery,url,http://94.156.65.61/cdb52cf952e86d4b/vcruntime140.dll,Malware distribution site
2024-02-20,Payload delivery,url,http://94.156.65.61/cdb52cf952e86d4b/msvcp140.dll,Malware distribution site
2024-02-20,Payload delivery,url,http://94.156.65.61/cdb52cf952e86d4b/sqlite3.dll,Malware distribution site
2024-02-20,Payload delivery,url,http://94.156.65.61/cdb52cf952e86d4b/nss3.dll,Malware distribution site
2024-02-20,Payload delivery,url,http://94.156.65.61/cdb52cf952e86d4b/mozglue.dll,Malware distribution site
2024-02-20,Payload delivery,url,http://94.156.65.61/cdb52cf952e86d4b/freebl3.dll,Malware distribution site
2024-02-20,Payload delivery,url,http://94.156.65.61/cdb52cf952e86d4b/softokn3.dll,Malware distribution site
2024-02-20,Payload delivery,url,http://59.93.25.28:46979/mozi.m,Malware distribution site
2024-02-20,Payload delivery,url,http://117.252.163.205:53690/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/openssh,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/wget,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/ntpd,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/sh,Malware distribution site
2024-02-20,Payload delivery,url,http://113.12.253.203:40016/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://59.93.184.63:46887/bin.sh,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/pftp,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/ftp,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/bash,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/cron,Malware distribution site
2024-02-20,Payload delivery,url,http://146.71.78.14/apache2,Malware distribution site
