+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-03-05]
| UUID: d8b48975-5c3c-4fef-a752-a5580d9390c1
| Date: 2024-03-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-03-05,Payload installation,filename,Re Remittance Advice.exe,Source: MalwareBazaar
2024-03-05,Payload installation,md5,8645a2056efd832c1f433764e7bbe203,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,8721b44a0cf8eceb4f79fca29f396642455c7fda,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,359d716f71f188445d2aaeff9b2ebe5a32db7e4d86220651a94d0eb263d3f582,Source: MalwareBazaar
2024-03-05,Payload installation,filename,new order  PO#-QSC240304.pdf.exe,Source: MalwareBazaar
2024-03-05,Payload installation,md5,56a845a1a3ab03e26eee293e2c6c308a,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,3babe4ff2378afe98a7f4501883ffbfbbcd677a7,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,1614b0ca32eba5a9759982d136edae6b2eb97908314f61f09f91e6dbd72b1e0b,Source: MalwareBazaar
2024-03-05,Payload installation,filename,Scan copy_doc.exe,Source: MalwareBazaar
2024-03-05,Payload installation,md5,a7f1583777f469163b38c446374e3213,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,128a4ead87fc35688fa0a6bd8919f13e85a94a51,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,0b566e1f7c6f828963b2c47b8e38ded81c0413afe7604166194f4a507dfbf1b6,Source: MalwareBazaar
2024-03-05,Payload installation,filename,SecuriteInfo.com.Heur.27333.31309,Source: MalwareBazaar
2024-03-05,Payload installation,md5,22da7e92cec24042e43e68cb10c01f2f,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,761bae464141596e0c826cff9c5bd5a87fc2e232,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,32a0418e76112850221fe297e8b00362dd69f77efadbafa326c29293df28f6ec,Source: MalwareBazaar
2024-03-05,Payload installation,filename,New order.exe,Source: MalwareBazaar
2024-03-05,Payload installation,md5,42a6ef1d179985d370c684e00bb24eb1,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,6b31d7af39426e3513c882a35227435f6bf80f55,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,b224c93b27774068d0c1a5e0ba7e744ff382c96ef02b2626fd434d1686f35e3a,Source: MalwareBazaar
2024-03-05,Payload installation,filename,PCw3FQXH9ofHmol.exe,Source: MalwareBazaar
2024-03-05,Payload installation,md5,8795761d24c247054dad7044ef6ddca3,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,f413b93cfdb1fe3feeb44546acb86896a3d75420,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,25c5d3fc4aec68729a44bb3810596d4aa2ecd4eab006d7d3d3dfb7cf02c441af,Source: MalwareBazaar
2024-03-05,Payload installation,filename,RFQ-50236710-ETECSA_1.zip,Source: MalwareBazaar
2024-03-05,Payload installation,md5,6d1610bb77b273e8fde2f9ddec6457ad,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,2654fb5a4d3e181f87f6f85adea440daf2b79650,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,7334be5d6f87ae9b25f8e8b65d45de07151b99c49e0c3e5df48653289db5a8e0,Source: MalwareBazaar
2024-03-05,Payload installation,filename,834aaf9f30c5a828d127a25ffa4056613e70c1ea517f7d6ee5cefd154dc0ba3f,Source: MalwareBazaar
2024-03-05,Payload installation,md5,15f0eba42fa1b685b67e8b1952ccae48,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,d516726a2f6fb11493891b2602411679d74eec88,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,834aaf9f30c5a828d127a25ffa4056613e70c1ea517f7d6ee5cefd154dc0ba3f,Source: MalwareBazaar
2024-03-05,Payload installation,filename,b849ca86c1635efacdd8a0383dea44482da2228d35fc37a2a5f99077c0b29137,Source: MalwareBazaar
2024-03-05,Payload installation,md5,9fb0da526be1bdcfd97990ed802f50de,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,f0c872642b9686025c70839c3c7d8a843b224868,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,b849ca86c1635efacdd8a0383dea44482da2228d35fc37a2a5f99077c0b29137,Source: MalwareBazaar
2024-03-05,Payload installation,filename,arbejdsommere.vbs,Source: MalwareBazaar
2024-03-05,Payload installation,md5,f8577629aeb64e251b9cb1e099e714d0,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,5f0a623045c49b2d7ae72bcbd66ada317e4f03e2,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,8d506a06bb82e85988a2b5be1e4ec782667ef2b5252f16a46adcc75e92077ef7,Source: MalwareBazaar
2024-03-05,Payload installation,filename,5491fcd61ab5265371cd23d171a7e793be1f33dc2e7f8a08d1feb11fa7be8283,Source: MalwareBazaar
2024-03-05,Payload installation,md5,49d3a9f796be84730216fb3be64111d4,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,0ce9208ccb4f86f91a5bb740582e8341fd59a038,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,5491fcd61ab5265371cd23d171a7e793be1f33dc2e7f8a08d1feb11fa7be8283,Source: MalwareBazaar
2024-03-05,Payload installation,filename,fad0d8e90ff191c8ba6dfcab31ae3ecb976a15ccf5c7ac1180964142f4e07aed,Source: MalwareBazaar
2024-03-05,Payload installation,md5,484305e1505b7a53491fffa7443ae794,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,9b76c3079e48e0033b2f5b4dd7d1615da33ea97c,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,fad0d8e90ff191c8ba6dfcab31ae3ecb976a15ccf5c7ac1180964142f4e07aed,Source: MalwareBazaar
2024-03-05,Payload installation,filename,informe bancario y motivo del pago rechazado.xla,Source: MalwareBazaar
2024-03-05,Payload installation,md5,40e068be98ea0b6ca31af370328840b6,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,11e7096e6268536aa7e80e6f87c0c7815b067566,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,d7ae9c118c01c6751d64e011c70f601a73cb566df9ab3d43d25e69e30a5d8e4a,Source: MalwareBazaar
2024-03-05,Payload installation,filename,91df8b48dea4700786df2208d5a1fec0367d4477d9ea51369e8c0c7b75545854,Source: MalwareBazaar
2024-03-05,Payload installation,md5,477523c7d05741f44ff2a733b91b24aa,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,bf5846a9cddc54c0844eaa568462779145caa53a,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,91df8b48dea4700786df2208d5a1fec0367d4477d9ea51369e8c0c7b75545854,Source: MalwareBazaar
2024-03-05,Payload installation,filename,NEW QUOTE RFQ QUG24-20037.exe,Source: MalwareBazaar
2024-03-05,Payload installation,md5,c162b87e2f415151fa28e048cf2a8220,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,248f95128d6674226914dfb2a0f4514e226ed9d2,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,45bdc1b6250045529b8332c7fcca84f7215c66de929b2ae7a10be86fee2924c5,Source: MalwareBazaar
2024-03-05,Payload installation,filename,"Summary of DXB,CNE & NE.exe",Source: MalwareBazaar
2024-03-05,Payload installation,md5,0665f5a025ab7f126aa19bbcaab50ff5,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,50fdbf08d54090a662a71c76add5d2e4c34b483f,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,24c9acb63f0609eb55be6942137bad343c21e28c0bdb3a4a415e35c39a4c2ba6,Source: MalwareBazaar
2024-03-06,Payload installation,filename,Arrival Notice.exe,Source: MalwareBazaar
2024-03-06,Payload installation,md5,0d460657654d78430b5ca4d7d5f4b663,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,fd52e734e3f321c4b407e80fe034f0e4d394185c,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,3b89171d1b809c00201e6deaf5300a9c269c0d60ac4ac2201e61e698bdac7300,Source: MalwareBazaar
2024-03-06,Payload installation,filename,Purchase order 4500381478.exe,Source: MalwareBazaar
2024-03-06,Payload installation,md5,cef073eee23d171f2f85d613156905f5,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,2d3adf39dafb53616b9426ec2af1e2b2f0ff94f8,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,d15a53b03ae3d6aebeb2d08c1ab71ccace7a418ea6413f73085f60154ca682e0,Source: MalwareBazaar
2024-03-06,Payload installation,filename,2024-03 CV Forner Eugenia.exe,Source: MalwareBazaar
2024-03-06,Payload installation,md5,ea2999791e7348de0e35007cd6b4992e,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,bfe21edb283382c3e2d2db11f7fcc3be84de6325,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,faf3f62dfe8cb253f9353473181163afce4bf199222d3731621c7972e87da49d,Source: MalwareBazaar
