+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-03-06]
| UUID: bbb0ed19-0fe0-481d-86c4-23217d01751f
| Date: 2024-03-06
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-03-06,Payload installation,filename,SecuriteInfo.com.Heur.11794.18481,Source: MalwareBazaar
2024-03-06,Payload installation,md5,a364ed3ab21866c2f09f27a173e7765c,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,7873d0cb5b54e445f4a0ee9691b20d3d842abae9,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,49b6e39d3bad9886d52682f7cd3e0b2ba25b9cc6b6b58802858c8d3722d7deb7,Source: MalwareBazaar
2024-03-06,Payload installation,filename,SecuriteInfo.com.Trojan.DownLoader45.1747.11099.17830,Source: MalwareBazaar
2024-03-06,Payload installation,md5,9efa7303abaff6254a75606d751fa123,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,2c817150fd4731e54d69876babbd72ce2acea8b0,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,bebb26a32c9db65ecd6e60f671873d09d5bc0e2321d3bac4651ec8c40c704058,Source: MalwareBazaar
2024-03-06,Payload installation,filename,URGENT REQUEST FOR QUOTATION.exe,Source: MalwareBazaar
2024-03-06,Payload installation,md5,ad1b5eb8ac04a99c743e615b81bbab9e,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,9b28273832a99430c0a6ce222ab0b70405db326c,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,99a1c20b08ce68a8b787a7234d5421a4c7e1f1607de03c91ee346e93373a4041,Source: MalwareBazaar
2024-03-06,Payload installation,filename,PO20240306.exe,Source: MalwareBazaar
2024-03-06,Payload installation,md5,6a6ee1c6ff2420cb4503e4544539251e,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,0823eb7643ab7607f8c77a0e46a6fa87b894f720,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,d9b82a32e0118a28cd379ebbeb52faea3e033687c7a88503d701b62d9b5f008a,Source: MalwareBazaar
2024-03-06,Payload installation,filename,Product list.png.exe,Source: MalwareBazaar
2024-03-06,Payload installation,md5,422dae158a15725dd2f81a76ed1be6e3,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,fc02bd1445823f87cc79fe6c4488786fdd862450,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,2b638047b4126420741fcbd3c7ea9b276f48a8005a629955f8a568cc7e7634c4,Source: MalwareBazaar
2024-03-06,Payload installation,filename,PDF  Order no. 20242902-70611 05.03.2024. - DIV GROUP.PDF.img.bat,Source: MalwareBazaar
2024-03-06,Payload installation,md5,919ef76a71736049d91204e72e708bc4,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,724826a9cfe9e19ad5a7c94168e1fc78a5614d91,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,61e617222671bb531f25efd53cfc40311283984ef4d1366dc747a913e8294f40,Source: MalwareBazaar
2024-03-06,Payload installation,filename,SecuriteInfo.com.Variant.Lazy.490347.28942.18465,Source: MalwareBazaar
2024-03-06,Payload installation,md5,7d55c09a5365a21bd13858e52d2621d9,Source: MalwareBazaar
2024-03-06,Payload installation,sha1,21aba65f85965b13a9a791cacbf3febd351779ce,Source: MalwareBazaar
2024-03-06,Payload installation,sha256,d94605dc9ae015762fc63c3ffc0adb88c67ad5173e3ea737d2e298217da8e611,Source: MalwareBazaar
2024-03-06,Payload installation,filename,SecuriteInfo.com.Win32.PWSX-gen.24055.12922,Source: MalwareBazaar
2024-03-06,Payload installation,md5,1b66af68f8a9493ac8426fb7d2e27659,Source: MalwareBazaar
