+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2024-03-05]
| UUID: 0bc6007f-55bf-419e-8969-b68a103dc31e
| Date: 2024-03-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-03-05,Payload installation,filename,BSFmOByoPGAlHZS.exe,Source: MalwareBazaar
2024-03-05,Payload installation,md5,f413a9ddff6e41207c99a2ecb921396b,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,9fca77c2ee479dab8b8bc3491d960c4fb4829409,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,c4228dc6ce27a3999eb9319d40699625d8e003da61d9a4f274584248a0535548,Source: MalwareBazaar
2024-03-05,Payload installation,filename,0890974398f376991a37898b584669953b207927b32d3c0e1c308f5a5d2a8a1a,Source: MalwareBazaar
2024-03-05,Payload installation,md5,c180a93fc73256c6c9989e5bcd991291,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,c982e66be2370b2e088406034d2bf51130bd848c,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,0890974398f376991a37898b584669953b207927b32d3c0e1c308f5a5d2a8a1a,Source: MalwareBazaar
2024-03-05,Payload installation,filename,b1f26521e9ae8f0e1d1ffcc7c48b661c6fc450fce9ffdd508bf20e6b0ef37330,Source: MalwareBazaar
2024-03-05,Payload installation,md5,05a7ac80e8db9989acc4df70ce27561e,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,df78b8252c3ad7e75c57fc9f1c036634349f97b1,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,b1f26521e9ae8f0e1d1ffcc7c48b661c6fc450fce9ffdd508bf20e6b0ef37330,Source: MalwareBazaar
2024-03-05,Payload installation,filename,3d04fa4b6ab36cf449cd1409151eaac4fa3568d9cd3218c549024ef537d7f6f5,Source: MalwareBazaar
2024-03-05,Payload installation,md5,e1f8774423b74f716eeb43a8a88d4737,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,c794a7eed3125ea710c53659eda0ab706d93b35a,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,3d04fa4b6ab36cf449cd1409151eaac4fa3568d9cd3218c549024ef537d7f6f5,Source: MalwareBazaar
2024-03-05,Payload installation,filename,89fdf43deb239a530040fd39eab20c7fdd8e4603c1dc7a6f5a222deda3c6a4f2,Source: MalwareBazaar
2024-03-05,Payload installation,md5,83b1aecc045ed208704080ad50802d79,Source: MalwareBazaar
2024-03-05,Payload installation,sha1,ee099c29c6a4898a7806b34b6d71775241c07ef6,Source: MalwareBazaar
2024-03-05,Payload installation,sha256,89fdf43deb239a530040fd39eab20c7fdd8e4603c1dc7a6f5a222deda3c6a4f2,Source: MalwareBazaar
