+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-03-06
| UUID: 14ca9e88-a5b8-46f1-b452-541900c63bb5
| Date: 2024-03-06
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-03-06,Network activity,ip-dst|port,91.92.253.149|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,185.233.203.43|31337,Sliver botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,185.237.206.57|8081,RisePro botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,206.188.197.213|443,Quasar RAT botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,4.210.191.162|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,193.149.129.179|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,5.188.87.40|36543,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,45.140.146.2|443,DarkGate botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,url,https://83.97.73.205/mzuymgi3mtixowfk/,Coper botnet C2 (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,3.146.206.189|8888,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-03-06,Network activity,ip-dst|port,39.108.229.236|800,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-03-06,Network activity,ip-dst|port,47.123.4.117|8099,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-03-06,Network activity,ip-dst|port,124.71.9.23|8005,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-03-06,Network activity,ip-dst|port,45.134.225.247|5555,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-03-06,Network activity,ip-dst|port,109.248.170.151|7443,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-03-06,Network activity,ip-dst|port,185.158.251.20|23,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-03-06,Network activity,ip-dst|port,62.122.184.95|8888,StealthWorker Go botnet C2 server (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,174.93.198.242|10134,Orcus RAT botnet C2 server (confidence level: 80%)
2024-03-06,Network activity,url,http://79.174.94.173/base93/3multibasetest/3/trackauth/linuxtoasync6/longpoll/cpuserver2wp/tracklinux/phpasynccentral.php,DCRat botnet C2 (confidence level: 100%)
2024-03-06,Network activity,ip-dst|port,192.3.216.140|16519,Remcos botnet C2 server (confidence level: 75%)
2024-03-06,Network activity,ip-dst|port,15.235.166.83|80,Sliver botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,20.168.0.131|7443,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,136.0.3.71|443,BianLian botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,185.11.61.57|443,Havoc botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,94.156.66.44|443,Havoc botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,91.143.101.212|445,Responder botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,38.147.189.157|443,pupy botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,45.150.198.28|443,pupy botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,72.27.199.181|443,QakBot botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,70.31.125.184|2222,QakBot botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,89.117.23.25|46450,DCRat botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,46.246.80.10|6000,DCRat botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,209.126.86.48|1194,Pikabot botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,163.197.242.202|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,193.57.41.76|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-06,Network activity,ip-dst|port,88.99.127.167|9000,Vidar botnet C2 server (confidence level: 100%)
