+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-03-09
| UUID: 91d79bd2-6bdc-4a98-9753-92a7d3dac7b1
| Date: 2024-03-09
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-03-09,Network activity,url,https://usdtzshlavkovacamoke.com/mgq4mde1zdk3nzc1/,Coper botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,https://2istanbullu2586.com/ztiwndezzjm4yjyw/,Coper botnet C2 (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,171.228.226.103|42597,MooBot botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,91.92.246.154|1370,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,91.92.246.213|1289,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,91.92.246.211|1311,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,91.92.247.229|1311,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,94.156.69.14|1311,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,78.40.117.219|1311,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,85.204.116.143|1296,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,85.204.116.144|1284,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,85.204.116.139|1311,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,85.204.116.124|1311,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,85.204.116.126|1294,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,85.204.116.131|1311,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,45.95.147.168|1311,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,18.231.93.153|19606,NjRAT botnet C2 server (confidence level: 75%)
2024-03-09,Network activity,ip-dst|port,18.229.248.167|19606,NjRAT botnet C2 server (confidence level: 75%)
2024-03-09,Network activity,domain,api.startservicefounds.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,dns.startservicefounds.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,start.apistatexperience.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,91.92.241.220|59962,Mirai botnet C2 server (confidence level: 75%)
2024-03-09,Network activity,domain,cnc.pr333.ggm.kr,Mirai botnet C2 domain (confidence level: 75%)
2024-03-09,Network activity,url,http://45.9.74.12/server.php,Unknown malware botnet C2 (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,45.9.74.12|80,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Payload delivery,url,https://advanceddataenterprise.com/cdn-vs/cache.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://advanceddataenterprise.com/help/zewmrgqnw.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://advanceddataenterprise.com/data.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,194.9.172.135|7730,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,103.153.69.114|43046,Mirai botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,94.156.66.44|9090,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,94.156.67.106|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,91.92.246.100|7707,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,91.92.246.100|8808,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,91.92.246.100|6606,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,193.149.129.251|4443,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,domain,scambaiter11.ddns.net,AsyncRAT botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,37.120.141.139|1113,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-09,Payload delivery,url,http://91.92.254.250/trs_async.exe,AsyncRAT payload delivery URL (confidence level: 100%)
2024-03-09,Network activity,domain,trscentral.duckdns.org,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,qtwo2ht.top,CryptBot botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,shop.klnein9ht.top,CryptBot botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,store.klone1vt.top,CryptBot botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,107.175.28.248|8082,VBREVSHELL botnet C2 server (confidence level: 50%)
2024-03-09,Network activity,url,http://195.20.16.127/,RecordBreaker botnet C2 (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,217.195.207.156|47721,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,3.66.38.117|13672,NjRAT botnet C2 server (confidence level: 75%)
2024-03-09,Network activity,ip-dst|port,3.69.157.220|13672,NjRAT botnet C2 server (confidence level: 75%)
2024-03-09,Network activity,ip-dst|port,157.230.247.198|443,Brute Ratel C4 botnet C2 server (confidence level: 50%)
2024-03-09,Network activity,ip-dst|port,154.17.15.207|443,Deimos botnet C2 server (confidence level: 50%)
2024-03-09,Network activity,ip-dst|port,103.94.185.28|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-09,Network activity,ip-dst|port,91.202.233.135|80,Meduza Stealer botnet C2 server (confidence level: 50%)
2024-03-09,Network activity,ip-dst|port,89.23.103.75|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-09,Network activity,ip-dst|port,178.128.122.145|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-09,Network activity,ip-dst|port,185.246.64.139|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-09,Network activity,ip-dst|port,192.169.69.26|313,Nanocore RAT botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,3.121.139.82|14314,NjRAT botnet C2 server (confidence level: 75%)
2024-03-09,Network activity,ip-dst|port,18.198.77.177|14314,NjRAT botnet C2 server (confidence level: 75%)
2024-03-09,Network activity,ip-dst|port,35.158.159.254|14314,NjRAT botnet C2 server (confidence level: 75%)
2024-03-09,Network activity,domain,botnet7.vani.ovh,Mirai botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,url,https://buy-dnd.shop/owa/aftdjdu0uppzualdkjdqndbzxabxckbtm6h8zreo1wi15htkq0,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,http://45.134.225.245/pixel,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,https://47.236.19.63/ca,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,172.86.101.115|4483,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,url,https://164.92.116.94/__utm.gif,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,164.92.116.94|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,url,http://38.27.163.244:8443/styles.html,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,domain,host.cloudsonicwave.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,ttincoming.traveltraffic.cc,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,bestresulttostart.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,scripts.bestresulttostart.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,api.bestresulttostart.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,find.bestresulttostart.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,follow.bestresulttostart.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,point.bestresulttostart.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,domain,right.bestresulttostart.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,87.119.220.245|4456,AhMyth botnet C2 server (confidence level: 100%)
2024-03-09,Payload delivery,url,https://mail.87-119-220-245.cprapid.com/flash_light-aligned.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://mail.87-119-220-245.cprapid.com/flashlight.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://www.fzmovies.space/flashlight.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://www.fzmovies.space/flash_light-aligned.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://fzmovies.space/flash_light-aligned.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://fzmovies.space/flashlight.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://www.87-119-220-245.cprapid.com/flashlight.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://www.87-119-220-245.cprapid.com/flash_light-aligned.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://87.119.220.245/flash_light-aligned.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,url,https://87.119.220.245/flashlight.apk,AhMyth payload delivery URL (confidence level: 100%)
2024-03-09,Payload delivery,sha256,1e1e23c920eeaca8e9ffc1f946fcb978fa2419815b7b5dcf9a1cca9b934f8c4b,AhMyth payload (confidence level: 100%)
2024-03-09,Payload delivery,sha256,a27caadb025c67fbf49dea751a941ac83da58903d75851c682de2639a2408f7b,AhMyth payload (confidence level: 100%)
2024-03-09,Payload delivery,sha256,c90bb703a45863aa5e7fdc60a4ad32f933adca82ecddb1c42cf35a17f8078434,AhMyth payload (confidence level: 100%)
2024-03-09,Payload delivery,ip-dst|port,87.119.220.245|443,AhMyth payload delivery server (confidence level: 100%)
2024-03-09,Payload delivery,domain,www.87-119-220-245.cprapid.com,AhMyth payload delivery domain (confidence level: 100%)
2024-03-09,Payload delivery,domain,www.fzmovies.space,AhMyth payload delivery domain (confidence level: 100%)
2024-03-09,Payload delivery,domain,fzmovies.space,AhMyth payload delivery domain (confidence level: 100%)
2024-03-09,Payload delivery,domain,mail.87-119-220-245.cprapid.com,AhMyth payload delivery domain (confidence level: 100%)
2024-03-09,Network activity,url,http://47.101.181.195:5005/visit.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,http://81.71.140.170:8888/ca,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,https://139.180.192.219/pixel,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,http://107.174.241.206:4444/ptj,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,http://45.74.36.78/_/scs/mail-static/_/js/,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,ip-dst|port,45.74.36.78|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-09,Network activity,url,http://154.3.1.95/ptj,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,http://45.74.36.78:3333/_/scs/mail-static/_/js/,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-09,Network activity,url,http://47.109.106.162/pixel,Cobalt Strike botnet C2 (confidence level: 100%)
