+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-03-22
| UUID: 56b22874-85e4-40bb-ae5d-be78a6e201ad
| Date: 2024-03-22
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-03-22,Payload delivery,ip-dst|port,87.251.79.15|443,FAKEUPDATES payload delivery server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,91.92.245.110|8088,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,91.92.245.111|8088,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,89.148.44.245|443,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,20.212.232.53|30500,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,36.69.72.106|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,94.172.154.134|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,94.172.154.134|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,94.172.154.134|8081,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,94.172.154.134|8082,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,79.132.135.149|444,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,8.134.249.167|2083,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,120.55.65.99|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,172.245.110.171|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,47.113.227.139|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,198.46.226.224|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,107.173.30.114|9090,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,192.227.249.230|50050,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,23.224.196.53|16271,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,117.50.199.153|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,104.234.254.98|8082,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,154.40.45.37|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,23.95.90.77|11451,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,111.231.71.122|80,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,93.123.85.100|38241,Mirai botnet C2 server (confidence level: 75%)
2024-03-22,Network activity,ip-dst|port,142.202.242.170|6666,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,85.105.88.221|6935,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,13.36.174.17|8808,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,176.150.69.221|4449,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,121.62.63.238|8848,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,147.185.221.18|4449,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,176.150.69.221|42475,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-22,Network activity,ip-dst|port,198.44.167.231|57321,AsyncRAT botnet C2 server (confidence level: 100%)
