+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-03-24
| UUID: a5ef7057-824f-4985-bc3e-f10707e25622
| Date: 2024-03-24
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-03-24,Network activity,domain,www.guerrilladefense.com,Agent Tesla botnet C2 domain (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,160.177.59.183|10000,NjRAT botnet C2 server (confidence level: 75%)
2024-03-24,Network activity,ip-dst|port,3.124.142.205|13241,NjRAT botnet C2 server (confidence level: 75%)
2024-03-24,Network activity,ip-dst|port,3.124.142.205|18335,NjRAT botnet C2 server (confidence level: 75%)
2024-03-24,Network activity,ip-dst|port,18.158.249.75|18335,NjRAT botnet C2 server (confidence level: 75%)
2024-03-24,Payload delivery,url,https://parentingisnteasy.co/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://shemshad.com/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://gochat247.com/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://www.atemberaubende-akzente.de/m/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://travel2next.com/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://eshraghbook.com/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://zahiraccounting.com/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://www.elbepokal.de/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://pointerclicker.com/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Payload delivery,url,https://swingandbeyond.com/xmlrpc.php,GootLoader payload delivery URL (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,175.42.16.2|4784,Quasar RAT botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,url,http://128.140.90.181/,RecordBreaker botnet C2 (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,91.92.248.117|65012,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,35.198.215.67|8888,Unknown malware botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,url,http://35.198.215.67:8888/supershell/login,Unknown malware botnet C2 (confidence level: 100%)
2024-03-24,Payload delivery,url,http://27.106.156.105:50511/mozi.m,Mozi payload delivery URL (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,88.119.174.117|7443,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,84.246.85.147|443,Brute Ratel C4 botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,124.106.197.167|4242,Havoc botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,45.134.9.138|41056,Havoc botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,92.116.36.5|443,Havoc botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,45.128.96.103|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,185.203.117.32|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,45.128.96.101|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,103.25.61.30|443,FAKEUPDATES botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,103.25.61.30|80,FAKEUPDATES botnet C2 server (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,35.228.143.142|443,DanaBot botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,34.73.147.86|443,DanaBot botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,35.221.12.2|443,DanaBot botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,34.65.140.140|443,DanaBot botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,195.62.32.227|666,Bashlite botnet C2 server (confidence level: 75%)
2024-03-24,Network activity,url,http://mars.mhsorteio.app.br/apwpnhwkyh.php,Arkei Stealer botnet C2 (confidence level: 100%)
2024-03-24,Network activity,url,http://service-75oa09db-1317471892.cd.tencentapigw.com/api/sendmsg,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-24,Network activity,domain,service-75oa09db-1317471892.cd.tencentapigw.com,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,grasping.oss-me-east-1.aliyuncs.com,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,nblcc.co,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,thpataa.chat,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,aane.xyz,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,azmmhh.tech,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,eyedr.art,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,fboadbns.shop,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,hygxq.xyz,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,us17.xyz,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,js-min.site,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,stickloader.info,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,api.localadswidget.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,assets.watchasync.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,cdn.jsdevlvr.info,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,cdn.wt-api.top,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,js.abc-cdn.online,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,js.opttracker.online,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,js.schema-forms.org,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,l.js-assets.cloud,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,load.365analytics.xyz,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,page.24supportkit.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,spf.js-min.site,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,stat.counter247.live,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,streaming.jsonmediapacks.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,stylesheet.webstaticcdn.com,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,tags.stickloader.info,Unknown malware botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,domain,helpoton.quest,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,looptic.store,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,picktoc.online,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,sandton.shop,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,shtelpenstec.site,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,starlanded.click,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,cdn.helpoton.quest,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,cdn.looptic.store,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,cdn.picktoc.online,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,cdn.sandton.shop,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,cdn.shtelpenstec.site,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,domain,cdn.starlanded.click,magecart credit card skimming domain (confidence level: 100%)
2024-03-24,Network activity,url,https://185.130.46.168/jquery-3.3.1.min.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-24,Network activity,url,https://43.138.72.70:8012/activity,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-24,Network activity,url,https://43.138.72.70:4431/dpixel,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-24,Network activity,domain,flonea.live,Joker botnet C2 domain (confidence level: 100%)
2024-03-24,Network activity,url,http://43.138.72.70:8011/g.pixel,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,172.86.75.208|8443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,domain,360sec.online,Cobalt Strike botnet C2 domain (confidence level: 50%)
2024-03-24,Network activity,ip-dst|port,94.156.64.122|8888,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,185.73.124.238|30956,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,128.90.122.92|9999,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,194.147.140.239|7707,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,ip-dst|port,142.11.201.123|8714,AsyncRAT botnet C2 server (confidence level: 100%)
2024-03-24,Network activity,url,https://service-lidgmacv-1317471912.cd.tencentapigw.com/api/sendmsg,Cobalt Strike botnet C2 (confidence level: 100%)
2024-03-24,Network activity,domain,service-lidgmacv-1317471912.cd.tencentapigw.com,Cobalt Strike botnet C2 domain (confidence level: 100%)
