+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-03-20
| UUID: 0928e58b-9bf0-455d-98c6-a019ae766280
| Date: 2024-03-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-03-20,Payload delivery,url,http://182.117.119.24:53472/i,Malware distribution site
2024-03-20,Payload delivery,url,http://115.57.119.103:40589/Mozi.m,Malware distribution site
2024-03-20,Payload delivery,url,http://124.131.149.13:49891/Mozi.m,Malware distribution site
2024-03-20,Payload delivery,url,http://42.230.188.91:60787/Mozi.m,Malware distribution site
2024-03-20,Payload delivery,url,https://wtools.io/paste-code/bUmn,Malware distribution site
2024-03-20,Payload delivery,url,http://219.156.152.49:50827/i,Malware distribution site
2024-03-20,Payload delivery,url,http://24.45.162.245:56713/Mozi.m,Malware distribution site
2024-03-20,Payload delivery,url,http://117.214.10.210:44328/Mozi.m,Malware distribution site
2024-03-20,Payload delivery,url,http://61.54.203.178:52760/i,Malware distribution site
2024-03-20,Payload delivery,url,http://115.53.196.234:58017/mozi.m,Malware distribution site
2024-03-20,Payload delivery,url,http://117.248.55.96:55644/bin.sh,Malware distribution site
2024-03-20,Payload delivery,url,http://117.252.41.78:53426/bin.sh,Malware distribution site
2024-03-20,Payload delivery,url,https://zed.policy.donnafrey.com/editContent,Malware distribution site
2024-03-20,Payload delivery,url,http://115.48.128.246:53281/Mozi.a,Malware distribution site
2024-03-20,Payload delivery,url,http://125.40.128.7:47454/Mozi.m,Malware distribution site
2024-03-20,Payload delivery,url,http://42.228.195.138:38837/bin.sh,Malware distribution site
2024-03-20,Payload delivery,url,http://115.50.13.147:60495/bin.sh,Malware distribution site
2024-03-20,Payload delivery,url,http://117.254.195.197:47403/bin.sh,Malware distribution site
2024-03-20,Payload delivery,url,http://115.50.13.147:60495/i,Malware distribution site
2024-03-20,Payload delivery,url,http://115.50.48.16:38006/i,Malware distribution site
2024-03-20,Payload delivery,url,http://42.234.156.252:40251/bin.sh,Malware distribution site
2024-03-20,Payload delivery,url,http://93.123.39.121/bins/UnHAnaAW.x86,Malware distribution site
2024-03-20,Payload delivery,url,http://123.128.130.107:54257/i,Malware distribution site
2024-03-20,Payload delivery,url,http://45.131.108.174/kiro.arm5,Malware distribution site
