+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: CoralRaider targets victims’ data and social media accounts
| UUID: 8b3e9108-0c15-4e5c-ab1e-57d91ab45181
| Date: 2024-04-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-04-04,Attribution,threat-actor,CoralRaider,Threat actor for RotBot and XClient stealer
2024-04-04,Payload type,text,RotBot and XClient Stealer,RotBot and XClient Stealer attribute
2024-04-06,External analysis,url,https://blog.talosintelligence.com/coralraider-targets-socialmedia/,
2024-04-04,Network activity,ip-dst,51.79.208.192,
2024-04-04,Network activity,ip-dst,199.34.27.196,
2024-04-04,Network activity,ip-dst,139.99.23.9,
2024-04-04,Network activity,ip-dst,14.225.210.98,
2024-04-04,Network activity,ip-dst,14.225.210.97,
2024-04-04,Network activity,ip-dst,14.225.210.209,
2024-04-04,Network activity,ip-dst,14.225.210.222,
2024-04-04,Network activity,hostname,doc-0s-44-docstext.googleusercontent.com,
2024-04-04,Network activity,hostname,doc-10-44-docstext.googleusercontent.com,
2024-04-04,Payload delivery,sha256,c29732d898dcf116f40eea3845d4e25a240e5840378985c7f192e0443a51a228,LNK file
2024-04-04,Payload delivery,sha256,2c4ed97859060ea6ac5a8c2f605debf98257a96f0f3d2ddfaeb066f59a86d4af,LNK file
2024-04-04,Payload delivery,sha256,075091793768885977c29a41a0ac591340ebafab26d2a65ce1dccb53997485a1,LNK file
2024-04-04,Payload delivery,sha256,b2fd04602223117194181c97ca8692a09f6f5cfdbc07c87560aaab821cd29536,LNK file
2024-04-04,Payload delivery,sha256,77acb85a28e79dc6479798c024282ddd54977dbff6ce40eb439b2a06ce9cb542,LNK file
2024-04-04,Payload delivery,sha256,c84ff4fb6549c36ca0028e84ea8292ee3ae438254cddd63ef3d9ea769e0a1dfd,LNK file
2024-04-04,Payload delivery,sha256,e9e9d5ab6307a9ce98b1b3450def66df7a00d9dc5af613434af8d9b9cb3f2a0f,RotBot
2024-04-04,Payload delivery,sha256,0790bb235f27fa3843f086dbdaac314c2c1b857e3b2b94c2777578765a7894a0,RotBot
2024-04-04,Payload delivery,sha256,28f827afd3bafa1e39526f84f8e1271c15d073c9d049a9bc8d03048c455dd33f,RotBot
2024-04-04,Payload delivery,sha256,d60bb69da27799d822608902c59373611c18920c77887de7489d289ebf2bd53e,RotBot
2024-04-04,Payload delivery,sha256,de8a5d881cfc913a24c846bec8c13f3ad98e60fde881352845d928015bc6a5a4,RotBot
2024-04-04,Payload delivery,sha256,020d3d03ede3a80f1287ab58053f30ae7bfaf916ab0b1fc927f07b4b9d1f5c34,RotBot
2024-04-04,Payload delivery,sha256,1db18d89a636f9d9307e51798c0545664fae38711a2a72139d62c7dbd6f17fe3,RotBot
2024-04-04,Payload delivery,sha256,93c747fff1ec919d981aa4ad2e42cda3d76c9d0634707a62066dbadda1653d1c,RotBot
2024-04-04,Payload delivery,sha256,4dc9fe269cd668894c7ea4dd797cba1d2a8df565e9bdd814e969247c94b39643,XClient Stealer
2024-04-04,Payload delivery,sha256,9bf684b010e4ec314d697acfac78c71ec24ba5f6e2c09b3be623ec62056aed02,HTA file
2024-04-04,Payload delivery,sha256,42654394f29f2e8db878fc4fd1c59e41afcd0add3b93f7d2f47ea3295b2bc643,PowerShell fileless
2024-04-04,Payload delivery,sha256,8d200892e4f1e68373e58e7cd7119fe26769fcf609636adc727df09f2377d1c2,PowerShell fileless
2024-04-04,Payload delivery,sha256,a3299ecee7b3f06ca106f4c5b62bf1e0f28f227df71488583d2077c7e3ee01c2,PowerShell fileless
2024-04-04,Payload delivery,sha256,19055fb87b9a98a75544a533ec4f14f36a09a130219b8a33a13cb6073751ff39,PowerShell fileless
2024-04-06,External analysis,link,https://blog.talosintelligence.com/coralraider-targets-socialmedia-accounts/,
