+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-04-03 12:09:04Z
| UUID: c5c848bd-84fd-4f6c-8b72-379593f3b6f3
| Date: 2024-04-03
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-04-03,Network activity,url,https://d-pd.28741547.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://d-pd.08741547.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://d-pd.48741547.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://d-pd.68741547.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://d-pd.78741547.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://site.69741571.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://site.59741571.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://site.49741571.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://site.39741571.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://allegrolokalniie.29741571.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://allegrolokalniie.09741571.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.08745152.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.28745152.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.38745152.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.48745152.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.58745152.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.68745152.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://jnpost.28741541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://dppd.087457741.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.99784541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.09004541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.19004541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://jnpost.18741541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://jnpost.38741541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://jnpost.48741541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://jnpost.58741541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://jnpost.68741541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.89784541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.79784541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.69004541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.59004541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.49004541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.39004541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://0lx.29004541.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://dppd.287457741.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://dppd.187457741.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://dppd.387457741.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://dppd.487457741.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://dppd.587457741.xyz/6idrr1lv/WKv8Vm/7,Phishing site
2024-04-03,Network activity,url,https://dppd.687457741.xyz/6idrr1lv/WKv8Vm/7,Phishing site
