+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-04-12 12:59:53Z
| UUID: aa7480ae-0e74-495a-95e6-eadd4409d5f9
| Date: 2024-04-12
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-04-12,Network activity,url,https://inp0st.92487246.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://dp-d.90238722.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://dppd.90127635.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://1npost.83646463.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://0lx.73654653.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://d-pd.37758770.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.13212332.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.187154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.987154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.887154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.787154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.687154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.587154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.487154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.387154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.287154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://jnpost.087154693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://allegrolookalnie.987415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://allegrolookalnie.887415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://allegrolookalnie.787415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://vjnted.687415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://vjnted.587415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://vjnted.487415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://vjnted.387415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://vjnted.287415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://vjnted.187415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://vjnted.087415693.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.68741544.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.28741544.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.08741544.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.18741544.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.38741544.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.48741544.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.58741544.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.78741544.xyz/jlloiiel/qgn3d6/7,Phishing site
2024-04-12,Network activity,url,https://oolx.98741544.xyz/jlloiiel/qgn3d6/7,Phishing site
