+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Securonix Threat Research Security Advisory: Analysis of Ongoing FROZEN#SHADOW Attack Campaign Leveraging SSLoad Malware and RMM Software for Domain Takeover
| UUID: 88fc5757-d527-45b0-8666-0f7e3140408b
| Date: 2024-04-25
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-04-25,External analysis,link,https://www.securonix.com/blog/securonix-threat-research-security-advisory-frozenshadow-attack-campaign/,
2024-04-25,Network activity,ip-dst,85.239.54.190,C2
2024-04-25,Network activity,ip-dst,23.159.160.88,C2
2024-04-25,Network activity,ip-dst,23.95.209.148,C2
2024-04-25,Network activity,ip-dst,45.95.11.134,C2
2024-04-25,Network activity,hostname,bjsdg0.pintaexoticfashion.co.in,C2
2024-04-25,Network activity,hostname,l1-03.winupdate.us.to,C2
2024-04-25,Network activity,hostname,23-95-209-148-host.colocrossing.com,C2
2024-04-25,Network activity,domain,mmtixmm.org,C2
2024-04-25,Network activity,domain,wireoneinternet.info,C2
2024-04-25,Network activity,domain,skinnyjeanso.com,C2
2024-04-25,Network activity,domain,titnovacrion.top,C2
2024-04-25,Network activity,domain,simplyfitphilly.com,C2
2024-04-25,Network activity,domain,kasnackamarch.info,C2
2024-04-25,Network activity,domain,sokingscrosshotel.com,C2
2024-04-25,Network activity,domain,danteshpk.com,C2
2024-04-25,Network activity,domain,stratimasesstr.com,C2
2024-04-25,Network activity,domain,winarkamaps.com,C2
2024-04-25,Network activity,domain,globalsolutionunlimitedltd.com,C2
2024-04-25,Network activity,domain,maramaravilha.com,C2
2024-04-25,Network activity,domain,krd6.com,C2
2024-04-25,Network activity,url,https://t0talwar.screenconnect.com,C2
2024-04-25,Payload delivery,sha256,db265ea1732935f61e8d0f7a20a8adc54e20af71b3cf4a737714cd3377c838f6,Analyzed files/hashes
2024-04-25,Payload delivery,filename,out_bdrts.js,Analyzed files/hashes
2024-04-25,Payload delivery,sha256,fad25892e5179a346cdbdbba1e40f53bd6366806d32b57fa4d7946ebe9ae8621,Analyzed files/hashes
2024-04-25,Payload delivery,filename,Letter_c89_00c568610-93e92634a4425-2643w5.js,Analyzed files/hashes
2024-04-25,Payload delivery,sha256,f8fc9b40b946b742d6044f291914439727e1a7f53ea87562446f682b26cce65a,Analyzed files/hashes
2024-04-25,Payload delivery,filename,Letter_p64_18t678677-53r17785m9284-51810.js,Analyzed files/hashes
2024-04-25,Payload delivery,sha256,e8979741f0355a47dae575ead8c829df47f282b4533ec1be4d63086515f9c449,Analyzed files/hashes
2024-04-25,Payload delivery,filename,Letter_h85_79o750478-05f74851h3126-2101c9.js,Analyzed files/hashes
2024-04-25,Payload delivery,sha256,08e82f1c0a033ab295b4d342c53970e4528e20933c614bda3bbc5d57bab20651,Analyzed files/hashes
2024-04-25,Payload delivery,filename,Letter_e97_58z949277-25h33503u6712-8630h9.js,Analyzed files/hashes
2024-04-25,Payload delivery,sha256,4f52b4a2a781f366ed534d8c4b2fafef48a7848c4c20b4229b98747ca8ab06d3,Analyzed files/hashes
2024-04-25,Payload delivery,filename,Letter_n95_52a858194-29r719420963-6497k0.js,Analyzed files/hashes
