+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
"| Title: ""Subject: POTWIERDZENIE TRANSAKCJI 20240418145856 - From: scott@sergiopiernas.com"" Campaign"
| UUID: 377a9fe4-cb9c-4037-ac9e-debc6e70ccdb
| Date: 2024-04-19
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-04-19,Payload delivery,email-src,scott@sergiopiernas.com,Source email: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856
2024-04-19,Payload delivery,email-src-display-name,AgnieszkaFrańczak,Source email: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856
2024-04-19,Payload delivery,email-body,"Dobry dzień 



Pani Monika w załączeniu przesyłam potwierdzenie płatności. 




Pozdrawiam, 

mgr inż. Agnieszka Frańczak 

Site Engineer 



e-mail: [ [REDACTED]| [REDACTED]] 

tel.: 724 234 534",Source email: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856
2024-04-19,Payload delivery,email-subject,POTWIERDZENIE TRANSAKCJI 20240418145856,Source: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856
2024-04-19,Payload delivery,filename|sha256,POTWIERDZENIE_TRANSAKCJI_20240418145856.7z|b74d9ca1c10f8f6a35c16493a7db5fd3836b2054f1742d382b3c8f9a1911d302,Malspam attachment - source: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856 mime: application/x-7z-compressed
2024-04-19,Payload delivery,filename|ssdeep,POTWIERDZENIE_TRANSAKCJI_20240418145856.7z|24576:fbJRhTzdb4oA1oR6/98GfYBtE4XxP6jpUNwilLz9aigmJhlf8fviI+bpHf:lTJk1owqIYB24N6jpUGAhPQf0pHf,Malspam attachment - source: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856 mime: application/x-7z-compressed
2024-04-19,Payload delivery,filename|sha1,POTWIERDZENIE_TRANSAKCJI_20240418145856.7z|dfb792d0d6f7b36fc6ecf135a5d19f3b7552e93a,Malspam attachment - source: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856 mime: application/x-7z-compressed
2024-04-19,Payload delivery,filename|sha512,POTWIERDZENIE_TRANSAKCJI_20240418145856.7z|527fc78c6d5410b4cd515be3d03591dd45d6b915de335249c0ca9914283181445eb7be2a9ef5363dadf557b5f421377b4883201812dcea72c31f0c61a903cea4,Malspam attachment - source: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856 mime: application/x-7z-compressed
2024-04-19,Payload delivery,filename|md5,POTWIERDZENIE_TRANSAKCJI_20240418145856.7z|5529b165d5c66d04fe28e4c2934bafe6,Malspam attachment - source: from scott@sergiopiernas.com - subject: POTWIERDZENIE TRANSAKCJI 20240418145856 mime: application/x-7z-compressed
2024-04-19,Payload delivery,filename|sha1,POTWIERDZENIE_TRANSAKCJI_20240418145856.exe|e9ef032f011a0db8c2ed5d0573800b8abc06fc32,Archive contents - source: POTWIERDZENIE_TRANSAKCJI_20240418145856.7z mime: application/x-dosexec
