+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-04-29
| UUID: d50115b9-0db0-45e3-9894-0c8b69d5c9b9
| Date: 2024-04-29
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-04-29,Network activity,ip-dst|port,185.172.128.150|80,Stealc botnet C2 server (confidence level: 100%)
2024-04-29,Network activity,ip-dst|port,185.172.128.151|80,Stealc botnet C2 server (confidence level: 100%)
2024-04-29,Network activity,domain,asero23.ddns.net,NjRAT botnet C2 domain (confidence level: 75%)
2024-04-29,Network activity,url,http://80.66.89.161/loader/screen/owysn2ysn2ysytasowusodysogmsotysnjqsn2ms,SmartLoader botnet C2 (confidence level: 100%)
2024-04-29,Network activity,ip-dst|port,80.66.89.161|80,SmartLoader botnet C2 server (confidence level: 100%)
2024-04-29,Network activity,url,http://80.66.89.165/loader/screen/owysn2ysn2ysytasowusodysogmsotysnjqsn2ms,SmartLoader botnet C2 (confidence level: 100%)
2024-04-29,Network activity,ip-dst|port,80.66.89.165|80,SmartLoader botnet C2 server (confidence level: 100%)
2024-04-29,Payload delivery,url,https://github.com/delta-io/delta/files/15016110/delta.zip,SmartLoader payload delivery URL (confidence level: 100%)
2024-04-29,Payload delivery,sha256,27817cb00db5746496c10138655beddb88f5733866452be4bbd51481dbb4a08d,SmartLoader payload (confidence level: 100%)
2024-04-29,Payload delivery,url,https://github.com/kampfkarren/roblox/files/15001743/roexec.zip,SmartLoader payload delivery URL (confidence level: 100%)
2024-04-29,Payload delivery,sha256,ac8e9c3db9933684515f091b2637bce105febd069ab8fe6fb0e0ac3caba1ee8b,SmartLoader payload (confidence level: 100%)
2024-04-29,Payload delivery,domain,deltaexploits.org,SmartLoader payload delivery domain (confidence level: 100%)
