+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-04-04
| UUID: f5dfb41a-9c25-4cae-b28d-8a316190226f
| Date: 2024-04-04
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-04-04,Payload delivery,url,http://115.55.252.86:55310/i,Malware distribution site
2024-04-04,Payload delivery,url,http://115.55.241.236:42426/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.248.46.49:58161/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://175.166.242.61:54600/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://61.52.41.66:53606/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://115.49.25.102:43786/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://123.9.194.5:45203/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://123.5.171.45:60705/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://42.224.192.46:56296/i,Malware distribution site
2024-04-04,Payload delivery,url,http://1.64.200.102:62482/.i,Malware distribution site
2024-04-04,Payload delivery,url,http://219.157.62.145:44893/i,Malware distribution site
2024-04-04,Payload delivery,url,http://101.205.28.107:60745/i,Malware distribution site
2024-04-04,Payload delivery,url,http://123.14.186.154:54629/i,Malware distribution site
2024-04-04,Payload delivery,url,http://115.55.101.34:55252/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://123.9.194.5:45203/i,Malware distribution site
2024-04-04,Payload delivery,url,http://115.61.114.181:58244/i,Malware distribution site
2024-04-04,Payload delivery,url,http://42.235.82.183:56295/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://115.59.236.83:48251/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.213.45.48:49235/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://61.2.121.67:44445/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://115.55.101.34:55252/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.242.239.186:60740/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://106.41.126.228:47336/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://116.234.184.225:41324/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://59.91.220.67:60136/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://42.228.189.226:57594/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://223.8.215.3:55925/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://123.5.171.45:60705/i,Malware distribution site
2024-04-04,Payload delivery,url,http://112.93.202.209:50407/mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://61.52.51.99:43564/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://42.229.116.137:60076/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://222.138.79.179:52012/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://61.54.74.231:34696/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://117.215.219.152:57228/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://117.222.255.66:56091/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://42.229.116.137:60076/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.213.45.48:49235/i,Malware distribution site
2024-04-04,Payload delivery,url,http://61.2.121.67:44445/i,Malware distribution site
2024-04-04,Payload delivery,url,http://180.117.207.158:59321/i,Malware distribution site
2024-04-04,Payload delivery,url,http://59.91.220.67:60136/i,Malware distribution site
2024-04-04,Payload delivery,url,http://115.49.219.143:34330/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://59.93.21.110:42672/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://115.49.219.143:34330/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://182.119.252.83:39407/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://106.41.126.228:47336/i,Malware distribution site
2024-04-04,Payload delivery,url,http://182.121.173.102:37200/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://125.42.10.255:51936/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://61.2.46.7:55050/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://61.52.51.99:43564/i,Malware distribution site
2024-04-04,Payload delivery,url,http://182.121.245.170:47895/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://117.214.8.89:54334/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://115.49.219.143:34330/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.199.79.105:45319/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://219.157.238.124:47993/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://85.105.168.44:38177/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://180.125.101.190:52105/i,Malware distribution site
2024-04-04,Payload delivery,url,http://222.138.79.179:52012/i,Malware distribution site
2024-04-04,Payload delivery,url,http://61.136.87.185:39486/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://117.200.184.139:49510/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://120.56.14.180:51919/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.199.79.105:45319/i,Malware distribution site
2024-04-04,Payload delivery,url,http://123.14.209.156:48950/Mozi.a,Malware distribution site
2024-04-04,Payload delivery,url,http://61.53.75.150:39220/i,Malware distribution site
2024-04-04,Payload delivery,url,http://42.231.168.61:53122/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://117.215.222.242:55534/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://219.157.238.124:47993/i,Malware distribution site
2024-04-04,Payload delivery,url,http://221.15.86.160:44777/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://112.238.4.204:51731/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://123.8.0.161:44154/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://115.50.60.222:33280/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://117.206.185.230:35577/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://182.121.245.170:47895/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.200.184.139:49510/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.217.38.232:40706/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,http://61.136.87.185:39486/i,Malware distribution site
2024-04-04,Payload delivery,url,http://117.215.222.242:55534/i,Malware distribution site
2024-04-04,Payload delivery,url,http://59.92.46.226:50406/bin.sh,Malware distribution site
2024-04-04,Payload delivery,url,https://tmpfiles.org/dl/4635859/garits.exe,Malware distribution site
2024-04-04,Payload delivery,url,http://124.161.141.63:60745/i,Malware distribution site
2024-04-04,Payload delivery,url,http://123.5.126.231:60317/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://125.40.10.4:41045/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://117.253.218.232:49594/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://117.213.126.205:41306/Mozi.m,Malware distribution site
2024-04-04,Payload delivery,url,http://27.37.230.221:47682/Mozi.m,Malware distribution site
