+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-04-28
| UUID: 1efc792b-1f6d-48c2-87be-f849a2f1a031
| Date: 2024-04-28
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-04-28,Payload delivery,url,http://42.85.15.28:44397/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.202.226:57993/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://103.4.102.22:36182/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.207.178:41603/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://115.55.195.32:38699/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://115.55.228.130:36741/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.197.144:40825/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://117.222.253.175:60325/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.206.184:58656/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://182.119.227.25:34732/i,Malware distribution site
2024-04-28,Payload delivery,url,http://110.180.164.155:48009/i,Malware distribution site
2024-04-28,Payload delivery,url,http://123.11.10.154:48993/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://27.215.55.79:36845/i,Malware distribution site
2024-04-28,Payload delivery,url,http://123.14.37.85:53414/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.192.135:48665/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.222.251.102:56034/i,Malware distribution site
2024-04-28,Payload delivery,url,http://42.226.76.184:42767/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://27.6.204.3:53291/i,Malware distribution site
2024-04-28,Payload delivery,url,http://115.55.142.60:40170/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.204.71:60099/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://125.43.254.250:36359/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://117.248.19.59:34859/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://61.137.196.92:60655/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://27.220.14.187:49538/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://118.79.188.195:13138/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://182.112.2.119:49951/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://27.202.169.99:59817/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://103.4.102.22:36182/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.217.43.103:52817/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.248.21.14:51490/i,Malware distribution site
2024-04-28,Payload delivery,url,http://27.220.14.187:49538/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.202.226:57993/i,Malware distribution site
2024-04-28,Payload delivery,url,http://115.55.195.32:38699/i,Malware distribution site
2024-04-28,Payload delivery,url,http://115.53.241.232:35674/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://182.117.7.9:52202/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://59.89.193.27:57295/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://123.11.10.154:48993/i,Malware distribution site
2024-04-28,Payload delivery,url,http://112.248.115.217:58360/mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://196.188.80.240:39351/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://117.199.9.157:52484/i,Malware distribution site
2024-04-28,Payload delivery,url,http://123.14.37.85:53414/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.248.19.59:34859/i,Malware distribution site
2024-04-28,Payload delivery,url,http://125.43.254.250:36359/i,Malware distribution site
2024-04-28,Payload delivery,url,http://115.56.150.233:46800/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://182.122.134.58:39489/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.198.219:58609/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://59.89.86.52:37104/i,Malware distribution site
2024-04-28,Payload delivery,url,http://61.2.108.8:48687/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://27.202.169.99:59817/i,Malware distribution site
2024-04-28,Payload delivery,url,http://42.224.209.219:45670/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://196.188.80.240:39351/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.253.212.76:41806/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://59.89.2.179:60526/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://115.61.119.76:56364/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://115.63.179.177:39574/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://182.127.179.68:38133/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://182.122.215.85:57251/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://178.35.120.29:36683/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.192.50:59964/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://117.217.36.202:37970/Mozi.m,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.198.219:58609/i,Malware distribution site
2024-04-28,Payload delivery,url,http://122.252.233.120:49033/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://222.138.238.67:52795/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://42.224.209.219:45670/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.248.60.40:39765/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://59.99.140.232:51566/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://117.194.212.69:46437/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://190.109.229.181:55400/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://182.116.8.17:41707/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://120.211.101.246:48916/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://42.238.242.45:55260/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://117.214.15.106:49219/i,Malware distribution site
2024-04-28,Payload delivery,url,http://117.204.204.118:49379/bin.sh,Malware distribution site
2024-04-28,Payload delivery,url,http://59.89.71.230:35676/bin.sh,Malware distribution site
