+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: APSB24-39: Security update available for Adobe Dreamweaver
| UUID: 536cbdb2-b9db-5e0c-9753-1b6d603017d2
| Date: 2024-05-14
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-15,External analysis,link,https://feedly.com/i/entry/l9YRiTXIA+g7uldLCSTzZm+pBrFTZSH+UJccmSstnmw=_18f78cf9793:1610715:58015665,
2024-05-15,External analysis,link,https://helpx.adobe.com/security/products/dreamweaver/apsb24-39.html,
