+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-05-20]
| UUID: 0c6b5a5d-4c6d-46a3-afd9-25d08b3d7165
| Date: 2024-05-21
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-20,Payload installation,filename,MFeZQOjlHLloPBO.exe,Source: MalwareBazaar
2024-05-20,Payload installation,md5,4fbe89966908b5b8a41985277774652a,Source: MalwareBazaar
2024-05-20,Payload installation,sha1,431a0051b11c903217864115c29873a39ad9d55a,Source: MalwareBazaar
2024-05-20,Payload installation,sha256,409dd82ae03009f32397ee056fcf698e7ea1145184fc4749f00b5ed2534de2d5,Source: MalwareBazaar
2024-05-20,Payload installation,filename,İŞLEM ÖZETİ_20524057699-1034 nolu TICARI.exe,Source: MalwareBazaar
2024-05-20,Payload installation,md5,2f12f244741d9945a6e73824dba9b686,Source: MalwareBazaar
2024-05-20,Payload installation,sha1,0a897bcf3867780ba7d1776f282e130f5c90278f,Source: MalwareBazaar
2024-05-20,Payload installation,sha256,9876d83fb5054d3d57e3c5e6cdd6883100235625717e7b50f11a743785a24049,Source: MalwareBazaar
2024-05-20,Payload installation,filename,SAMPLES.exe,Source: MalwareBazaar
2024-05-20,Payload installation,md5,acf130a10b41446bb89bf89e630c7fa3,Source: MalwareBazaar
2024-05-20,Payload installation,sha1,93ab6a6eb407f475f3c5eea4fb2426339f6e1619,Source: MalwareBazaar
2024-05-20,Payload installation,sha256,7ea4b0492d4bd06af8088ed24374001cabe43bac4a8477c9d4c16428ebe7d511,Source: MalwareBazaar
2024-05-20,Payload installation,filename,IMG_1058_1060_200.exe,Source: MalwareBazaar
2024-05-20,Payload installation,md5,e5d0c919edf5c003d74601e40087322f,Source: MalwareBazaar
2024-05-20,Payload installation,sha1,eff3cc6211e5472470d0df437ed3cbf6aca9fcdb,Source: MalwareBazaar
2024-05-20,Payload installation,sha256,54a87ca5534f4901947f6eb2a6af5093832de272cfe6b498972676d1fae6ade0,Source: MalwareBazaar
2024-05-20,Payload installation,filename,PROFAYDINLATMA YENİ SİPARİŞ YILDIRIM MEKANIK RFQ 2701203.exe,Source: MalwareBazaar
2024-05-20,Payload installation,md5,e61ccd2fc9dd14a43fe0cd0fcf7e41db,Source: MalwareBazaar
