+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-05-30]
| UUID: 816e6bfc-6f77-4327-a804-fc0cbac5d3cf
| Date: 2024-05-30
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-30,Payload installation,filename,SecuriteInfo.com.Trojan.Heur3.CTR.301bbRm0@amk5Nyl.20112.16423,Source: MalwareBazaar
2024-05-30,Payload installation,md5,84690cd8aa77117cb1b331beb2455283,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,7413a8bc7b05018cead6d6fed404b35bf15add59,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,bda83410e36e6df3e02531ed3dbe7d419e8d950e5492d70ef222969013481778,Source: MalwareBazaar
2024-05-30,Payload installation,filename,SecuriteInfo.com.Win32.PWSX-gen.21784.812,Source: MalwareBazaar
2024-05-30,Payload installation,md5,3ca3226cadea63ff224da6153a7e24f5,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,236bc1f9fcb726ae1cb84d89e05c7cfe9da1e191,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,3bd2b14f49671769cc1b82ab8e12b1dfbfcd126a440a58e75feec717f036e10b,Source: MalwareBazaar
2024-05-30,Payload installation,filename,ENERGY METER EV300 Series.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,16b83b2fa0f349549124e7e0434bbcfa,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,f7637a6b317524aa07e727157c8f0ca0f96947d7,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,1dc1a39363e961fa32b6ccb0da66eb85d9e68989e55e4558c8f020742bededa0,Source: MalwareBazaar
2024-05-30,Payload installation,filename,SecuriteInfo.com.Win32.PWSX-gen.27121.31008,Source: MalwareBazaar
2024-05-30,Payload installation,md5,056691c1c5f0fa68a120e107927686b3,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,09412826e7955c95883052e82de1f944c257c26c,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,c4e0d8ae7e8574576dcae763e892888f741dd72178aa61e31cde60c17af6683c,Source: MalwareBazaar
2024-05-30,Payload installation,filename,ESTADO DE CUENTA DHL - 69502697200.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,7561a7a0f5ce673bb9a8b29f8ac1765f,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,5fc030508ad80d6e504d045cda2ab7cb625ed291,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,3c6f436dc6eedbec2d86196d40608e4e61c1336dddda0187ce0b9b47bfd12449,Source: MalwareBazaar
2024-05-30,Payload installation,filename,DHL DOC..exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,54f5f1ffd4d22482fdd1b0ee37d22029,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,bc29424b0054e8bf2964385a10c2424fc7c17f12,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,a7d0b0dec4db1512cfad08d83cc8eabe88fb1d53fcc6d9baf8af6e6c950d81c6,Source: MalwareBazaar
2024-05-30,Payload installation,filename,hesaphareketi-01.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,88cf529426ce609082f6e889b942e1d5,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,43e0f06df747ff7934f513d25bb044d867b5084f,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,119b2f704384950f9246af5066fed8773ce09e2471676b72d4d80c60003bf254,Source: MalwareBazaar
2024-05-30,Payload installation,filename,hesaphareketi-01.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,90c4d96fe18ec51d2260b21d8f2c854a,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,b7d1cbf9cdc5c68ddbcef2545cbe78ff6f8ae7bb,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,c76d9c2c5330973c035ada7edecd1286791e3c9ba15f98084720eb36b3e3de09,Source: MalwareBazaar
2024-05-30,Payload installation,filename,hesaphareketi-.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,de130f9d9ba4566d3da4e690c400b422,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,595eba36d67c515923eff3c8b9bdec59e53bc0bd,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,de2c0946395282578d000cb867dd77b568862637c303e67be12ccd5c7e839312,Source: MalwareBazaar
2024-05-30,Payload installation,filename,BEYKIZI Sipariş 6210 FFFP2 % NR DNo2561 PB 34870 (2).exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,f6d58204fa716a065cc59f4e20a2f9fe,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,f26a3bbe9eaedb990873348548235333672affd2,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,ae546d33d6685bec67f95fd7756f8fcc0e15eecaa38b09cf90abf23fbfe93233,Source: MalwareBazaar
2024-05-30,Payload installation,filename,FORMULARZ UMOWY-pdf.bat,Source: MalwareBazaar
2024-05-30,Payload installation,md5,38476d970c23bd73f5dd0c7666021422,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,02a6a12e7b0a798655117e23233edfc6fdfc1949,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,d8d6d7eecd4fc4e30d4e13388430883b02f27be465191b9f1b02764f3dd0a8b8,Source: MalwareBazaar
2024-05-30,Payload installation,filename,FedEx Notification of Arrival - AWB# 102235516763.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,db0c01af68cba6ec37a1a5d9872b1e00,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,f528b2ac723beae1e52165dc36ef90925e2cb27d,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,bf2e5d6afd63528254f986851f466aae21e0ed04f458a5d8b8cd435f446a69a4,Source: MalwareBazaar
2024-05-30,Payload installation,filename,hesaphareketi-.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,7ff415399dbd53b2c65a3693639fbcbc,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,8afc5a0ba08c1936a866829e48101f314e21221a,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,7a9d6e060cc0bc5261e1e993f409fd4c8e667c86c2ae8c607f0d1aaad542e0d3,Source: MalwareBazaar
2024-05-30,Payload installation,filename,PAYMENT SLIP.xlam,Source: MalwareBazaar
2024-05-30,Payload installation,md5,99c7083e5407b03735e32aec10e8e877,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,d9d061309191bfe3cde5eb0ba35d9125190f260f,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,023bc8ee3b41aad262a15eedeae83f46694436aec4f0a052e53a4ace25844910,Source: MalwareBazaar
2024-05-30,Payload installation,filename,BEYKIZI Sipariş 6210 FFFP2 % NR DNo2561 PB 34870.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,f8b7da12abb1b1c9273aab76aa0727b5,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,938b6a4f2eade1880fc847ddbf1366a6c701e3f6,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,de960bd011c711c0d273c8d87c4e4f9a2c3d829f3ad4a96c5a175d8c8a86ec63,Source: MalwareBazaar
2024-05-30,Payload installation,filename,SÖZLEŞME FORMU-pdf.bat,Source: MalwareBazaar
2024-05-30,Payload installation,md5,12e8a5c51d703480287ece311eccf19f,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,e8a24456acca0940bfa2c20b2b1955c479a7de80,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,51f63b8248b7719fb54a6205d260a63077421f6acce4608fffc57dd081f3d2e5,Source: MalwareBazaar
2024-05-30,Payload installation,filename,PO#7A68D23.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,e899168486ba1dd42dd277b2d8a8725c,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,22fa4b32da6c5434db9fa664a1364d8a3c87f051,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,ef41b8daddb005f3fa96bcee1477ed56923dbbc6bf2cb834538f5ed2a531a0c6,Source: MalwareBazaar
2024-05-30,Payload installation,filename,Aceptación de la ORDEN DE COMPRA 2789_1.uue,Source: MalwareBazaar
2024-05-30,Payload installation,md5,9fd3ebcb689f99ea837070a65db9b763,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,21377cf4c6c1e9ef680c885dc0509dc443e2a388,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,1238d5b3ec8031303d184e6c6aa3f9654b0bd736478d950e82b8b3d49593fcf8,Source: MalwareBazaar
2024-05-30,Payload installation,filename,PO#7A68D23.rar,Source: MalwareBazaar
2024-05-30,Payload installation,md5,1e6eea7445b8146efd81c0b1e2dd2a8e,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,0dd749b6b4dcbdacecdcd9d20c0579a9a3e5abae,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,77bb7e4e73e341f0e5c8dae3b20fb1483ec39eda276262923a626149d09b4c78,Source: MalwareBazaar
2024-05-30,Payload installation,filename,Aceptación de la ORDEN DE COMPRA 2789.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,33e61fa6aec23234ff88493d393995d6,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,eec705c5e8a9b58665625fb12479f1977623708d,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,85afad51c93450b0d0b08dba2648e0f08796df329239d3b1cdcf370735791e42,Source: MalwareBazaar
2024-05-30,Payload installation,filename,Enquiry - ENQ#16801.rar,Source: MalwareBazaar
2024-05-30,Payload installation,md5,2f99df3a6ce01ab19fad2383dd6979cd,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,3dbd83688b5795e577ba8d69a5901be196d3eb28,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,f2b7f8f9bc7072021199a711f75a25a3ec738f3d4f8a3b30e5f260f274e4eae4,Source: MalwareBazaar
2024-05-30,Payload installation,filename,Enquiry - ENQ#16801.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,4a73253b2ee68de1443cbc0f4fe04d2b,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,59f423b8d0edf033c09b21b93042709de6531844,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,b176d26d7edd74f65ed6ccf28d17dc9f4f64decc0cae12810c3659a5ed6f811a,Source: MalwareBazaar
2024-05-30,Payload installation,filename,rDHL467782000.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,147ebfe1e9d35e554eb9f31636a510e2,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,f7143bf2951ce41d4ec0ac9541dd1b9968fb0d83,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,739aa9e81a4963bce4521386fed3e464f0573125dc503249ab0d60000346d28f,Source: MalwareBazaar
2024-05-30,Payload installation,filename,Purchases Order  PO72100020.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,89d0ae093d01feb504cf60daf520fdbc,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,14bb921808df1d53e4df476cac2b1cb5c65c3a0b,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,e8f449b9786d98a8030318f1db933037c01f77e7ffe3acc649191360c5e758f5,Source: MalwareBazaar
2024-05-30,Payload installation,filename,detalle_transferencia_2024-05-13T064143.173 0200_3049280002017526_PDF.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,a9c5337e7c384d5156d58d5b8ec7effa,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,34b32c66b09fa6b02c94dae25a6df9f2ea2ba6ef,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,c2865edc8458f593826eb983978f6256230e74610d4947506de9fbce5061cf2a,Source: MalwareBazaar
2024-05-30,Payload installation,filename,New order 21052024.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,3722bab91535870e9e4cf25acef04f33,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,14ed1edc1f75e918f3fe1abf721296a7c5cd3c17,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,e511acb6ee6297e004ee5672a58d408e3c7e2fefaa34e067ef3b6a7ed90f306f,Source: MalwareBazaar
2024-05-30,Payload installation,filename,Facturas Emitidas.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,5e49d2cbacb9ff6f73e3ec9f32284fd9,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,f462570b7ef6cb88a8bfdcc738337bc681eaa97e,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,04247ecef21dfc90bca496a3c8419dfef5c82592114eabb4bb80ff9084463988,Source: MalwareBazaar
2024-05-30,Payload installation,filename,PO82107048.exe,Source: MalwareBazaar
2024-05-30,Payload installation,md5,7bf76bfeb13cf8591ceb55831aaac798,Source: MalwareBazaar
2024-05-30,Payload installation,sha1,4c8d769159e5a3c97bc9624fee39eb88ba6cc6e3,Source: MalwareBazaar
2024-05-30,Payload installation,sha256,ddd79a72fd23b7e09cea44428077aec20922523a6ae2ec4b06eddbbc5d9e8698,Source: MalwareBazaar
2024-05-31,Payload installation,filename,SOA MAY.pdf_______________________________________________________________________.exe,Source: MalwareBazaar
2024-05-31,Payload installation,md5,6a5edfedcacd647606f65f573ba88fd5,Source: MalwareBazaar
2024-05-31,Payload installation,sha1,e03491d78351a41011798d2f713a5296dfcc0553,Source: MalwareBazaar
2024-05-31,Payload installation,sha256,40367d6e32f9a6d3f45372fd60a4da63f494dc1ae0fd1781cfd9c3a74b4a06f9,Source: MalwareBazaar
2024-05-31,Payload installation,filename,SOA for APRIL 2024.png.exe,Source: MalwareBazaar
2024-05-31,Payload installation,md5,ba8caf568fbb160e81dbba3ac30b493d,Source: MalwareBazaar
2024-05-31,Payload installation,sha1,b12cc8b8bed74dd56e570e1365dd1466a60f8d19,Source: MalwareBazaar
2024-05-31,Payload installation,sha256,c5f86f85e52efd5177495ad2d53703196ce09c3503a540c99d50c1ae968b0a8f,Source: MalwareBazaar
2024-05-31,Payload installation,filename,shipping documents.exe,Source: MalwareBazaar
2024-05-31,Payload installation,md5,cb6e8cc7bbedc0dba0f4754534f06d58,Source: MalwareBazaar
2024-05-31,Payload installation,sha1,4a95a1d2e53d974c9563366d1e15e1d486afeca3,Source: MalwareBazaar
