+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-05-04
| UUID: 0e39acbc-e0fd-48fb-a5aa-80db3100823d
| Date: 2024-05-05
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-05,Network activity,hostname,aide-carburant.redirectme.net,Host name or IP address of the phishing attack
2024-05-05,Network activity,url,http://aide-carburant.redirectme.net,Source URL
2024-05-05,Other,text,FR-GOV,Target of the attack
2024-05-05,Network activity,hostname,geosolutions.pages.dev,Host name or IP address of the phishing attack
2024-05-05,Network activity,url,http://geosolutions.pages.dev,Source URL
2024-05-05,Other,text,Microsoft,Target of the attack
2024-05-05,Network activity,hostname,madeeasygoingslogan2.pages.dev,Host name or IP address of the phishing attack
2024-05-05,Network activity,url,http://madeeasygoingslogan2.pages.dev,Source URL
2024-05-05,Other,text,Generic Email,Target of the attack
2024-05-05,Network activity,hostname,windowmailcheck1274235835876iafgssu79000539282828lkjfihttp.pages.dev,Host name or IP address of the phishing attack
2024-05-05,Network activity,url,http://windowmailcheck1274235835876iafgssu79000539282828lkjfihttp.pages.dev,Source URL
2024-05-05,Other,text,Generic Email,Target of the attack
2024-05-05,Network activity,hostname,telegroupsexxx69.pages.dev,Host name or IP address of the phishing attack
2024-05-05,Network activity,url,http://telegroupsexxx69.pages.dev,Source URL
2024-05-05,Other,text,Telegram,Target of the attack
2024-05-05,Network activity,hostname,bafybeigrtg4pjqpijocazwjcsv3ydtkf27b4tehg6gnmvdvu5l6eg66ffq.ipfs.dweb.link,Host name or IP address of the phishing attack
2024-05-05,Network activity,url,http://bafybeigrtg4pjqpijocazwjcsv3ydtkf27b4tehg6gnmvdvu5l6eg66ffq.ipfs.dweb.link/_update.html,Source URL
2024-05-05,Other,text,Microsoft,Target of the attack
2024-05-05,Network activity,hostname,adminuser.teiegas.cc,Host name or IP address of the phishing attack
2024-05-05,Network activity,url,https://adminuser.teiegas.cc/,Source URL
2024-05-05,Other,text,Telegram,Target of the attack
2024-05-05,Network activity,hostname,adelinas.pages.dev,Host name or IP address of the phishing attack
2024-05-05,Network activity,url,http://adelinas.pages.dev,Source URL
2024-05-05,Other,text,Whatsapp,Target of the attack
