+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-05-23
| UUID: c9eca0ca-e000-455b-add8-724523746dcf
| Date: 2024-05-24
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-24,Network activity,hostname,sites.google.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,https://sites.google.com/view/lifemodriclo/,Source URL
2024-05-24,Other,text,Other,Target of the attack
2024-05-24,Network activity,hostname,bdslo.belastelof.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,https://bdslo.belastelof.com/,Source URL
2024-05-24,Other,text,Other,Target of the attack
2024-05-24,Network activity,hostname,authresolver.pages.dev,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://authresolver.pages.dev,Source URL
2024-05-24,Other,text,Crypto,Target of the attack
2024-05-24,Network activity,hostname,idch-estv.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,https://idch-estv.com/ID8391032/,Source URL
2024-05-24,Other,text,CH-GOV,Target of the attack
2024-05-24,Network activity,hostname,purple-lake-8a74.fzheboy.workers.dev,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://purple-lake-8a74.fzheboy.workers.dev,Source URL
2024-05-24,Other,text,Microsoft,Target of the attack
2024-05-24,Network activity,hostname,haker.coinbili.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://haker.coinbili.com,Source URL
2024-05-24,Other,text,imToken,Target of the attack
2024-05-24,Network activity,hostname,jupitermainfixchain.pages.dev,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://jupitermainfixchain.pages.dev,Source URL
2024-05-24,Other,text,Crypto,Target of the attack
2024-05-24,Network activity,hostname,senkys.netcop.pro,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,https://senkys.netcop.pro/,Source URL
2024-05-24,Other,text,Orange,Target of the attack
2024-05-24,Network activity,hostname,connecct-i0ie.onrender.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,https://connecct-i0ie.onrender.com/,Source URL
2024-05-24,Other,text,Orange,Target of the attack
2024-05-24,Network activity,hostname,duorders.seprotips.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://duorders.seprotips.com,Source URL
2024-05-24,Other,text,du(AE),Target of the attack
2024-05-24,Network activity,hostname,duorders.slip-lovers.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://duorders.slip-lovers.com,Source URL
2024-05-24,Other,text,du(AE),Target of the attack
2024-05-24,Network activity,hostname,duorders.targujiucity.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://duorders.targujiucity.com,Source URL
2024-05-24,Other,text,du(AE),Target of the attack
2024-05-24,Network activity,hostname,duorders.startwoodcraft.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://duorders.startwoodcraft.com,Source URL
2024-05-24,Other,text,du(AE),Target of the attack
2024-05-24,Network activity,hostname,duorders.shashirekhakoppad.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://duorders.shashirekhakoppad.com,Source URL
2024-05-24,Other,text,du(AE),Target of the attack
2024-05-24,Network activity,hostname,idmailorangs.weebly.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,https://idmailorangs.weebly.com/,Source URL
2024-05-24,Other,text,Other,Target of the attack
2024-05-24,Network activity,hostname,amelin.wwpi.pro,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,https://amelin.wwpi.pro/,Source URL
2024-05-24,Other,text,Orange,Target of the attack
2024-05-24,Network activity,hostname,cecilion.pages.dev,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,https://cecilion.pages.dev/static/js,Source URL
2024-05-24,Other,text,Microsoft,Target of the attack
2024-05-24,Network activity,hostname,vrl20.ttk-bn.com,Host name or IP address of the phishing attack
2024-05-24,Network activity,url,http://vrl20.ttk-bn.com/,Source URL
2024-05-24,Other,text,Telegram,Target of the attack
2024-05-24,Network activity,hostname,languagcorageorigenalsettingedomainshap3.pages.dev,Host name or IP address of the phishing attack
