+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-05-26
| UUID: 7db88581-0025-4426-8b68-642d6d8d77bb
| Date: 2024-05-26
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-26,Network activity,hostname,26pz-bh.pages.dev,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,http://26pz-bh.pages.dev,Source URL
2024-05-26,Other,text,Amazon,Target of the attack
2024-05-26,Network activity,hostname,mdyte64692027hdgsdsgfssdyteosnxfduepemdgieiegsfsshyw3633n1.pages.dev,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,http://mdyte64692027hdgsdsgfssdyteosnxfduepemdgieiegsfsshyw3633n1.pages.dev,Source URL
2024-05-26,Other,text,Generic Email,Target of the attack
2024-05-26,Network activity,hostname,duorders.bizzoneamerica.com,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,http://duorders.bizzoneamerica.com,Source URL
2024-05-26,Other,text,du(AE),Target of the attack
2024-05-26,Network activity,hostname,bill-606ee5.webflow.io,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,https://bill-606ee5.webflow.io,Source URL
2024-05-26,Other,text,BT,Target of the attack
2024-05-26,Network activity,hostname,smartsurvey.co.uk,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,https://www.smartsurvey.co.uk/s/YEFGAT/,Source URL
2024-05-26,Other,text,BT,Target of the attack
2024-05-26,Network activity,hostname,02yhsds.pages.dev,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,http://02yhsds.pages.dev,Source URL
2024-05-26,Other,text,Amazon,Target of the attack
2024-05-26,Network activity,hostname,jamiesomers05.ac-page.com,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,https://jamiesomers05.ac-page.com/bt-login01?test=true,Source URL
2024-05-26,Other,text,BT,Target of the attack
2024-05-26,Network activity,hostname,21pr-bh.pages.dev,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,http://21pr-bh.pages.dev,Source URL
2024-05-26,Other,text,Amazon,Target of the attack
2024-05-26,Network activity,hostname,d0266.top,Host name or IP address of the phishing attack
2024-05-26,Network activity,url,http://d0266.top,Source URL
2024-05-26,Other,text,Telegram,Target of the attack
