+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Google Patches Second Chrome Zero-Day in One Week
| UUID: bba8d084-8dc4-5f52-8d99-e818847950b4
| Date: 2024-05-14
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-14,External analysis,link,https://www.securityweek.com/google-patches-second-chrome-zero-day-in-one-week/,
2024-05-14,External analysis,link,https://feedly.com/i/entry/8dpo/qFWYByOyFRTdN0tyzkcf5yiHbyLYE4uz9Kd1BA=_18f76e72b22:135e1ec:408b12aa,
