+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-05-08 10:21:19Z
| UUID: da98719b-978f-4dc6-8915-cf1228259cab
| Date: 2024-05-08
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-08,Network activity,url,https://inpost-pl.nailkii.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.derginok.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.nsiopl.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.eshegas.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.vnisan.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.tewsan.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.untilak.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.proilovkr.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.zaomak.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.sartach.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.lidyiko.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.moirdok.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.chjonik.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.charbok.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.vsechtop.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.nislem.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.nepoertem.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.spavisak.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-05-08,Network activity,url,https://inpost-pl.mimoyshe.pics/payment/11e8fc9c032f/millennium,Phishing site
