+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Smoke Loader host indicators [2024-05-27]
| UUID: 0cde9647-bfe7-4f53-93f4-e0e16e48f919
| Date: 2024-05-27
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-27,Payload installation,filename,86fdddf6d97e37bd1d553b6b5d148bbc,Source: MalwareBazaar
2024-05-27,Payload installation,md5,86fdddf6d97e37bd1d553b6b5d148bbc,Source: MalwareBazaar
2024-05-27,Payload installation,sha1,ac8055b504be4d41c0ca155a371fd7a9c81f3a47,Source: MalwareBazaar
2024-05-27,Payload installation,sha256,7d66319f553c05d867fbeb075422f2c379c13f9fc6aee2d5dded668ba02402e8,Source: MalwareBazaar
2024-05-27,Payload installation,filename,bde2ed54f2a666882ae0140c490fbbbd,Source: MalwareBazaar
2024-05-27,Payload installation,md5,bde2ed54f2a666882ae0140c490fbbbd,Source: MalwareBazaar
2024-05-27,Payload installation,sha1,6c12a8ad19e08f9763647831b7ca4c72c677764e,Source: MalwareBazaar
2024-05-27,Payload installation,sha256,caeb52cc373016afd2187667212e7825c8ee6a028c2176431c69e2296d4177fc,Source: MalwareBazaar
2024-05-27,Payload installation,filename,c5261e67bd6d58771e27d7214e8f1c8f,Source: MalwareBazaar
2024-05-27,Payload installation,md5,c5261e67bd6d58771e27d7214e8f1c8f,Source: MalwareBazaar
2024-05-27,Payload installation,sha1,6fd857b3ebdb3888785d41f20277bc4e045bf704,Source: MalwareBazaar
2024-05-27,Payload installation,sha256,09d1eba82060a4ff75575b471d563a5e02485e0aaa3afe743802a50d6e987410,Source: MalwareBazaar
