+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-05-09
| UUID: 6ec34bac-6294-421b-8efb-26430f3ca19a
| Date: 2024-05-09
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-09,Payload delivery,url,https://skylinehigh.com/8otabr/,ClearFake payload delivery URL (confidence level: 100%)
2024-05-09,Payload delivery,url,https://skylinehigh.com/bvxny6r6,ClearFake payload delivery URL (confidence level: 100%)
2024-05-09,Network activity,ip-dst|port,91.92.244.58|60195,Mirai botnet C2 server (confidence level: 75%)
2024-05-09,Network activity,domain,minuoddos.top,Mirai botnet C2 domain (confidence level: 75%)
2024-05-09,Network activity,url,https://sayrodfalireznolere.top/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://tarakomizdolirez.top/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://caymedcoymenconez.top/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://salihogobinezdolinez.top/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://terektorekdomirez.top/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://hahyolkabinezlokezdo.top/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://teyfangobinezdo.xyz/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://harmancomesdel.xyz/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://gabirezdolirezdomez.xyz/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://tahtalivilazdolezdominez.xyz/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
2024-05-09,Network activity,url,https://tahirbankobinezcomez.xyz/zdgynwm4zjc4ngu2/,Coper botnet C2 (confidence level: 80%)
