+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-05-13
| UUID: da4079c2-54a8-4c18-9879-5a677dc0cdc3
| Date: 2024-05-13
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-13,Network activity,url,https://arabadakal.shop/zdqyn2nmogezotlk/,Coper botnet C2 (confidence level: 80%)
2024-05-13,Network activity,url,https://amcakalarada.shop/zdqyn2nmogezotlk/,Coper botnet C2 (confidence level: 80%)
2024-05-13,Network activity,url,https://yakanbirkarda.shop/zdqyn2nmogezotlk/,Coper botnet C2 (confidence level: 80%)
2024-05-13,Network activity,url,https://yakanbirkardanma.top/zdqyn2nmogezotlk/,Coper botnet C2 (confidence level: 80%)
2024-05-13,Network activity,url,https://karamakarnakalem.com/zdqyn2nmogezotlk/,Coper botnet C2 (confidence level: 80%)
2024-05-13,Network activity,url,https://marabakalem.shop/zdqyn2nmogezotlk/,Coper botnet C2 (confidence level: 80%)
2024-05-13,Network activity,url,https://karayanlardanmak.shop/zdqyn2nmogezotlk/,Coper botnet C2 (confidence level: 80%)
2024-05-13,Network activity,url,https://sekenmakaslar.shop/zdqyn2nmogezotlk/,Coper botnet C2 (confidence level: 80%)
2024-05-13,Payload delivery,url,https://blog.itoyakuten.net/manual.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-13,Payload delivery,url,https://blog.jens-bolz.de/manual.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,18.197.239.109|18014,NjRAT botnet C2 server (confidence level: 75%)
2024-05-13,Payload delivery,url,http://awadhshreehospital.in/index.php/2023/03/20/pros-and-cons-of-multilateral-trade-agreements,GootLoader payload delivery URL (confidence level: 100%)
2024-05-13,Payload delivery,url,https://blog.jonheese.com/manual.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,120.77.251.72|10001,Xtreme RAT botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,193.233.132.40|80,AMOS botnet C2 server (confidence level: 100%)
2024-05-13,Payload delivery,url,https://blog.lizzygraykitchens.com/manual.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,20.52.146.50|10443,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,198.23.135.53|80,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,170.130.165.69|444,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,203.205.6.67|31337,Sliver botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,18.188.31.230|443,Sliver botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,205.185.121.28|31337,Sliver botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,150.158.121.15|60000,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,80.66.75.43|44433,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,185.216.117.157|9002,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-05-13,Network activity,ip-dst|port,54.95.170.58|80,Brute Ratel C4 botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,183.214.129.174|4506,Deimos botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,104.223.76.201|44102,BianLian botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,104.248.223.131|80,Havoc botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,41.251.193.48|995,QakBot botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,46.246.181.110|995,QakBot botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,82.8.144.54|443,QakBot botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,41.99.220.207|443,QakBot botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,149.154.67.148|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-05-13,Network activity,ip-dst|port,49.13.49.198|9000,Vidar botnet C2 server (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,65.21.183.11|443,Vidar botnet C2 server (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,77.221.151.87|443,Vidar botnet C2 server (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,168.119.166.86|443,Vidar botnet C2 server (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,78.47.23.196|443,Vidar botnet C2 server (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,5.42.96.89|443,Vidar botnet C2 server (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,50.75.213.183|443,Vidar botnet C2 server (confidence level: 100%)
2024-05-13,Network activity,ip-dst|port,88.198.193.148|443,Vidar botnet C2 server (confidence level: 100%)
2024-05-13,Network activity,url,https://steamcommunity.com/profiles/76561199675758951,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://49.13.49.198:9000/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://65.21.183.11/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://65.109.242.112/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://5.75.213.183/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://5.75.208.137/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://77.221.151.87/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://168.119.166.86/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://78.47.23.196/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://5.42.96.89/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://50.75.213.183/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://88.198.193.148/,Vidar botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,http://spencerstuartllc.top/evie2/five/fre.php,Loki Password Stealer (PWS) botnet C2 (confidence level: 75%)
2024-05-13,Payload delivery,url,https://blog.pet-portraitartist.com/manual.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-13,Network activity,url,https://steamcommunity.com/profiles/76561199620585818,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://steamcommunity.com/profiles/76561199619783336,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://steamcommunity.com/profiles/76561199609760273,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://steamcommunity.com/profiles/76561199620321083,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://steamcommunity.com/profiles/76561199655148275,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://frck.xyz/up/,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://frck.xyz/up/b,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://frdk.xyz/up/,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://frcf.xyz/up/,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,https://frcf.xyz/up/b,ACR Stealer botnet C2 (confidence level: 100%)
2024-05-13,Network activity,domain,frck.xyz,ACR Stealer botnet C2 domain (confidence level: 100%)
2024-05-13,Network activity,domain,frdk.xyz,ACR Stealer botnet C2 domain (confidence level: 100%)
2024-05-13,Network activity,domain,frfk.xyz,ACR Stealer botnet C2 domain (confidence level: 100%)
2024-05-13,Network activity,url,http://106.42.215.249:443/wps/solution/index,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-13,Network activity,url,http://111.170.24.232:443/wps/solution/index,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-13,Network activity,url,http://124.236.110.231:443/wps/solution/index,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-13,Network activity,url,http://140.249.61.241:443/wps/solution/index,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-13,Network activity,url,http://180.213.251.231:443/wps/solution/index,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-13,Network activity,url,http://42.248.140.76:443/wps/solution/index,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-13,Network activity,url,http://58.218.215.181:443/wps/solution/index,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-13,Network activity,url,https://23.95.65.198/pixel,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,http://47.115.215.30:6666/pixel.gif,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,http://110.41.21.173/fwlink,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-13,Network activity,url,http://175.178.50.68/j.ad,Cobalt Strike botnet C2 (confidence level: 100%)
