+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-05-20
| UUID: 8a499eb3-e179-421b-968b-d79b8605033c
| Date: 2024-05-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-20,Network activity,ip-dst|port,192.169.69.25|2506,Nanocore RAT botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,domain,nikt0x.duckdns.org,Nanocore RAT botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,domain,wae54.duckdns.org,Nanocore RAT botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,domain,wave54.duckdns.org,Nanocore RAT botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,192.169.69.25|83,Nanocore RAT botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,18.158.249.75|19473,NjRAT botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,ip-dst|port,3.68.171.119|13006,NjRAT botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,ip-dst|port,3.69.157.220|15748,NjRAT botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,ip-dst|port,77.221.156.5|80,Meduza Stealer botnet C2 server (confidence level: 80%)
2024-05-20,Network activity,ip-dst|port,147.45.47.149|8081,RisePro botnet C2 server (confidence level: 80%)
2024-05-20,Payload delivery,url,https://chivas.taegermoos.com/manual.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-20,Network activity,url,http://45.61.137.215/index.php/6790,Loki Password Stealer (PWS) botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://45.61.137.215/index.php/index?id=671120760852658,Loki Password Stealer (PWS) botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://146.0.73.222/6wpimage/cdn/apiasync/generatordb/process/line37/flowerproton/eternalsqlmultipublic/uploads/gameapiasync/updategamepacket/jsproton3/jsgamesecure/centraltest/to/javascripthttpgamesql.php,DCRat botnet C2 (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,64.188.27.90|2404,Remcos botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,domain,masduh38sjdai.org,SmokeLoader botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,domain,omfghellobrosjda38.org,SmokeLoader botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,domain,stayherefata4l.org,SmokeLoader botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,158.160.169.85|80,SmokeLoader botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,ip-dst|port,94.156.69.89|443,Havoc botnet C2 server (confidence level: 50%)
2024-05-20,Network activity,ip-dst|port,159.203.143.205|443,Havoc botnet C2 server (confidence level: 50%)
2024-05-20,Network activity,ip-dst|port,159.203.143.205|80,Havoc botnet C2 server (confidence level: 50%)
2024-05-20,Network activity,ip-dst|port,63.135.69.92|443,QakBot botnet C2 server (confidence level: 50%)
2024-05-20,Network activity,ip-dst|port,46.246.12.3|9000,DCRat botnet C2 server (confidence level: 50%)
2024-05-20,Network activity,ip-dst|port,154.44.10.166|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-05-20,Payload delivery,url,https://choi.helava.com/manual.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-20,Network activity,url,https://ww2.jji.cz/jquery-3.3.1.min.jsp,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,8.222.156.244|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,3.18.7.81|80,Loki Password Stealer (PWS) botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,domain,shipboot.com,Loki Password Stealer (PWS) botnet C2 domain (confidence level: 75%)
2024-05-20,Network activity,url,https://185.229.237.201/unwood/admin/1/ppptp.jpg,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://124.223.28.25:8886/push,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://101.35.19.133/j.ad,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://59.110.172.50/ga.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,https://192.227.232.151/cm,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://124.223.28.25:8001/j.ad,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,192.169.69.25|482,Nanocore RAT botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,domain,tomcoyne.duckdns.org,Nanocore RAT botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,41.249.104.99|10000,NjRAT botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,ip-dst|port,199.223.235.67|5050,NjRAT botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,url,https://106.53.181.113/cm,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,106.53.181.113|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,url,http://759931cm.n9shteam1.top/tolinuxflower.php,DCRat botnet C2 (confidence level: 100%)
2024-05-20,Payload delivery,url,https://covid19help.top/pyramidzx.scr,Loki Password Stealer (PWS) payload delivery URL (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,51.38.187.10|80,Loki Password Stealer (PWS) botnet C2 server (confidence level: 75%)
2024-05-20,Network activity,ip-dst|port,46.246.6.12|7045,Vjw0rm botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,domain,manxzas12.duckdns.org,Remcos botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,url,http://45.61.137.215/index.php/modify?post=1,Loki Password Stealer (PWS) botnet C2 (confidence level: 100%)
2024-05-20,Payload delivery,ip-dst|port,158.160.167.238|443,FAKEUPDATES payload delivery server (confidence level: 100%)
2024-05-20,Payload delivery,url,http://117.253.12.185:44448/mozi.m,Mozi payload delivery URL (confidence level: 50%)
2024-05-20,Network activity,url,https://172.84.93.210:8443/push,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://43.136.64.163:8888/activity,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,https://23.94.169.124/ie9compatviewlist.xml,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://bqrg123.com:2086/api/x,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,domain,bqrg123.com,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,116.198.34.83|2086,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,url,https://anphealthcenter.com/fashion/v3.62/9cpwzfxyo,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,domain,anphealthcenter.com,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,45.61.136.79|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,url,https://116.196.82.90/match,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,https://194.87.252.8/jquery-3.3.1.min.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,194.87.252.8|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,url,https://194.59.30.143/load,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,ip-dst|port,194.59.30.143|443,Cobalt Strike botnet C2 server (confidence level: 100%)
2024-05-20,Network activity,url,http://210.56.49.167:8090/d2clzbmsjml,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,https://210.56.49.167:9443/d2clzbmsjml,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://klgbb.com:8880/d2clzbmsjml,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,domain,klgbb.com,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-05-20,Network activity,url,http://175.178.45.180:9090/en_us/all.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://47.236.31.187:8080/pixel.gif,Cobalt Strike botnet C2 (confidence level: 100%)
2024-05-20,Payload delivery,url,https://gamestockxchange.com/cdn-vs/original.js,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-05-20,Payload delivery,url,https://gamestockxchange.com/cdn-vs/cache.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-05-20,Payload delivery,url,https://gamestockxchange.com/cdn-vs/2per.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-05-20,Payload delivery,url,http://zp3mvmzab.top/data.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-05-20,Payload delivery,url,https://advising-receipts.com/bank/payment_advice.scr,Snake payload delivery URL (confidence level: 100%)
2024-05-20,Payload delivery,url,https://advising-receipts.com/utradvices.scr,Snake payload delivery URL (confidence level: 100%)
2024-05-20,Network activity,url,http://cajgtus.com/lancer/get.php,TeamBot botnet C2 (confidence level: 100%)
2024-05-20,Network activity,url,http://192.168.150.148:6666/ptj,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-20,Network activity,url,http://192.168.52.131:2222/activity,Cobalt Strike botnet C2 (confidence level: 75%)
2024-05-20,Network activity,ip-dst|port,141.98.7.146|30120,Mirai botnet C2 server (confidence level: 75%)
2024-05-20,Payload delivery,url,https://cocktailhacker.com/manual.php,GootLoader payload delivery URL (confidence level: 100%)
