+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-05-29
| UUID: 254e6622-f41e-490c-8eae-d1a62178e030
| Date: 2024-05-29
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-29,Network activity,domain,ciston.nut.cc,Loki Password Stealer (PWS) botnet C2 domain (confidence level: 75%)
2024-05-29,Network activity,ip-dst|port,188.130.251.44|59666,Mirai botnet C2 server (confidence level: 75%)
2024-05-29,Network activity,domain,jupyterlab.site,Mirai botnet C2 domain (confidence level: 75%)
2024-05-29,Payload delivery,ip-dst|port,158.160.14.246|443,FAKEUPDATES payload delivery server (confidence level: 100%)
2024-05-29,Payload delivery,url,https://192.177.51.248/products/reader.zip,Unknown malware payload delivery URL (confidence level: 50%)
2024-05-29,Payload delivery,url,https://i.wanblibang.com.cn/products/reader.zip,Unknown malware payload delivery URL (confidence level: 50%)
2024-05-29,Payload delivery,url,https://ccwaterfall.com/products/reader.zip,Unknown malware payload delivery URL (confidence level: 50%)
2024-05-29,Payload delivery,url,https://i.wanblibang.com.cn/products/putty.zip,Unknown malware payload delivery URL (confidence level: 100%)
2024-05-29,Payload delivery,url,https://ccwaterfall.com/products/putty.zip,Unknown malware payload delivery URL (confidence level: 100%)
2024-05-29,Payload delivery,url,https://192.177.51.248/products/putty.zip,Unknown malware payload delivery URL (confidence level: 100%)
2024-05-29,Payload delivery,domain,blockworks.one,Unknown malware payload delivery domain (confidence level: 50%)
2024-05-29,Payload delivery,domain,tokenworks.io,Unknown malware payload delivery domain (confidence level: 50%)
2024-05-29,Payload delivery,url,https://dontcrydesignlab.com/reports.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-29,Network activity,url,http://sempersim.su/d9/fre.php,Loki Password Stealer (PWS) botnet C2 (confidence level: 100%)
2024-05-29,Payload delivery,url,https://doublertrailers.com/reports.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-29,Network activity,ip-dst|port,113.207.40.22|4505,Deimos botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,91.92.246.183|8443,BianLian botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,195.54.160.90|54320,BianLian botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,165.227.79.41|443,Havoc botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,122.51.194.153|8888,Havoc botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,70.31.125.90|2222,QakBot botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,46.246.12.11|6000,DCRat botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,149.104.24.124|1088,Unknown malware botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,124.223.217.37|8888,Unknown malware botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,92.63.103.69|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,20.201.118.111|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,91.107.126.182|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-05-29,Network activity,ip-dst|port,95.217.241.137|443,Vidar botnet C2 server (confidence level: 100%)
2024-05-29,Network activity,ip-dst|port,116.202.190.18|443,Vidar botnet C2 server (confidence level: 100%)
