+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-05-30
| UUID: d71b42e0-c2d9-47b3-896d-cc109720ac03
| Date: 2024-05-30
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-30,Payload delivery,domain,dovuzu3rz.top,FAKEUPDATES payload delivery domain (confidence level: 100%)
2024-05-30,Payload delivery,url,https://septicfl.com/h/get.php,FAKEUPDATES payload delivery URL (confidence level: 100%)
2024-05-30,Payload delivery,domain,septicfl.com,FAKEUPDATES payload delivery domain (confidence level: 100%)
2024-05-30,Payload delivery,url,https://kimtams.dk/reports.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-30,Payload delivery,domain,muse.krazzykriss.com,FAKEUPDATES payload delivery domain (confidence level: 100%)
2024-05-30,Payload delivery,url,https://lifeunworthyoflife.com/reports.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-30,Payload delivery,url,https://davidjhindlemann.com/reports.php,GootLoader payload delivery URL (confidence level: 100%)
2024-05-30,Network activity,url,http://a0987707.xsph.ru/l1nc0in.php,DCRat botnet C2 (confidence level: 100%)
2024-05-30,Network activity,url,http://a0987361.xsph.ru/83a18cdb.php,DCRat botnet C2 (confidence level: 100%)
2024-05-30,Payload delivery,sha1,1dbe0b336bd1124132ca9b140e1503a4a7f38221,Cobalt Strike payload (confidence level: 95%)
2024-05-30,Payload delivery,sha256,b047a1aa427684f2b488fbe4cb705adc022167f48af2eb044a92978fb8c0db3e,Cobalt Strike payload (confidence level: 95%)
2024-05-30,Payload delivery,md5,056d0dd31675b0337c115c7c1862a093,Cobalt Strike payload (confidence level: 95%)
2024-05-30,Payload delivery,sha1,f16a24f99cf720eeef749036cba0ad384993110a,Cobalt Strike payload (confidence level: 95%)
