+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-05-03
| UUID: 51926957-eff4-488f-93d8-9f9124684ba6
| Date: 2024-05-03
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-03,Payload delivery,url,https://vk.com/doc5294803_669204581?hash=Qb6KDAnD09KpCMq06EdnoNfMRZ2o4z6mtKVzZdsUKHX&dl=3KbCO67Z1uvuzfGDBbqZP5iacGfit5JdfztSz0L9GNw&api=1&no_preview=1#orig,Malware distribution site
2024-05-03,Payload delivery,url,http://42.226.71.6:33052/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://24.242.46.78:47356/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://42.239.252.204:46841/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://115.63.128.128:37288/i,Malware distribution site
2024-05-03,Payload delivery,url,http://103.69.217.198:36278/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://117.255.83.142:50239/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://117.222.192.51:60287/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://123.4.155.87:59611/i,Malware distribution site
2024-05-03,Payload delivery,url,http://27.207.224.187:47799/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://117.204.202.159:55890/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://61.53.75.31:56989/i,Malware distribution site
2024-05-03,Payload delivery,url,http://115.48.154.233:36546/i,Malware distribution site
2024-05-03,Payload delivery,url,http://117.199.77.182:45364/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://115.56.45.126:55351/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://182.119.6.34:38883/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://182.125.121.199:43625/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://223.12.113.228:51442/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://59.178.74.243:35514/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://115.51.247.123:44923/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://117.204.202.159:55890/i,Malware distribution site
2024-05-03,Payload delivery,url,http://59.99.128.140:47780/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://222.141.235.34:44313/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://42.230.217.152:59440/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://27.220.86.36:40913/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://117.220.150.98:39293/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://221.14.38.97:54710/i,Malware distribution site
2024-05-03,Payload delivery,url,http://42.227.204.126:33084/i,Malware distribution site
2024-05-03,Payload delivery,url,http://182.126.121.66:38376/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://223.13.93.253:60090/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://221.14.163.209:57151/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://115.55.235.24:41064/Mozi.a,Malware distribution site
2024-05-03,Payload delivery,url,http://123.175.92.230:52451/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://59.184.63.87:42147/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://59.99.128.140:47780/i,Malware distribution site
2024-05-03,Payload delivery,url,http://117.204.192.128:38728/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://59.89.4.235:55734/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://182.121.118.58:49586/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://117.251.168.57:50170/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,https://vk.com/doc5294803_669205086?hash=pd9ZT2zZVcPh9slDb2FSwBZIW6FXPAAJEN5rkvravXw&dl=OvDZZ8OwDqMNBA9D0LUcMOO6gORZI72FNogy4ludZjk&api=1&no_preview=1,Malware distribution site
2024-05-03,Payload delivery,url,https://zea.demo.betterbuiltdogs.com/editContent,Malware distribution site
2024-05-03,Payload delivery,url,https://lmr.demo.betterbuiltdogs.com/editContent,Malware distribution site
2024-05-03,Payload delivery,url,http://42.233.107.100:42355/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://27.220.86.36:40913/i,Malware distribution site
2024-05-03,Payload delivery,url,http://117.220.150.98:39293/i,Malware distribution site
2024-05-03,Payload delivery,url,http://39.88.127.145:38569/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://42.239.229.27:50092/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://110.24.32.162:38157/Mozi.a,Malware distribution site
2024-05-03,Payload delivery,url,http://221.15.229.127:41650/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://59.184.53.137:41118/i,Malware distribution site
2024-05-03,Payload delivery,url,http://42.59.231.204:42562/i,Malware distribution site
2024-05-03,Payload delivery,url,http://117.200.177.152:40940/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://117.204.192.128:38728/i,Malware distribution site
2024-05-03,Payload delivery,url,http://223.13.93.253:60090/i,Malware distribution site
2024-05-03,Payload delivery,url,http://115.58.86.235:52798/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://182.113.220.115:45971/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://117.251.168.57:50170/i,Malware distribution site
2024-05-03,Payload delivery,url,http://59.89.4.235:55734/i,Malware distribution site
2024-05-03,Payload delivery,url,http://182.121.118.58:49586/i,Malware distribution site
2024-05-03,Payload delivery,url,http://42.234.151.55:44724/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://92.154.92.135:54831/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://118.79.188.197:13138/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://42.233.107.100:42355/i,Malware distribution site
2024-05-03,Payload delivery,url,http://39.88.127.145:38569/i,Malware distribution site
2024-05-03,Payload delivery,url,http://219.156.188.2:41663/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://175.149.110.243:53568/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://123.4.247.96:47647/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://58.59.152.91:54181/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://115.58.92.39:32797/Mozi.m,Malware distribution site
2024-05-03,Payload delivery,url,http://221.14.161.253:58340/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://92.154.92.135:54831/i,Malware distribution site
2024-05-03,Payload delivery,url,http://182.121.8.109:56922/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://27.215.212.142:48174/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://117.194.163.66:47941/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://42.234.99.175:55650/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://175.149.110.243:53568/i,Malware distribution site
2024-05-03,Payload delivery,url,http://118.79.188.197:13138/i,Malware distribution site
2024-05-03,Payload delivery,url,http://125.44.59.239:44618/i,Malware distribution site
2024-05-03,Payload delivery,url,http://117.248.20.101:51990/bin.sh,Malware distribution site
2024-05-03,Payload delivery,url,http://117.217.84.30:58474/bin.sh,Malware distribution site
