+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: URLhaus IOCs for 2024-05-20
| UUID: 84b35536-90b0-4b2b-a09a-91d8423342cc
| Date: 2024-05-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-05-20,Payload delivery,url,http://112.225.197.112:34615/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://182.121.112.100:41159/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://125.44.22.65:35047/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://27.204.197.101:50082/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://183.188.142.23:36049/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://59.89.206.219:59911/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.252.40.244:52812/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.194.249:47309/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://102.33.41.135:53263/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://116.31.153.223:56460/i,Malware distribution site
2024-05-20,Payload delivery,url,http://115.59.79.153:51219/i,Malware distribution site
2024-05-20,Payload delivery,url,http://196.189.35.8:51976/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://112.225.197.112:34615/i,Malware distribution site
2024-05-20,Payload delivery,url,http://117.248.40.168:52179/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://42.224.137.117:52854/i,Malware distribution site
2024-05-20,Payload delivery,url,http://182.127.177.204:57964/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.235.96.255:41320/i,Malware distribution site
2024-05-20,Payload delivery,url,http://117.254.177.135:45385/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://59.182.81.31:60235/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://221.15.215.109:57156/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.211.210.36:39912/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://59.92.180.186:57073/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://42.224.78.87:58453/i,Malware distribution site
2024-05-20,Payload delivery,url,http://59.182.245.132:57856/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.199.114:56242/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://222.137.196.51:53919/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.194.168.81:53752/i,Malware distribution site
2024-05-20,Payload delivery,url,http://123.12.31.172:43131/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://222.136.49.194:42067/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://182.127.177.204:57964/i,Malware distribution site
2024-05-20,Payload delivery,url,http://117.254.177.135:45385/i,Malware distribution site
2024-05-20,Payload delivery,url,http://42.224.26.218:43795/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://178.216.64.209:60409/i,Malware distribution site
2024-05-20,Payload delivery,url,http://182.112.5.224:59523/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.207.21:38634/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://115.55.249.16:51333/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://123.13.53.103:57079/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://182.121.218.139:52239/i,Malware distribution site
2024-05-20,Payload delivery,url,http://117.194.213.243:60303/mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.215.247.38:51451/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.199.114:56242/i,Malware distribution site
2024-05-20,Payload delivery,url,http://59.93.180.66:40845/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://59.98.198.65:54380/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://61.53.83.248:47682/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://42.224.26.218:43795/i,Malware distribution site
2024-05-20,Payload delivery,url,http://115.54.129.136:34421/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://222.136.49.194:42067/i,Malware distribution site
2024-05-20,Payload delivery,url,http://59.184.71.237:50601/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://123.12.31.172:43131/i,Malware distribution site
2024-05-20,Payload delivery,url,http://123.13.53.103:57079/i,Malware distribution site
2024-05-20,Payload delivery,url,http://115.149.165.247:41699/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.216.67.69:48090/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.199.74.22:60446/mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://115.55.249.16:51333/i,Malware distribution site
2024-05-20,Payload delivery,url,http://59.98.198.65:54380/i,Malware distribution site
2024-05-20,Payload delivery,url,http://222.138.73.32:59234/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.215.247.38:51451/i,Malware distribution site
2024-05-20,Payload delivery,url,http://59.93.191.71:39057/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://59.184.71.237:50601/i,Malware distribution site
2024-05-20,Payload delivery,url,http://193.234.64.121:32899/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://115.50.155.186:51920/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.217.41.100:45255/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.216.22.32:60547/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://219.156.103.37:57865/i,Malware distribution site
2024-05-20,Payload delivery,url,http://182.121.84.219:44208/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://61.53.83.248:47682/i,Malware distribution site
2024-05-20,Payload delivery,url,http://182.117.51.37:55740/i,Malware distribution site
2024-05-20,Payload delivery,url,http://42.7.121.226:52128/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://150.129.62.218:49156/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://182.112.108.31:33249/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.255.178.169:39576/i,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.74.59:38022/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://182.126.120.6:45773/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.203.66:48210/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.197.109:39530/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.206.181.26:41992/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://61.52.39.103:52755/i,Malware distribution site
2024-05-20,Payload delivery,url,http://222.136.22.249:36745/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://59.93.191.71:39057/i,Malware distribution site
2024-05-20,Payload delivery,url,http://117.216.22.32:60547/i,Malware distribution site
2024-05-20,Payload delivery,url,http://42.228.213.201:44187/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://123.4.190.236:47511/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.217.83.237:54107/mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://182.121.84.219:44208/i,Malware distribution site
2024-05-20,Payload delivery,url,http://112.249.214.59:39907/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://221.15.93.125:59399/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://222.136.22.249:36745/i,Malware distribution site
2024-05-20,Payload delivery,url,http://150.129.62.218:49156/i,Malware distribution site
2024-05-20,Payload delivery,url,http://117.242.234.44:34206/i,Malware distribution site
2024-05-20,Payload delivery,url,http://182.112.108.31:33249/i,Malware distribution site
2024-05-20,Payload delivery,url,http://117.199.77.72:38552/bin.sh,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.197.109:39530/i,Malware distribution site
2024-05-20,Payload delivery,url,http://42.228.213.201:44187/i,Malware distribution site
2024-05-20,Payload delivery,url,http://156.146.22.41:45457/Mozi.a,Malware distribution site
2024-05-20,Payload delivery,url,http://123.4.76.234:36820/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://117.204.207.13:50007/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://61.3.87.123:41293/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://95.5.53.49:53747/Mozi.m,Malware distribution site
2024-05-20,Payload delivery,url,http://115.57.114.76:37883/bin.sh,Malware distribution site
