+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-06-06]
| UUID: db7df01a-0bb0-4b71-8430-e6c26c31ce83
| Date: 2024-06-07
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-06,Payload installation,filename,c62eba8c6f4f0a835d0c035f1a18777d,Source: MalwareBazaar
2024-06-06,Payload installation,md5,c62eba8c6f4f0a835d0c035f1a18777d,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,8010b0c4e8feb6d7f5299e71166a8ea7f8298fe9,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,4aa30540e4a15e91219f2531911bcc7cb2f122ab3fa8772140fe93af904f3bab,Source: MalwareBazaar
2024-06-06,Payload installation,filename,STATEMENT OF ACCOUNT (2).exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,752b473c6547dea4fa738b9bf3d902cf,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,5855b3f35d0f42ca42b71e1600033aea90869c9e,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,13514a511e00e24a199be1643611b83ac2d67713e02061910ccb3c88fd133ee3,Source: MalwareBazaar
2024-06-06,Payload installation,filename,ASMT-AR00-AST00   1980pcs.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,059ee108e42cddef53d61ff14780d8aa,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,3ba3366f05dfa32d91ef17532e59387f69ebd897,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,1f7dcd5994d22e9acfb0313d58b4227abcd33966ae38863d91fbed5a0cd7b415,Source: MalwareBazaar
2024-06-06,Payload installation,filename,WGH979004-RE0779991107890-DT74678.LZH,Source: MalwareBazaar
2024-06-06,Payload installation,md5,35be23952bfb7ed615999af41e88b9d5,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,6c33c3e8f6fd1d88660bc06eae71ee9e3f647a5c,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,69983a65884086ff7aac54fd7752e160331537feec35f3cbc8e95aca4170d726,Source: MalwareBazaar
2024-06-06,Payload installation,filename,Payment Receipt.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,2bad408e94e7fd6aa892d9111cad41c9,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,3631a09107ed96c8162968478bff4fb710373081,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,97d42ef1fdf9118d5c3243aa8fb834fe4e638578608df42cdcc0f1fd27261fec,Source: MalwareBazaar
2024-06-06,Payload installation,filename,Quotation List.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,7ff09959bc7f2486d18f2de3e3b6b091,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,2434824d462ed714adeb343f47885e47ad1b41ca,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,017d31e9efe6e8c9d635dcfe1e133ca99b1eae94e02db700c0e75e0a3ab92c6c,Source: MalwareBazaar
2024-06-06,Payload installation,filename,INVOICE 8205291007.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,e4523ff7eb349223619e99b8d70617f8,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,21fca70bad39c8c7e22b204607bfd50fbc0cb9c8,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,da7cdc453e35263958ba9c29f9c1d484e5f7f119f34381a23699f9f78eff8dc7,Source: MalwareBazaar
2024-06-06,Payload installation,filename,documento_403698_06-06-2024.bat,Source: MalwareBazaar
2024-06-06,Payload installation,md5,a04b2a0df1ed1d4d23b5f511b05db42c,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,3564d3ebe7861d9d6be4be7945577669548832f5,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,fd115e2d35992b59fb62f89b59437b5284a4d9fcb3fc0974c1dd6b56b37de509,Source: MalwareBazaar
2024-06-06,Payload installation,filename,35d88b2762778036422fa246aa4e2fc35cd7847b56da893cd0d12f98d67484c0,Source: MalwareBazaar
2024-06-06,Payload installation,md5,77463962d8464ab37d8c819624a2070a,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,933bacf67e8b926b96a99b7fb42a7c4f0ab3ab52,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,35d88b2762778036422fa246aa4e2fc35cd7847b56da893cd0d12f98d67484c0,Source: MalwareBazaar
2024-06-06,Payload installation,filename,6152027ecd582c7c91df3a2b95ec62dda79cb2be93d482c8d5e2085e13a4fc94,Source: MalwareBazaar
2024-06-06,Payload installation,md5,83881ab6c39abd09889a0c9479bbdee8,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,21c3c9ee16c86c2c52bef6d1534d28d0a23975fc,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,6152027ecd582c7c91df3a2b95ec62dda79cb2be93d482c8d5e2085e13a4fc94,Source: MalwareBazaar
2024-06-06,Payload installation,filename,cddad95976113f1eee38d3220c88f2f1b1cd2649ae8ea3bea4f18cb3618b933b,Source: MalwareBazaar
2024-06-06,Payload installation,md5,be4665bea2938161dff648cf52542645,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,320e99554cbef55ab1f27bfdfc5f46319f9599e4,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,cddad95976113f1eee38d3220c88f2f1b1cd2649ae8ea3bea4f18cb3618b933b,Source: MalwareBazaar
2024-06-06,Payload installation,filename,093c90c64583971fdc872ff1e9f5dfb7ce5be3966410c47afdf0d5d0ca3e395e,Source: MalwareBazaar
2024-06-06,Payload installation,md5,0c4870bda6728e8de51e850700133aad,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,0807815bef052e49f2dfd61f4a20e622cba66c43,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,093c90c64583971fdc872ff1e9f5dfb7ce5be3966410c47afdf0d5d0ca3e395e,Source: MalwareBazaar
2024-06-06,Payload installation,filename,a81d73c51de44222d93513e4383d6cc71a29fd50b2fcf62042382885c9de02bd,Source: MalwareBazaar
2024-06-06,Payload installation,md5,9857a786e76021c8e93a8b7e7c031e9a,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,3ceac76e1f6c45e3db52fb33cc2d2b02debe3c47,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,a81d73c51de44222d93513e4383d6cc71a29fd50b2fcf62042382885c9de02bd,Source: MalwareBazaar
2024-06-06,Payload installation,filename,115652bba21ed0c286f136c2c59b865a37f68f1032e62081840b365378c08ad3,Source: MalwareBazaar
2024-06-06,Payload installation,md5,7f70bcef4aac30877820be926f70f14d,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,017842024990810a954efba686b4fca8a47f9800,Source: MalwareBazaar
2024-06-06,Payload installation,filename,96094535fe4ae7ea46eb3df5e0b45231.rtf,Source: MalwareBazaar
2024-06-06,Payload installation,md5,96094535fe4ae7ea46eb3df5e0b45231,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,65b8bc134ad3032f36b29ba23be120190ac46c5a,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,568d46f36717b803624e6dc3e840a248b8e9744587e249dc6472713d7e831511,Source: MalwareBazaar
2024-06-06,Payload installation,filename,new p o.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,355afaeb273ff043eb0c9255d372c134,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,1657f3dca4b07257e5c0b0e0293ea55692637963,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,390b2151f97ed90201b625b089bee042304fe998171e2d9452135eecf416b17a,Source: MalwareBazaar
2024-06-06,Payload installation,filename,RFQ-2402-3572.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,2e11cbc359b45e25b7f5f3b6008f3adc,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,e640cc86dfed0419775c394ed050674667ed8b2e,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,48c7311341af01dfa4d01d6000fb17d6956d6607f2714bb88bba2f8ca0a93fbc,Source: MalwareBazaar
2024-06-06,Payload installation,filename,29b2b081df5861fed9651766f37b7738,Source: MalwareBazaar
2024-06-06,Payload installation,md5,29b2b081df5861fed9651766f37b7738,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,656957b9e2b270b59b3750cb90978e496d9177fe,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,e7f83d43899e14d39467f1c25170cc0215bda6c7e99986285b6833642654d03a,Source: MalwareBazaar
2024-06-06,Payload installation,filename,NEW PO-198_1.LZH,Source: MalwareBazaar
2024-06-06,Payload installation,md5,d46bdb6894700a3009fa4f38a00f2cbb,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,fbc0b33189cbcd86643232728057d8f7c103a097,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,ca856951cd35d1b5d0ca706f51f920ae13d4834c279a3ecc7415c44a3e0699ac,Source: MalwareBazaar
2024-06-06,Payload installation,filename,pwnp9WrC1wizLDM.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,dc88455c904d18a3c2b9b025e97c8af6,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,2da1ab8da33cdee205dcdc6f56e96cf595cc23ba,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,0892cd1f8e39fcc175e75c553dc406819a278c39f56fe2d8236b7ef283af1125,Source: MalwareBazaar
2024-06-06,Payload installation,filename,Automate Purchase orders88777.7z,Source: MalwareBazaar
2024-06-06,Payload installation,md5,4b241ba692cf4d44e9276e4d6eb43520,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,1b2af0cc438ee6b52c68372aa4f8142cc9a2a3ab,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,76d52e7cebd696a4f8b379cb2737ad8b160d6bc688d833dd6fef2e0864d611ed,Source: MalwareBazaar
2024-06-06,Payload installation,filename,EBASCO TRADING PO#910333.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,b44ca4d55009a129bb3d4cfb990bca6e,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,52f4931f3adec34828a887ef65edc10b1898e978,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,a8970a4e1980b60ab0c3944cc63f4e32935dfee5166164c4fce000188957fa7a,Source: MalwareBazaar
2024-06-06,Payload installation,filename,bank details.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,aef42942c28ddb020f9694c8b701873f,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,b2f5168edc9b1b9bbdbcc8089ae24dc852ed0080,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,255306dc51f8e03d60b15c31fcda56678224ff0e6781266a47aa71d5897429e7,Source: MalwareBazaar
2024-06-06,Payload installation,filename,Automate Purchase orders88777.scr,Source: MalwareBazaar
2024-06-06,Payload installation,md5,a426bc26980e0b4d8d8011053dd70487,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,5723196f52f4c4d1840a442cfef4a1bd66b629e6,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,f7d2f864f121f8a86c7bd403bd70d9f40bb0420415b542b45110a2d4b7daee13,Source: MalwareBazaar
2024-06-06,Payload installation,filename,CANDYS FOOD - WHITE FISH PROGRAM xlsx.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,1f69b8137e8d4253a5be650d0357327e,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,a7b60c3f0aecad253d6d4c660ee526fdbd5b2d5f,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,ff996608bbd7abc0334e1dbce068870e27eb8ca493d00db58a74e29aa15fee54,Source: MalwareBazaar
2024-06-06,Payload installation,filename,Preisanfrage 2024-010576.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,3c480229870ae9c24151d91cb2e6474c,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,84291228c13ded1904e5c725db1c69657a06450d,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,8db679fe4d6d844ca5e599d8fe6d8daacf115b319634b21b0ec78525a482819f,Source: MalwareBazaar
2024-06-06,Payload installation,filename,AWB#5305323204643.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,34c09836453951d6b12dc61c69c2e23a,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,8c75f57b9929fcc4dc3005d092268a0589fcdab9,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,d5a64294b4a47e260bf84a9819474e15fa6ffe9ee515a5db68967fd2837f9f1d,Source: MalwareBazaar
2024-06-06,Payload installation,filename,e-dekont.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,69fc7b234d842e87ece02e2ed560de7e,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,95aae63ebbed6e7fd5b14420e478e8fcce4f2504,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,26756d0ead80952a3869b7e7a08a35079527cf0b8486f042b31e51e9a1e9e40a,Source: MalwareBazaar
2024-06-06,Payload installation,filename,RFQ-06062024.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,ebc8ec9a0aeb1691f44ea48a4a5c927b,Source: MalwareBazaar
