+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: AgentTesla host indicators [2024-06-19]
| UUID: 4a382302-5fa5-497b-8676-ac493dd8f8e8
| Date: 2024-06-20
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-19,Payload installation,filename,file.exe,Source: MalwareBazaar
2024-06-19,Payload installation,md5,e48a0bf8b87848757edb4739b9182c5e,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,f71576a5c1a528137232a70c61c9a458b055e3f3,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,2f1a96d3d49b08138ed36532c7765932d053bff6b88fa594e2848ac3d3411861,Source: MalwareBazaar
2024-06-19,Payload installation,filename,SecuriteInfo.com.TrojanLoader.MSIL.DaVinci.Heur.30254.8280,Source: MalwareBazaar
2024-06-19,Payload installation,md5,6ac757dcefc7993df00cff137458b643,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,056f655dee89d1d0939c27f3acf803d5f9c3f446,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,8ad4cfc5910c7367a8d9e92d4a1ebbb02b659abef458d8ee765ac09e3e46a484,Source: MalwareBazaar
2024-06-19,Payload installation,filename,PO142.exe,Source: MalwareBazaar
2024-06-19,Payload installation,md5,2476b897b910a0d1709e27374b15ad2e,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,7fbcbaf9c0770e0fc2746d86115adb83093edef4,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,f8d3c0510f7c44a8308b811704902b0ea5ee0be3413f82139069e1afa009cc29,Source: MalwareBazaar
2024-06-19,Payload installation,filename,shipping documents.zip,Source: MalwareBazaar
2024-06-19,Payload installation,md5,65e5bb4561a24518a6577056a5183e66,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,678e210840b37275befdeef777656064156a5ee7,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,41f42c51eae4e230acff3a90db82fbaac022ee71c91eae7478069792833fc3f9,Source: MalwareBazaar
2024-06-19,Payload installation,filename,Product Requirement Specification Design And Size.scr,Source: MalwareBazaar
2024-06-19,Payload installation,md5,0a7933f748a53ce9ad76e8d5238f1111,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,900a7a85dc5942edc79237c90c245e3260140a2f,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,b6df164c8a4e41c49648f77f6fd6e60002a5181eb8ec117e7b9e8c8a6cefab53,Source: MalwareBazaar
2024-06-19,Payload installation,filename,Product Requirement Specification Design And Size.rar,Source: MalwareBazaar
2024-06-19,Payload installation,md5,0ffb618fe427993e84548dde05d50f3b,Source: MalwareBazaar
