+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Daily Phishing list urlabuse.com - 2024-06-24
| UUID: 269a389d-5489-44e3-bdd8-3f337abe0997
| Date: 2024-06-24
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-25,Network activity,hostname,webs-teiegarn.org,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://webs-teiegarn.org,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,fsghixjksytgxbvslwoiystwvhaywush3.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://fsghixjksytgxbvslwoiystwvhaywush3.pages.dev,Source URL
2024-06-25,Other,text,Generic Email,Target of the attack
2024-06-25,Network activity,hostname,telegram-sex-btx.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://telegram-sex-btx.pages.dev,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,launchpadweb3.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://launchpadweb3.pages.dev,Source URL
2024-06-25,Other,text,Crypto,Target of the attack
2024-06-25,Network activity,hostname,desservermabagecloudsergeneratorjsjherjrsjgedgbcenkkk.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://desservermabagecloudsergeneratorjsjherjrsjgedgbcenkkk.pages.dev,Source URL
2024-06-25,Other,text,Generic Email,Target of the attack
2024-06-25,Network activity,hostname,uoken.im,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://uoken.im,Source URL
2024-06-25,Other,text,imToken,Target of the attack
2024-06-25,Network activity,hostname,jamricgayojs01.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://jamricgayojs01.pages.dev,Source URL
2024-06-25,Other,text,Generic Email,Target of the attack
2024-06-25,Network activity,hostname,olx-imgg-aoth007-a63sj.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://olx-imgg-aoth007-a63sj.pages.dev,Source URL
2024-06-25,Other,text,AT&T,Target of the attack
2024-06-25,Network activity,hostname,multichainbugfixs.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://multichainbugfixs.pages.dev,Source URL
2024-06-25,Other,text,Crypto,Target of the attack
2024-06-25,Network activity,hostname,gd-bj9.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://gd-bj9.pages.dev,Source URL
2024-06-25,Other,text,Yahoo!,Target of the attack
2024-06-25,Network activity,hostname,restless-bird-944d.officemailbox.workers.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://restless-bird-944d.officemailbox.workers.dev,Source URL
2024-06-25,Other,text,Microsoft,Target of the attack
2024-06-25,Network activity,hostname,multichainsolutionsfix.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://multichainsolutionsfix.pages.dev,Source URL
2024-06-25,Other,text,Crypto,Target of the attack
2024-06-25,Network activity,hostname,telegrkl.icu,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://www.telegrkl.icu/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,pub-042beab565ca415f95ad4dc390bd6f1a.r2.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://pub-042beab565ca415f95ad4dc390bd6f1a.r2.dev/auth.html,Source URL
2024-06-25,Other,text,Microsoft,Target of the attack
2024-06-25,Network activity,hostname,hb012.asia,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,https://www.hb012.asia/a/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,brobmrwydbro.xyz,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://brobmrwydbro.xyz/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Other,datetime,2024-06-24T22:35:25.262922+0000,Domain Deleted
2024-06-25,Network activity,hostname,telegruk.icu,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://www.telegruk.icu/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,telegrnal.club,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://telegrnal.club/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,wmainsfix.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://wmainsfix.pages.dev,Source URL
2024-06-25,Other,text,Crypto,Target of the attack
2024-06-25,Network activity,hostname,tresdsdxswqaz234rfcvhy54567ujngfddfghu7ykjnvcfgi87yhvcxcvb.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://tresdsdxswqaz234rfcvhy54567ujngfddfghu7ykjnvcfgi87yhvcxcvb.pages.dev,Source URL
2024-06-25,Other,text,Generic Email,Target of the attack
2024-06-25,Network activity,hostname,snapsexfreeonly.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://snapsexfreeonly.pages.dev,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,directoryswiftversefil.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://directoryswiftversefil.pages.dev,Source URL
2024-06-25,Other,text,Crypto,Target of the attack
2024-06-25,Network activity,hostname,pooh-moneydapps.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://pooh-moneydapps.pages.dev,Source URL
2024-06-25,Other,text,Crypto,Target of the attack
2024-06-25,Network activity,hostname,fgtr-7pn.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://fgtr-7pn.pages.dev,Source URL
2024-06-25,Other,text,Amazon,Target of the attack
2024-06-25,Network activity,hostname,postqf.top,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://postqf.top,Source URL
2024-06-25,Other,text,USPS,Target of the attack
2024-06-25,Network activity,hostname,postqd.top,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://postqd.top,Source URL
2024-06-25,Other,text,USPS,Target of the attack
2024-06-25,Network activity,hostname,postqp.top,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://postqp.top,Source URL
2024-06-25,Other,text,USPS,Target of the attack
2024-06-25,Network activity,hostname,postqg.top,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://postqg.top,Source URL
2024-06-25,Other,text,USPS,Target of the attack
2024-06-25,Network activity,hostname,postqo.top,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://postqo.top,Source URL
2024-06-25,Other,text,USPS,Target of the attack
2024-06-25,Network activity,hostname,postqz.top,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://postqz.top,Source URL
2024-06-25,Other,text,USPS,Target of the attack
2024-06-25,Network activity,hostname,poeorson.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://poeorson.pages.dev,Source URL
2024-06-25,Other,text,IRS,Target of the attack
2024-06-25,Network activity,hostname,earq.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://earq.pages.dev,Source URL
2024-06-25,Other,text,Yahoo!,Target of the attack
2024-06-25,Network activity,hostname,shy-queen-73a1.payport1062.workers.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://shy-queen-73a1.payport1062.workers.dev,Source URL
2024-06-25,Other,text,Microsoft,Target of the attack
2024-06-25,Network activity,hostname,directradararclear.pages.dev,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://directradararclear.pages.dev,Source URL
2024-06-25,Other,text,Crypto,Target of the attack
2024-06-25,Network activity,hostname,telegrvam.org,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,https://telegrvam.org/a/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,telegraxm.org,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,https://telegraxm.org/a/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,telegroma.com,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://telegroma.com/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,telegraxm.com,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://telegraxm.com/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,telegram-zq.com,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://telegram-zq.com/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,telegram-vn.com,Host name or IP address of the phishing attack
2024-06-25,Network activity,url,http://telegram-vn.com/,Source URL
2024-06-25,Other,text,Telegram,Target of the attack
2024-06-25,Network activity,hostname,telegrafm.com,Host name or IP address of the phishing attack
