+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2024-06-06]
| UUID: 9fd80b90-10ad-404b-ba1e-5891f93156e7
| Date: 2024-06-07
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-06,Payload installation,filename,SAMPLE _CATALOGUE_EWF_PDF.bat,Source: MalwareBazaar
2024-06-06,Payload installation,md5,fb8d0ae425b4e14bca8fc3eecab23baf,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,db25c79437e303d21b137f73d114c5bdfb6f9d98,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,e037f37fa8553539837baf5602a5180b83497536e9c285707929c46fdcc8cb18,Source: MalwareBazaar
2024-06-06,Payload installation,filename,MT25QL128ABA1EW7-0SIT - Micron.img,Source: MalwareBazaar
2024-06-06,Payload installation,md5,63101047258b2b17c1a0abcd112ffa35,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,7149cda41654cc36795d50eb03edab78d36807f0,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,83e8e4cbd69ef883a94b6100743b4706eab95cc7b0fad6b93af48fc4c0cd2711,Source: MalwareBazaar
2024-06-06,Payload installation,filename,MT25QL128ABA1EW7-0SIT - Micron.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,4648fd9848999a7c560a0a01dbdc5f1f,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,75e11b9e594d2bfb0d1ae802e24c8807f6450f73,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,ce45391f81f68e4bd77aff84b26082ed86a7be5a2e1003e4d8ff8ef7763b9d9a,Source: MalwareBazaar
2024-06-06,Payload installation,filename,hmwBElsQoPfbj1u.exe,Source: MalwareBazaar
2024-06-06,Payload installation,md5,e48e15da91810cacd76277a412b89e1e,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,937630afea60467dd62a1362bc43c80a53e00347,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,1a22c41babb9b408e15ea971e920b3164f1e3e2ac3a3ed490d9bb6350cd9865d,Source: MalwareBazaar
2024-06-06,Payload installation,filename,724fd513b28f07121fc19f1adb2173365d55a988e6ac03992a04ca7a654a6c9c,Source: MalwareBazaar
2024-06-06,Payload installation,md5,240af48b0056bf939726436ef834a2e8,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,c6296a588d14af7fcc8dedeee566790eeee2193f,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,724fd513b28f07121fc19f1adb2173365d55a988e6ac03992a04ca7a654a6c9c,Source: MalwareBazaar
2024-06-06,Payload installation,filename,808d357b175b84c06f8b1694df23ec8bcb07915e1b64d30794a7f7b1de0e5691,Source: MalwareBazaar
2024-06-06,Payload installation,md5,3ca3416bb2523ce76d2ac118a20b757e,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,5c87972753046d1728a85161a819b1a15b552396,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,808d357b175b84c06f8b1694df23ec8bcb07915e1b64d30794a7f7b1de0e5691,Source: MalwareBazaar
2024-06-06,Payload installation,filename,650084a6aa83319aa801995935c36f0e2f4be3a537b6936a2f317df83909120f,Source: MalwareBazaar
2024-06-06,Payload installation,md5,1f11421fde0376d3fdb2d23041db6ed5,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,d2fa1972a539ae8451886b703d24aa5938a320cf,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,650084a6aa83319aa801995935c36f0e2f4be3a537b6936a2f317df83909120f,Source: MalwareBazaar
2024-06-06,Payload installation,filename,5e86cc7463e90fb10d4c7f10858869e96ea3c50aca9f61dd50eeb5fd629da053,Source: MalwareBazaar
2024-06-06,Payload installation,md5,6858ff69d90d9e5cae22ec22dd31cd19,Source: MalwareBazaar
2024-06-06,Payload installation,sha1,cd8f078c4e652e97d3b446d2c36bf3e7ce524bbe,Source: MalwareBazaar
2024-06-06,Payload installation,sha256,5e86cc7463e90fb10d4c7f10858869e96ea3c50aca9f61dd50eeb5fd629da053,Source: MalwareBazaar
