+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2024-06-08]
| UUID: ce3740e5-dc9f-45d0-9a09-8d92677a6ac1
| Date: 2024-06-08
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-08,Payload installation,filename,Original Document.r01,Source: MalwareBazaar
2024-06-08,Payload installation,md5,abb06ed8e944f2140ec27378b6aa8bcd,Source: MalwareBazaar
2024-06-08,Payload installation,sha1,8a0231b5e1f11436d8dacdc59ba45ad8d7d35cf3,Source: MalwareBazaar
2024-06-08,Payload installation,sha256,35bd9420c3277467829900ba24fd09253764d4d94a73ed733f7d5d27f607d2a9,Source: MalwareBazaar
2024-06-08,Payload installation,filename,PR-ZWL  07364G49574(Revised PO).rar,Source: MalwareBazaar
2024-06-08,Payload installation,md5,398157400217b5f93239437a18d4a81c,Source: MalwareBazaar
2024-06-08,Payload installation,sha1,fc26c139809da1b2bd956237eae9426a5c92aeea,Source: MalwareBazaar
2024-06-08,Payload installation,sha256,8723429d2a9b031a7d059d2df064ceb47b9a2b589bbc57d68b57b704190c68bd,Source: MalwareBazaar
2024-06-08,Payload installation,filename,PR-ZWL  07364G49574(Revised PO).exe,Source: MalwareBazaar
2024-06-08,Payload installation,md5,6ef3cba91b136ae138380b710a104a12,Source: MalwareBazaar
2024-06-08,Payload installation,sha1,5347a8375a4faaca804d39b6e892241086be8986,Source: MalwareBazaar
2024-06-08,Payload installation,sha256,c79a98c3a11afabf39a52a12cb7d1ee6cf4f9df5c7bc54aa969296f50b75aa73,Source: MalwareBazaar
2024-06-08,Payload installation,filename,13820099133-PHOTO.lnk,Source: MalwareBazaar
2024-06-08,Payload installation,md5,3deb98c1970c8ed0d95086d79e579231,Source: MalwareBazaar
2024-06-08,Payload installation,sha1,bc8b9ae3e0e278c69d100d30333dc380fc7fe57a,Source: MalwareBazaar
2024-06-08,Payload installation,sha256,9f07c02b13a50bb84630841a7a9876c9ced2ab66d406c54f4673c88e7cd70bb4,Source: MalwareBazaar
2024-06-08,Payload installation,filename,13820099132-PHOTO.lnk,Source: MalwareBazaar
2024-06-08,Payload installation,md5,6b077822e20c14af987bf869836dd89b,Source: MalwareBazaar
2024-06-08,Payload installation,sha1,3ec0f825ba649dabcd1b2b09f63ed46be0c31579,Source: MalwareBazaar
2024-06-08,Payload installation,sha256,f2840d65ddee6a875210f31349e18385cbc9bca229666fc822642b546077e210,Source: MalwareBazaar
2024-06-09,Payload installation,filename,b94b6c27e410388cd4e7dfeb352b75ce,Source: MalwareBazaar
2024-06-09,Payload installation,md5,b94b6c27e410388cd4e7dfeb352b75ce,Source: MalwareBazaar
2024-06-09,Payload installation,sha1,57252799717e32bccfd57d674c6d44328a17b148,Source: MalwareBazaar
2024-06-09,Payload installation,sha256,26833834efb8d0ff6dfea4c7cd8a66b89fb8c04e5142a0a077e0ded715098232,Source: MalwareBazaar
2024-06-09,Payload installation,filename,351650a422e427140d74d8c68185fa24,Source: MalwareBazaar
2024-06-09,Payload installation,md5,351650a422e427140d74d8c68185fa24,Source: MalwareBazaar
2024-06-09,Payload installation,sha1,c20e19d924a55302e8d642ced835643df817b408,Source: MalwareBazaar
2024-06-09,Payload installation,sha256,c18e91fedad79cf98044d7a754dd39b673018e28dc6935bc9d63515b8d91a6be,Source: MalwareBazaar
2024-06-09,Payload installation,filename,2eebcdd0e833ba968a9cac360aed72de,Source: MalwareBazaar
2024-06-09,Payload installation,md5,2eebcdd0e833ba968a9cac360aed72de,Source: MalwareBazaar
2024-06-09,Payload installation,sha1,673e6c678d09817c5cf51462d197ac4b7b9580c8,Source: MalwareBazaar
2024-06-09,Payload installation,sha256,dd45842d2a7857d5cc5250fe23538be3cc88a33fff794156c3468ac3c8030ee9,Source: MalwareBazaar
2024-06-09,Payload installation,filename,132e9cb76def326daa4088f99587b759,Source: MalwareBazaar
2024-06-09,Payload installation,md5,132e9cb76def326daa4088f99587b759,Source: MalwareBazaar
2024-06-09,Payload installation,sha1,d2a5e919e451865551efd2da81d30468cbb80773,Source: MalwareBazaar
2024-06-09,Payload installation,sha256,b79f9bfe9b5ed9113deae47f91b1a2eeca20cf737aea051e70b224d6b88e0792,Source: MalwareBazaar
2024-06-09,Payload installation,filename,092cd26903ed79eb7da016adbb7c928d,Source: MalwareBazaar
2024-06-09,Payload installation,md5,092cd26903ed79eb7da016adbb7c928d,Source: MalwareBazaar
2024-06-09,Payload installation,sha1,4e68d4f661f5791d5f55a5d507571f5b0f583492,Source: MalwareBazaar
2024-06-09,Payload installation,sha256,65faa8e4546890c7052df20e18d9452f7af742cfc7ee10ab3e127d3d5bdf6c86,Source: MalwareBazaar
