+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Formbook host indicators [2024-06-18]
| UUID: 22eb7a4e-fc7c-4a65-b8e8-dabdb5bd3dd6
| Date: 2024-06-18
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-18,Payload installation,filename,PMP-INS-93-2436-IN-1017.scr,Source: MalwareBazaar
2024-06-18,Payload installation,md5,d478a7b6d57d691e70a1521a675e10d3,Source: MalwareBazaar
2024-06-18,Payload installation,sha1,678548c12b8a3bac4157d9fb781c074ef144c71f,Source: MalwareBazaar
2024-06-18,Payload installation,sha256,4f1fdd853ecbdbfc3bb305ae99020e0671fa6e3a5f96f7d7c41afb2a751c1a59,Source: MalwareBazaar
2024-06-18,Payload installation,filename,Your file name without extension goes here.exe,Source: MalwareBazaar
2024-06-18,Payload installation,md5,8f6133a74122aa1a27d18e48c2a3fa0c,Source: MalwareBazaar
2024-06-18,Payload installation,sha1,b71bdccb8b06c081589d3063fa02874ffdd2450e,Source: MalwareBazaar
2024-06-18,Payload installation,sha256,a54d0aecd2d24ce47e9773d031b1995a6fe81b9508e02553aef5bd62ae5dcd8f,Source: MalwareBazaar
2024-06-18,Payload installation,filename,TNT AWB AND COMMERCAIL INVOICE TRACKING DETAILS.exe,Source: MalwareBazaar
2024-06-18,Payload installation,md5,a494e3769a2f84e1338583c536444d2b,Source: MalwareBazaar
2024-06-18,Payload installation,sha1,50e68f707dce4a35bd6a140efbe33c26c780f0ae,Source: MalwareBazaar
2024-06-18,Payload installation,sha256,377df318502b404bf7b0a8cb059aa3eba749e06b366e13c393ebfd588b4a6b7b,Source: MalwareBazaar
2024-06-18,Payload installation,filename,MV ROYAL QUOTATION.vbs,Source: MalwareBazaar
2024-06-18,Payload installation,md5,1a0f278542c1a82b36d2a9339c44343f,Source: MalwareBazaar
2024-06-18,Payload installation,sha1,7464df5fb5eae9f2bb2de37aac91729be222c801,Source: MalwareBazaar
2024-06-18,Payload installation,sha256,03cbdd488fd6819ccfafa38dedf10ab4db2e9d447e69ee89f539255941ad511d,Source: MalwareBazaar
2024-06-18,Payload installation,filename,STS_Bunker_00617.vbs,Source: MalwareBazaar
2024-06-18,Payload installation,md5,dfe2a23100ac3263583e69f48e9b32e6,Source: MalwareBazaar
2024-06-18,Payload installation,sha1,20087641aba69eaaaef0f87a7d21edd8a255db60,Source: MalwareBazaar
2024-06-18,Payload installation,sha256,9aa64f43d090ff657848da74a0c2ea1f3211fa1d88ac3fa603e65d724360a957,Source: MalwareBazaar
2024-06-18,Payload installation,filename,Iquiry.js,Source: MalwareBazaar
2024-06-18,Payload installation,md5,2d400870ac4dae83c3364ed4d3f7229a,Source: MalwareBazaar
2024-06-18,Payload installation,sha1,8269b85bfbaa7b2b6e2a8c198ba17670fe1c8b15,Source: MalwareBazaar
2024-06-18,Payload installation,sha256,65e198107066a4bc0f0cbf7394ff8855d528e24e5008ccb265e3e84e282c3080,Source: MalwareBazaar
2024-06-18,Payload installation,filename,jre-8u411-windows-any-cpu.exe,Source: MalwareBazaar
2024-06-18,Payload installation,md5,fe70e8783eb1837c5c28cc082ee749a8,Source: MalwareBazaar
2024-06-18,Payload installation,sha1,1d5a5a72cb1fa624307f4420d50db27e11cc06fe,Source: MalwareBazaar
2024-06-18,Payload installation,sha256,cfd4324de6c91dbfea652dd783df83e562bbb9977664d8f0534aeb40bb41fa1d,Source: MalwareBazaar
2024-06-19,Payload installation,filename,TENDER PRODUCTS AND TECHNICAL SPECIFICATIONS.vbs,Source: MalwareBazaar
2024-06-19,Payload installation,md5,47b6f5c41eac8d907383975519acd23f,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,2350d6620178aa2afe7fed95155d9eeacb01b20f,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,c73a128c7037b9e0a9a545bcf51c3ca925d2d436caa1c2953f9807cae73de26c,Source: MalwareBazaar
2024-06-19,Payload installation,filename,bfad1fc041e176f9335d91cc4480e2c373d29354a33f5039212afe9e6d879978.exe,Source: MalwareBazaar
2024-06-19,Payload installation,md5,616b848d17252f7dae4de86383d25bee,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,797200ae77088b2c2f842bf48e73cfd46085b81b,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,bfad1fc041e176f9335d91cc4480e2c373d29354a33f5039212afe9e6d879978,Source: MalwareBazaar
2024-06-19,Payload installation,filename,02e07416de23472dfcc5a97ea6c94fab,Source: MalwareBazaar
2024-06-19,Payload installation,md5,02e07416de23472dfcc5a97ea6c94fab,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,c309be3db34b541f5b32bb0b811b8eea8b819a3d,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,2921703b5b2148ca96cc58270ac0adeaa7842687c1c05b09cf439940d1ce43e9,Source: MalwareBazaar
2024-06-19,Payload installation,filename,FA46969-OVERSEAS 2024.vbs,Source: MalwareBazaar
2024-06-19,Payload installation,md5,44d9ad2f0db6d4cb899d6657974c817b,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,1a76e0f99bffc9a92c8578f87538f2efb2b94ec9,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,09e4f38027139dc19a02d92dbd3b79428cf2e93bbf49d07864ff48e43f268a19,Source: MalwareBazaar
2024-06-19,Payload installation,filename,rcomprobante.exe,Source: MalwareBazaar
2024-06-19,Payload installation,md5,89f8299ec0405cd9fa8d2fa40b859d0f,Source: MalwareBazaar
2024-06-19,Payload installation,sha1,4cfc7a0a8e30667ce4a1f81854ff0aeac0325c83,Source: MalwareBazaar
2024-06-19,Payload installation,sha256,213255cb36f1a19a7d374ba37f98b553f2a10fa9f486e92ed2ca377d1a6dc6d7,Source: MalwareBazaar
