+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-06-06 13:21:23Z
| UUID: 77e794d1-0dec-4905-8447-69456ca35308
| Date: 2024-06-06
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-06,Network activity,url,https://aliegrolokalnie.4234235.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://allegrolokalnje.1234235.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://01x.4389237.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://allegrol0kalnie.2234235.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://oolx.4902817.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://ihpost.4840348.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://01x.6902817.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://0llx.7902817.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://0llx.7840348.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://olxx.7389237.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://0lx.2389237.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://0lx.173846.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://oolx.673846.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://inp0st.2902817.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://oolx.4309827.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://inp0st.4747840.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://allegr0lokalnie.3234235.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://a1legrolokalnie.6234235.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://0lx.7234235.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://allegrol0kalnie.33647647.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://allegrolokalnje.43647647.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://poczta.63647647.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://0lx.73647647.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://ihpost.1902817.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://jnpost.3902817.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://0lx.1389237.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://ollx.3389237.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://ollx.5389237.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://oolx.6389237.xyz/qc2glv5k/v4m6Yl/7,Phishing site
2024-06-06,Network activity,url,https://inp0st.1840348.xyz/qc2glv5k/v4m6Yl/7,Phishing site
