+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Phishing urls 2024-06-13 13:01:17Z
| UUID: 0b75327f-a8f2-473c-b6fd-46abed43cbd6
| Date: 2024-06-13
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-13,Network activity,url,https://inpost-pl.ploxar.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.plache.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.mneola.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.beople.lol/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.ytesaw.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.yaqerl.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.rojazke.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.blincor.pics/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.vlasnio.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.meoawi.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.maweql.shop/payment/11e8fc9c032f/millennium,Phishing site
2024-06-13,Network activity,url,https://inpost-pl.ideolay.shop/payment/11e8fc9c032f/millennium,Phishing site
