+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Remcos host indicators [2024-06-11]
| UUID: 9f7451c6-bd3c-46c6-b3d7-bcfc8403ed63
| Date: 2024-06-11
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-12,Payload installation,filename,1561073.xls,Source: MalwareBazaar
2024-06-12,Payload installation,md5,07fd5773466c4eb922de8636432b112e,Source: MalwareBazaar
2024-06-12,Payload installation,sha1,40c9ed5562ea85b8c8f7c8d55116150e6a090b62,Source: MalwareBazaar
2024-06-12,Payload installation,sha256,e9da0fdf22be6e5d45f22e636ce5f916398d744380a912827352a789a55c26bd,Source: MalwareBazaar
2024-06-12,Payload installation,filename,DHL SHIPPING DOC 5596370080.exe,Source: MalwareBazaar
2024-06-12,Payload installation,md5,56729ceff54040279ee91421f81b2eb6,Source: MalwareBazaar
2024-06-12,Payload installation,sha1,4bff52933e1beb10ca9b24f4ca520824f7dd4d43,Source: MalwareBazaar
2024-06-12,Payload installation,sha256,effb59e562e566570fbd4dc5df959dd14ad9f0a181b65189644fdfe9425692a4,Source: MalwareBazaar
2024-06-12,Payload installation,filename,DHL AWB 5596370080.exe,Source: MalwareBazaar
2024-06-12,Payload installation,md5,bf65270ad05d3da67d80433daa65af7b,Source: MalwareBazaar
2024-06-12,Payload installation,sha1,44731237f504e7a42b257e1cc161ab1c9b415289,Source: MalwareBazaar
2024-06-12,Payload installation,sha256,caeb39e11b7af2a2c1cc8d0eb89886f570246d95e366aac9f153d9e1441297dc,Source: MalwareBazaar
