+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: Remcos host indicators [2024-06-12]
| UUID: 9212c949-005d-4940-99de-6164cabf7366
| Date: 2024-06-12
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-12,Payload installation,filename,Quotation.xls,Source: MalwareBazaar
2024-06-12,Payload installation,md5,ab906524ec7fe6fb60907b137918a9b2,Source: MalwareBazaar
2024-06-12,Payload installation,sha1,c3eb7adfbbc751398ba35f1bd3978f16e2ecdb3d,Source: MalwareBazaar
2024-06-12,Payload installation,sha256,e88b4f0cc0a62af8f58794dbe1dfd2a514e78254b0431f0ec111638a469cb324,Source: MalwareBazaar
2024-06-12,Payload installation,filename,REM6789098756GHUITR.bat.exe,Source: MalwareBazaar
2024-06-12,Payload installation,md5,005a7ca88eafea446db3ce376d33354f,Source: MalwareBazaar
2024-06-12,Payload installation,sha1,5041ecbc5713db1de2284a93981322c9d108b817,Source: MalwareBazaar
2024-06-12,Payload installation,sha256,b274b2b65f5ec3256ee9676fac8380af1c47457507e93d5b745156f29f386601,Source: MalwareBazaar
2024-06-12,Payload installation,filename,RFQ_18100000418350098.cmd,Source: MalwareBazaar
2024-06-12,Payload installation,md5,f3f57458e239713f9c8456a26300b5e2,Source: MalwareBazaar
2024-06-12,Payload installation,sha1,b8d8c459aa6d28ad662b827d4824504a17713d7b,Source: MalwareBazaar
2024-06-12,Payload installation,sha256,c4a9ef7db9783334e07106fb671d5e27e52285b18182a8c77103b699c8edf8a0,Source: MalwareBazaar
