+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
"| Title: ""Subject: FedEx Notification of Arrival - AWB# 102235516763 - From: erin@contextmfg.com"" Campaign"
| UUID: 4c9608b5-6d84-481c-ba69-3c97cbad2e10
| Date: 2024-06-14
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-14,Payload delivery,email-src,erin@contextmfg.com,Source email: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763
2024-06-14,Payload delivery,email-src-display-name,FedEx Express-Tracking,Source email: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763
2024-06-14,Payload delivery,email-body,"<html><head>
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
</head>
<body><div class=""rcmBody"" style=""margin: 0.4em;""><p style=""color: black; text-transform: none; text-indent: 0px; letter-spacing: normal; font-family: Arial,Helvetica,sans-serif; font-size: small; font-style: normal; font-weight: 400; word-spacing: 0px; white-space: normal; orphans: 2; widows: 2; background-color: white; text-decoration-color: initial; text-decoration-style: initial; font-variant-caps: normal; font-variant-ligatures: normal;"">
<img src=""cid:a6aab170af3e23c25dcbd36978a6dc6b.jpg"" width=""300"" height=""168""><br><br>Dear [REDACTED],,</p><p>
We are pleased to inform you that the above-mentioned shipment has arrived in our Airport</p><p>
Attached
 is the copy of shipping documentations (Airwaybill, Commercial Invoice,
 Inward Manifest/BC1.1) for your easy upload into customs module to 
avoid delay.<br><br>We are expect you to reply this email attaching the softcopy of POA, SPPB and BC23 Documentations.</p><p>
Should you have any questions, please call my direct phone number (DID) or you may contact our hunting number at 6221 9508000.</p><p>
<br>Best Regards,</p><p>
<span style=""color: rgb(153, 153, 153);"">Clearance Customer Service</span><br><span style=""color: rgb(153, 153, 153);"">FedEx</span><br><span style=""color: rgb(153, 153, 153);"">621 3950 025 DID</span><br><span style=""color: rgb(153, 153, 153);"">6221.3950.000 Hunting</span><br><span style=""color: rgb(102, 0, 204);""><a id=""v1v1v1v1v1v1v1v1LPlnk275376_mr_css_attr_mr_css_attr"" style=""color: rgb(17, 85, 204);"" href=""http://fedex.com/id"" target=""_blank"" rel=""noreferrer"">fedex.com/</a></span></p><p>
<img src=""cid:fedex.png"" width=""270"" height=""148""><br></p><div class=""v1v1v1v1v1v1v1v1LPBorder740553_mr_css_attr_mr_css_attr"" style=""width: 100%; margin-top: 16px; margin-bottom: 16px; min-width: 424px; max-width: 800px;"">
<table class=""v1v1v1v1v1v1v1mceItemTable"" id=""v1v1v1v1v1v1v1v1LPContainer740553_mr_css_attr_mr_css_attr"" style=""padding: 12px; border-radius: 2px; border: 1px solid rgb(200, 200, 200); border-image: none; width: 100%;"">
<tbody>
<tr valign=""top"" style=""border-spacing: 0px;"">
<td style=""width: 100%;"">
<div id=""v1v1v1v1v1v1v1v1LPTitle740553_mr_css_attr_mr_css_attr"" style='font-family: ""wf_segoe-ui_light"", ""Segoe UI Light"", ""Segoe WP Light"", ""Segoe UI"", ""Segoe WP"", Tahoma, Arial, sans-serif; font-size: 21px; font-weight: 300; margin-right: 8px; margin-bottom: 12px;'><a id=""v1v1v1v1v1v1v1v1LPUrlAnchor740553_mr_css_attr_mr_css_attr"" style=""text-decoration: none;"" href=""http://fedex.com/id"" target=""_blank"" rel=""noreferrer"">The New FedEx.com - Tracking, Shipping &amp; Locations</a></div>
<div id=""v1v1v1v1v1v1v1v1LPDescription740553_mr_css_attr_mr_css_attr"" style='color: rgb(102, 102, 102); overflow: hidden; font-family: ""wf_segoe-ui_normal"", ""Segoe UI"", ""Segoe WP"", Tahoma, Arial, sans-serif; font-size: 14px; margin-right: 8px; margin-bottom: 12px; max-height: 100px;'>Login
 to your account or learn more about how to become a better shipper, 
printing offers, or get inspiration for your small business.</div>
<div id=""v1v1v1v1v1v1v1v1LPMetadata740553_mr_css_attr_mr_css_attr"" style='color: rgb(166, 166, 166); font-family: ""wf_segoe-ui_normal"", ""Segoe UI"", ""Segoe WP"", Tahoma, Arial, sans-serif; font-size: 14px; font-weight: 400;'>fedex.com</div></td></tr></tbody></table></div></div>
</body></html>",Source email: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763
2024-06-14,Payload delivery,email-subject,FedEx Notification of Arrival - AWB# 102235516763,Source: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763
2024-06-14,Payload delivery,filename|sha256,Qxnsyybksm.img|707d48e92a6fbb84253079f6207f4b02c7a8625c4c1ff5768533c1cc8661d41c,Malspam attachment - source: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763 mime: application/x-iso9660-image
2024-06-14,Payload delivery,filename|ssdeep,Qxnsyybksm.img|192:RzRfMno5l5E+tFLphM4JDwm49bqLSPbkmGQqZ1PXTUSg/:b0n2EGFLphrVvYbfTkmlqTUSg,Malspam attachment - source: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763 mime: application/x-iso9660-image
2024-06-14,Payload delivery,filename|sha1,Qxnsyybksm.img|c053f23d081ff430e3e69f1d8687703e8881da50,Malspam attachment - source: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763 mime: application/x-iso9660-image
2024-06-14,Payload delivery,filename|sha512,Qxnsyybksm.img|3b67cdf6515164e3dedbab33bcdc897bf23a673abb556b2d81c9348a550d30805da7b6cc19ff5eda00318574ec48b432629be6cb1e71084e07e3364dd370850e,Malspam attachment - source: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763 mime: application/x-iso9660-image
2024-06-14,Payload delivery,filename|md5,Qxnsyybksm.img|eb008b94fa5aba44e3b377b119631f1f,Malspam attachment - source: from erin@contextmfg.com - subject: FedEx Notification of Arrival - AWB# 102235516763 mime: application/x-iso9660-image
2024-06-14,Payload delivery,filename|imphash,Qxnsyybksm.exe|f34d5f2d4577ed6d9ceec516c1f5a744,Extracted from Qxnsyybksm.img; mime: application/x-dosexec
