+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+
| Title: ThreatFox IOCs for 2024-06-16
| UUID: 04dada00-1b2e-49b6-8ba7-751ee5154449
| Date: 2024-06-16
"| Author: Armstrong Techs, Research Lab"
| References: https://www.armstrongtechs.com/
| TLP:CLEAR
+*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-+

Date,Category,Type,Value,Comment
2024-06-16,Network activity,ip-dst|port,58.87.70.252|4449,Venom RAT botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,8.134.102.18|8282,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,94.156.65.236|80,Hook botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,5.252.176.30|443,Sliver botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,185.200.221.19|443,Sliver botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,194.180.191.6|26996,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,5.182.87.173|80,Meduza Stealer botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,91.92.255.159|34568,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,156.242.43.210|50050,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,93.95.225.24|4093,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,173.44.141.117|50050,Cobalt Strike botnet C2 server (confidence level: 80%)
2024-06-16,Network activity,ip-dst|port,41.249.109.69|10000,NjRAT botnet C2 server (confidence level: 100%)
2024-06-16,Network activity,ip-dst|port,185.222.58.77|55615,RedLine Stealer botnet C2 server (confidence level: 100%)
2024-06-16,Network activity,url,http://a0994027.xsph.ru/l1nc0in.php,DCRat botnet C2 (confidence level: 100%)
2024-06-16,Network activity,ip-dst|port,192.227.228.34|1124,NjRAT botnet C2 server (confidence level: 100%)
2024-06-16,Network activity,ip-dst|port,192.227.228.34|4782,Quasar RAT botnet C2 server (confidence level: 100%)
2024-06-16,Network activity,url,http://a0993651.xsph.ru/l1nc0in.php,DCRat botnet C2 (confidence level: 100%)
2024-06-16,Network activity,ip-dst|port,36.159.60.161|4505,Deimos botnet C2 server (confidence level: 50%)
2024-06-16,Network activity,ip-dst|port,111.19.135.79|4506,Deimos botnet C2 server (confidence level: 50%)
2024-06-16,Network activity,ip-dst|port,91.236.230.33|80,BianLian botnet C2 server (confidence level: 50%)
2024-06-16,Network activity,ip-dst|port,175.10.44.100|4432,QakBot botnet C2 server (confidence level: 50%)
2024-06-16,Network activity,ip-dst|port,2.50.34.69|22,QakBot botnet C2 server (confidence level: 50%)
2024-06-16,Network activity,ip-dst|port,185.216.70.62|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-16,Network activity,ip-dst|port,94.156.8.137|80,Unknown malware botnet C2 server (confidence level: 50%)
2024-06-16,Network activity,ip-dst|port,185.62.86.134|1411,AsyncRAT botnet C2 server (confidence level: 50%)
2024-06-16,Network activity,url,https://jaffioptru.me/zwu1ztrhmzu1zjdi/,Coper botnet C2 (confidence level: 80%)
2024-06-16,Network activity,url,https://jaffioptru.biz/zwu1ztrhmzu1zjdi/,Coper botnet C2 (confidence level: 80%)
2024-06-16,Network activity,url,http://a0993445.xsph.ru/12c5a512.php,DCRat botnet C2 (confidence level: 100%)
2024-06-16,Network activity,url,https://sydnc.net/functionalstatus/aisigus9nhmsi6alwcxw9p,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-16,Network activity,domain,sydnc.net,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-06-16,Network activity,url,https://checkupgpt.net/jquery-3.3.1.min.js,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-16,Network activity,domain,checkupgpt.net,Cobalt Strike botnet C2 domain (confidence level: 100%)
2024-06-16,Network activity,url,https://47.108.239.86/match,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-16,Network activity,url,https://103.150.10.45:9443/match,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-16,Network activity,url,http://47.108.239.86:8080/load,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-16,Network activity,url,https://43.153.222.28:4545/ca,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-16,Network activity,url,http://43.153.222.28:433/activity,Cobalt Strike botnet C2 (confidence level: 100%)
2024-06-16,Network activity,url,http://47.120.32.114:7777/jquery-3.3.1.min.js,Cobalt Strike botnet C2 (confidence level: 100%)
